gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.507046639919281,0.3826937675476074,-0.3161393105983734","0.550527036190033,0.32302045822143555,-0.09589192271232605","0.43424057960510254,0.34578073024749756,-0.12886495888233185","0.3505398631095886,0.6335957646369934,-0.1860295981168747","0.4192449450492859,0.9573792219161987,-0.5875515341758728","0.5130189061164856,0.403575599193573,-0.8886033296585083","0.602563738822937,1.4411762952804565,0.07508695870637894","0.3967406153678894,1.4410923719406128,-0.07511355727910995"
0.0,"0.5048055648803711,0.38910001516342163,-0.19909697771072388","0.5490769743919373,0.324341744184494,0.005502152256667614","0.4333837032318115,0.34678080677986145,-0.0250307135283947","0.34848877787590027,0.6315898895263672,-0.08552594482898712","0.4257747530937195,0.9520208835601807,-0.33451399207115173","0.5132379531860352,0.40172258019447327,-0.4462074637413025","0.6019639372825623,1.4576222896575928,0.07294811308383942","0.3961949050426483,1.4535257816314697,-0.07295819371938705"
0.0,"0.504031240940094,0.3901127576828003,-0.17498059570789337","0.548592746257782,0.3255859911441803,0.03938276320695877","0.43273431062698364,0.34674012660980225,0.010096313431859016","0.3485017418861389,0.6317625045776367,-0.06033088639378548","0.4286719262599945,0.9461661577224731,-0.31539633870124817","0.5141412019729614,0.3988114297389984,-0.43350473046302795","0.6021565794944763,1.4694855213165283,0.07302512228488922","0.3963811993598938,1.4658459424972534,-0.07303119450807571"
0.0,"0.5040544271469116,0.38750916719436646,-0.17144978046417236","0.5485515594482422,0.32562127709388733,0.062434010207653046","0.4326171875,0.34668803215026855,0.021388618275523186","0.348395973443985,0.6317654252052307,-0.06657380610704422","0.42943182587623596,0.9442140460014343,-0.376825213432312","0.5144637823104858,0.39862915873527527,-0.5446900129318237","0.6024031043052673,1.472230076789856,0.0797547847032547","0.39633792638778687,1.4694929122924805,-0.07977800071239471"
0.0,"0.5040661692619324,0.37478455901145935,-0.1570928990840912","0.5485348105430603,0.3241710364818573,0.05502064898610115","0.4325786232948303,0.3415149450302124,0.025795379653573036","0.34840264916419983,0.6313901543617249,-0.0648876279592514","0.4309970438480377,0.9435926079750061,-0.3227474093437195","0.514821469783783,0.3978402018547058,-0.4114556312561035","0.6029408574104309,1.4761741161346436,0.08182839304208755","0.39635446667671204,1.4748311042785645,-0.0818646252155304"
0.0,"0.5041128993034363,0.3659524619579315,-0.18787240982055664","0.548726499080658,0.3227173984050751,0.03557176887989044","0.4326753616333008,0.3344321548938751,-0.003324060468003154","0.3486865162849426,0.631404459476471,-0.08298759162425995","0.43120136857032776,0.9433488845825195,-0.3940010368824005","0.5149548649787903,0.39805540442466736,-0.648526132106781","0.6041570901870728,1.4827016592025757,0.08127845823764801","0.396348237991333,1.4809507131576538,-0.08137556910514832"
0.0,"0.5040019154548645,0.36516129970550537,-0.16393406689167023","0.5487160682678223,0.3225105404853821,0.04152701050043106","0.4326639175415039,0.3331437110900879,0.012146704830229282","0.3487405776977539,0.6319400668144226,-0.06455348432064056","0.4329391419887543,0.9426325559616089,-0.3341969847679138","0.5149507522583008,0.3981717526912689,-0.5027514696121216","0.6046808958053589,1.4825819730758667,0.07566729187965393","0.39636409282684326,1.4811955690383911,-0.0758124366402626"
0.0,"0.5013877153396606,0.36469942331314087,-0.17600679397583008","0.5479109287261963,0.3203030228614807,0.02701958455145359","0.43186140060424805,0.3318164050579071,0.004578924737870693","0.34907644987106323,0.6338919997215271,-0.07446569204330444","0.4337236285209656,0.9400050044059753,-0.3623889088630676","0.5141826868057251,0.3902585804462433,-0.5346137285232544","0.6047746539115906,1.4895129203796387,0.07097470760345459","0.3963676393032074,1.4833506345748901,-0.07114215195178986"
0.0,"0.49861034750938416,0.35706111788749695,-0.1590568572282791","0.5452498197555542,0.31654903292655945,0.021233411505818367","0.43169865012168884,0.3319489657878876,0.03217247128486633","0.35165637731552124,0.6346680521965027,-0.024313144385814667","0.4327501654624939,0.9183215498924255,-0.22664768993854523","0.5127319097518921,0.38522469997406006,-0.3174920976161957","0.6029061675071716,1.489304780960083,0.04922381788492203","0.39575687050819397,1.4825243949890137,-0.04925943911075592"
0.0,"0.48906439542770386,0.3578064441680908,-0.2252703160047531","0.5416967868804932,0.31589967012405396,-0.03912709653377533","0.43104997277259827,0.3342505693435669,0.020052049309015274","0.35197851061820984,0.6366392970085144,-0.043197572231292725","0.4303654134273529,0.8970354795455933,-0.2673022150993347","0.5078136324882507,0.3785667419433594,-0.3944956958293915","0.6004149317741394,1.49546217918396,0.03427361696958542","0.39475366473197937,1.483493685722351,-0.03426898643374443"
0.0,"0.4828587472438812,0.35836261510849,-0.22468331456184387","0.535602331161499,0.3158791959285736,-0.03900866210460663","0.43028074502944946,0.336803138256073,0.009708242490887642","0.35278981924057007,0.6406137943267822,-0.024690715596079826","0.42477625608444214,0.892781138420105,-0.13315919041633606","0.5020850300788879,0.3778851330280304,-0.20135970413684845","0.5992599725723267,1.5027955770492554,0.026349663734436035","0.39438730478286743,1.4844087362289429,-0.026488590985536575"
0.0,"0.48161640763282776,0.3563585877418518,-0.19286681711673737","0.5337429046630859,0.3162178695201874,-0.03587808459997177","0.43021026253700256,0.33681371808052063,0.006482291035354137","0.35267817974090576,0.6406427025794983,-0.03728291764855385","0.4260101318359375,0.8883221745491028,-0.213841050863266","0.4978578984737396,0.3735133707523346,-0.25328367948532104","0.5992988348007202,1.4873428344726562,0.03153820335865021","0.39827921986579895,1.4746217727661133,-0.03156033903360367"
0.0,"0.48238715529441833,0.35855042934417725,-0.19465884566307068","0.5301671624183655,0.323940247297287,-0.032559290528297424","0.4305831789970398,0.34459808468818665,0.0038343530613929033","0.35385170578956604,0.6467122435569763,-0.04250624403357506","0.4267274737358093,0.8849806189537048,-0.24744299054145813","0.49320822954177856,0.37498873472213745,-0.39087849855422974","0.5983606576919556,1.4873015880584717,0.03483607620000839","0.39922255277633667,1.4746174812316895,-0.03486108034849167"
0.0,"0.48012518882751465,0.35819023847579956,-0.1890850067138672","0.5281645059585571,0.3246977627277374,-0.03576577827334404","0.43053239583969116,0.3467716872692108,0.01597270742058754","0.3547796607017517,0.6478861570358276,0.0046748449094593525","0.4261278212070465,0.8813253045082092,-0.0987514853477478","0.48798680305480957,0.37940168380737305,-0.15939953923225403","0.5967794060707092,1.487187147140503,0.019971750676631927","0.39935120940208435,1.4744187593460083,-0.019978459924459457"
0.0,"0.47970470786094666,0.37298572063446045,-0.18799030780792236","0.5259254574775696,0.3373390734195709,-0.0361044816672802","0.4308611750602722,0.3639669716358185,0.011921354569494724","0.35982954502105713,0.6523043513298035,-0.00724251102656126","0.4252369999885559,0.8764927387237549,-0.1978081315755844","0.4860243797302246,0.3826115131378174,-0.41088518500328064","0.5982192754745483,1.487098217010498,0.021778911352157593","0.4055492877960205,1.4755735397338867,-0.021916676312685013"
0.0,"0.47963961958885193,0.37807485461235046,-0.17318828403949738","0.5254663228988647,0.34332743287086487,-0.021219123154878616","0.4311031401157379,0.3695860207080841,0.014741174876689911","0.3606690764427185,0.654905378818512,-0.01929573342204094","0.4230603277683258,0.8745546340942383,-0.28766971826553345","0.48532137274742126,0.38744404911994934,-0.5351260900497437","0.5983602404594421,1.4801077842712402,0.022789761424064636","0.40601086616516113,1.4703326225280762,-0.02300121635198593"
0.0,"0.4788036346435547,0.3689653277397156,-0.20149829983711243","0.5248656272888184,0.34243515133857727,-0.05672832578420639","0.4310959279537201,0.3685283660888672,-0.011878062970936298","0.36007159948349,0.6547561883926392,-0.0289604552090168","0.4187100827693939,0.8728245496749878,-0.29064375162124634","0.48355045914649963,0.3926036059856415,-0.5083876848220825","0.5976788401603699,1.477222204208374,0.012326227501034737","0.4063587188720703,1.4662998914718628,-0.01261415146291256"
0.0,"0.47888702154159546,0.34222814440727234,-0.1620786190032959","0.5250507593154907,0.3422097861766815,0.004981867037713528","0.43108636140823364,0.366319477558136,0.03254350274801254","0.3599977493286133,0.6540085077285767,-0.024276984855532646","0.4175296723842621,0.874196469783783,-0.33856090903282166","0.4813796579837799,0.4052806794643402,-0.6163784265518188","0.59763103723526,1.4732472896575928,0.013033827766776085","0.4051899015903473,1.462512493133545,-0.013335381634533405"
0.0,"0.4800262451171875,0.33001014590263367,-0.14949533343315125","0.5248823165893555,0.3417161703109741,0.03398621082305908","0.4323778748512268,0.36430978775024414,0.04003237560391426","0.3599277138710022,0.6515251398086548,-0.0253590140491724","0.4176998734474182,0.8757064938545227,-0.3936596214771271","0.47982677817344666,0.40957802534103394,-0.6881124377250671","0.597615122795105,1.4605350494384766,0.0336599238216877","0.40492233633995056,1.4538813829421997,-0.033813897520303726"
