gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.48586907982826233,0.5113146901130676,-0.42515429854393005","0.5402098894119263,0.45794427394866943,-0.16084274649620056","0.4300763010978699,0.4746837317943573,-0.19188404083251953","0.3607155382633209,0.7818507552146912,-0.21575209498405457","0.30629974603652954,0.9856413006782532,-0.6736636161804199","0.4454318583011627,0.4985658526420593,-1.1334483623504639","0.5803303122520447,1.5359580516815186,0.04478798434138298","0.38156548142433167,1.5247167348861694,-0.045285873115062714"
0.0,"0.4904490113258362,0.5099549293518066,-0.3867794871330261","0.5403372049331665,0.4575536847114563,-0.11552850902080536","0.4329606890678406,0.46969494223594666,-0.1565176397562027","0.3598037660121918,0.7729552388191223,-0.18273237347602844","0.30024582147598267,0.9817601442337036,-0.592915415763855","0.4483772814273834,0.4870437979698181,-1.0056148767471313","0.5781015157699585,1.532606840133667,0.0454067699611187","0.37912535667419434,1.5189051628112793,-0.04592037945985794"
0.0,"0.4925057291984558,0.5092783570289612,-0.3766023516654968","0.5410558581352234,0.4565954804420471,-0.1392294019460678","0.43599414825439453,0.4678240418434143,-0.16849492490291595","0.3596004843711853,0.7618864178657532,-0.18478533625602722","0.28924471139907837,0.9789801836013794,-0.5278134346008301","0.4509817659854889,0.47949501872062683,-0.8268783688545227","0.5743638277053833,1.5307649374008179,0.037212397903203964","0.3775720000267029,1.516376256942749,-0.03773871064186096"
0.0,"0.4951298236846924,0.5083994269371033,-0.41985154151916504","0.5413601398468018,0.45627325773239136,-0.16175636649131775","0.4375009536743164,0.4672705829143524,-0.18807829916477203","0.35777169466018677,0.7599129676818848,-0.1893083155155182","0.28751140832901,0.9701839089393616,-0.6829925775527954","0.4537728726863861,0.4763926565647125,-1.1481339931488037","0.5748013854026794,1.5288645029067993,0.03568088263273239","0.37773463129997253,1.516106128692627,-0.036168064922094345"
0.0,"0.4967845380306244,0.505364179611206,-0.40411821007728577","0.5415937900543213,0.45506370067596436,-0.163287952542305","0.43965426087379456,0.4630100727081299,-0.18728896975517273","0.3573818504810333,0.7495617270469666,-0.1856331080198288","0.2774231433868408,0.9616317749023438,-0.6068385243415833","0.45532646775245667,0.47431236505508423,-1.018211007118225","0.5748424530029297,1.5221445560455322,0.028904125094413757","0.37781035900115967,1.5070568323135376,-0.02937430702149868"
0.0,"0.49689680337905884,0.4993387758731842,-0.39210501313209534","0.5424521565437317,0.4522554576396942,-0.1582610309123993","0.44214367866516113,0.4586523771286011,-0.16235461831092834","0.359397828578949,0.7472259402275085,-0.16086716949939728","0.27533799409866333,0.9481566548347473,-0.553338885307312","0.4574369788169861,0.46610158681869507,-0.9889880418777466","0.5776101350784302,1.5179399251937866,0.02414928749203682","0.38249891996383667,1.5051631927490234,-0.024679958820343018"
0.0,"0.4975254535675049,0.49576979875564575,-0.39069563150405884","0.5425806045532227,0.4520092010498047,-0.13838975131511688","0.44289571046829224,0.45719677209854126,-0.15916350483894348","0.35933831334114075,0.7466896176338196,-0.1607978492975235","0.27169522643089294,0.9462776780128479,-0.577173113822937","0.4577247202396393,0.4653467833995819,-1.002872109413147","0.5776673555374146,1.516085147857666,0.025575706735253334","0.3835532069206238,1.5051409006118774,-0.026072274893522263"
0.0,"0.4973447918891907,0.492112934589386,-0.35307228565216064","0.5425556302070618,0.4515955150127411,-0.1190430074930191","0.4431355893611908,0.45414215326309204,-0.13249067962169647","0.3594508767127991,0.7434110641479492,-0.1421106457710266","0.26848697662353516,0.9446489810943604,-0.4972195029258728","0.45694810152053833,0.46652060747146606,-0.8858264088630676","0.5782807469367981,1.5116969347000122,0.02666427195072174","0.3861179053783417,1.5049272775650024,-0.02715425193309784"
0.0,"0.4980562627315521,0.4886607229709625,-0.3611064851284027","0.5423285961151123,0.4502389132976532,-0.10567440092563629","0.44351401925086975,0.4494931399822235,-0.12930212914943695","0.3593807518482208,0.7428799271583557,-0.1454821527004242","0.264659583568573,0.9420950412750244,-0.5384353399276733","0.4568471908569336,0.46338143944740295,-0.9387351870536804","0.5775789618492126,1.5105100870132446,0.027413105592131615","0.3855289816856384,1.5030757188796997,-0.027901524677872658"
0.0,"0.4995836317539215,0.48710519075393677,-0.3337114453315735","0.542188823223114,0.4499581754207611,-0.09864075481891632","0.44366511702537537,0.4477364122867584,-0.12237018346786499","0.35926204919815063,0.7432000637054443,-0.13920612633228302","0.2621590793132782,0.9413644671440125,-0.4991491734981537","0.4552214741706848,0.4622266888618469,-0.8169946670532227","0.577682614326477,1.509803056716919,0.02599528059363365","0.38549691438674927,1.5010066032409668,-0.026465019211173058"
0.0,"0.5006077289581299,0.48717427253723145,-0.3421546518802643","0.5421785116195679,0.4497971534729004,-0.10131291300058365","0.44360509514808655,0.4466387927532196,-0.1253770887851715","0.3589784502983093,0.738018274307251,-0.14663729071617126","0.25615012645721436,0.9405622482299805,-0.5239282250404358","0.4523111879825592,0.4601861834526062,-0.8603879809379578","0.5772849321365356,1.5036524534225464,0.026112323626875877","0.3833020329475403,1.4947420358657837,-0.026572221890091896"
0.0,"0.4996102452278137,0.48250138759613037,-0.33477285504341125","0.5405282378196716,0.4472678601741791,-0.09047010540962219","0.44294220209121704,0.44527316093444824,-0.11386130005121231","0.3588877320289612,0.7362494468688965,-0.1409355252981186","0.24745133519172668,0.9376341104507446,-0.5441386699676514","0.4488832950592041,0.4534023702144623,-0.9451505541801453","0.5766914486885071,1.4995595216751099,0.026779476553201675","0.38081198930740356,1.4880695343017578,-0.02721838280558586"
0.0,"0.4955368638038635,0.4745335876941681,-0.2689565420150757","0.5380813479423523,0.4415367841720581,-0.05043651536107063","0.44178324937820435,0.44319406151771545,-0.06669515371322632","0.3567011058330536,0.7286521792411804,-0.11047518253326416","0.24329718947410583,0.9269112348556519,-0.5297854542732239","0.44500088691711426,0.4463133215904236,-0.9358922839164734","0.5780113935470581,1.4870038032531738,0.02870747447013855","0.38116949796676636,1.4794833660125732,-0.029144644737243652"
0.0,"0.4955393373966217,0.47036468982696533,-0.26014989614486694","0.5380067229270935,0.43410107493400574,-0.00512675940990448","0.44128698110580444,0.435924232006073,-0.03085300885140896","0.3557710349559784,0.7283516526222229,-0.06373503059148788","0.23377220332622528,0.9274593591690063,-0.48465266823768616","0.4429387152194977,0.44141319394111633,-0.9011424779891968","0.5777090787887573,1.4868121147155762,0.0288742296397686","0.3777453303337097,1.4796298742294312,-0.029306013137102127"
0.0,"0.49237871170043945,0.4610433876514435,-0.26890164613723755","0.5378094911575317,0.42607879638671875,-0.022265708073973656","0.4404447674751282,0.43071314692497253,-0.023166213184595108","0.35706275701522827,0.7248147130012512,-0.04839122295379639","0.23351018130779266,0.9230921268463135,-0.42148342728614807","0.43892860412597656,0.4404597282409668,-0.798050582408905","0.5758939981460571,1.487234354019165,0.024875901639461517","0.3761327862739563,1.4781780242919922,-0.025352701544761658"
0.0,"0.4926215708255768,0.45827847719192505,-0.2754228711128235","0.5376157164573669,0.42165032029151917,-0.03780088573694229","0.4393285810947418,0.4190169870853424,-0.04892946034669876","0.359064519405365,0.7250735759735107,-0.07574626058340073","0.2317451685667038,0.9158591628074646,-0.4252544939517975","0.4323582053184509,0.43989333510398865,-0.8342592120170593","0.5781843662261963,1.484336018562317,0.027572831138968468","0.3778844177722931,1.4778658151626587,-0.028097689151763916"
0.0,"0.4959241449832916,0.44810885190963745,-0.2425493448972702","0.5376253128051758,0.41467589139938354,-0.01341739110648632","0.4386253356933594,0.4110393524169922,-0.034362874925136566","0.36030974984169006,0.72490394115448,-0.07411517202854156","0.22745731472969055,0.9059221744537354,-0.4600999355316162","0.428514301776886,0.44011279940605164,-0.8444093465805054","0.5813431143760681,1.4832285642623901,0.02757157012820244","0.38008540868759155,1.477601170539856,-0.02810017205774784"
0.0,"0.4974592626094818,0.44449082016944885,-0.26121726632118225","0.5376326441764832,0.4130799174308777,-0.029880264773964882","0.4377104341983795,0.4053308367729187,-0.04919532686471939","0.3595477342605591,0.7245585322380066,-0.08237823843955994","0.2209411859512329,0.9040103554725647,-0.4993738532066345","0.42450985312461853,0.4406565725803375,-0.9351378679275513","0.5812446475028992,1.4841307401657104,0.028179127722978592","0.3789796233177185,1.4815136194229126,-0.02879093959927559"
0.0,"0.4964793622493744,0.4402256906032562,-0.22599294781684875","0.5374659299850464,0.4103897213935852,-0.00870426744222641","0.4374317526817322,0.404939740896225,-0.022285010665655136","0.35947006940841675,0.7229108810424805,-0.06836175918579102","0.21787285804748535,0.8969478011131287,-0.48639291524887085","0.42435574531555176,0.43944430351257324,-0.8662785291671753","0.581595242023468,1.484473466873169,0.028268154710531235","0.3789927661418915,1.4815737009048462,-0.028874706476926804"
0.0,"0.4964774549007416,0.4306402802467346,-0.24166730046272278","0.5378519892692566,0.4037501811981201,-0.007283939514309168","0.4373091757297516,0.39530661702156067,-0.03395135700702667","0.35927850008010864,0.7213122844696045,-0.07475490868091583","0.21699106693267822,0.8948937058448792,-0.4869236350059509","0.42279481887817383,0.4396890103816986,-0.8729297518730164","0.5815111398696899,1.4845682382583618,0.03401629999279976","0.37799710035324097,1.4816741943359375,-0.0346386581659317"
0.0,"0.4987751543521881,0.4252629280090332,-0.23075798153877258","0.5380005836486816,0.3990606963634491,0.014519172720611095","0.43747538328170776,0.3864862620830536,-0.031226977705955505","0.3589516282081604,0.7186248898506165,-0.07889647781848907","0.2148171216249466,0.8848068118095398,-0.5541661977767944","0.4214634895324707,0.4374951720237732,-0.9744782447814941","0.5813747644424438,1.484742522239685,0.04566660895943642","0.37663742899894714,1.4819495677947998,-0.04629315435886383"
0.0,"0.4987927973270416,0.4207426607608795,-0.22847065329551697","0.5386066436767578,0.39244186878204346,0.015177871100604534","0.4375394284725189,0.37795329093933105,-0.02584250271320343","0.3586158752441406,0.7143141627311707,-0.08266568928956985","0.21560490131378174,0.8834021091461182,-0.5536922216415405","0.4221484065055847,0.4262920320034027,-0.9589534997940063","0.5814143419265747,1.4854193925857544,0.04769553989171982","0.3757251501083374,1.4821969270706177,-0.048312440514564514"
0.0,"0.5000468492507935,0.41021546721458435,-0.21749134361743927","0.5402227640151978,0.3882068693637848,0.01344078779220581","0.4379042983055115,0.37405750155448914,-0.026942238211631775","0.35878846049308777,0.7076585292816162,-0.08478792011737823","0.21705853939056396,0.8822946548461914,-0.536799430847168","0.42236223816871643,0.4268195629119873,-0.9259222149848938","0.5813800692558289,1.4804614782333374,0.048284366726875305","0.37574511766433716,1.475250244140625,-0.048888251185417175"
0.0,"0.5004922151565552,0.4121443033218384,-0.2684969902038574","0.5418499112129211,0.38759732246398926,-0.0345933772623539","0.4379257261753082,0.37467655539512634,-0.07333413511514664","0.35930711030960083,0.6981063485145569,-0.09693898260593414","0.2179606705904007,0.8826190233230591,-0.5740505456924438","0.42344242334365845,0.42750993371009827,-1.0502502918243408","0.580633282661438,1.4780534505844116,0.04745543748140335","0.3753064274787903,1.4716020822525024,-0.04814838618040085"
0.0,"0.4983794093132019,0.41302841901779175,-0.25864386558532715","0.5419261455535889,0.388173371553421,-0.030131986364722252","0.4380030035972595,0.3789689242839813,-0.05536133795976639","0.36149781942367554,0.6989324688911438,-0.09694278985261917","0.2186494767665863,0.8830487728118896,-0.5802258253097534","0.42415204644203186,0.4367409944534302,-1.0910398960113525","0.5839183330535889,1.4813642501831055,0.04714518040418625","0.3757745623588562,1.4748423099517822,-0.047796580940485"
0.0,"0.49628981947898865,0.41396471858024597,-0.192907452583313","0.5419698357582092,0.38943663239479065,0.021652985364198685","0.4381047785282135,0.38066554069519043,0.0043337708339095116","0.36145561933517456,0.6994837522506714,-0.06725005805492401","0.2191564291715622,0.883530855178833,-0.5208218693733215","0.42472147941589355,0.4475318491458893,-0.9816611409187317","0.5838390588760376,1.481529951095581,0.04671822488307953","0.3757876455783844,1.4750778675079346,-0.04737056419253349"
0.0,"0.4919445514678955,0.41664332151412964,-0.20703041553497314","0.5421383380889893,0.38968539237976074,-0.01647011749446392","0.4382628798484802,0.38521453738212585,-0.0007526550907641649","0.36201196908950806,0.6990824341773987,-0.07170458883047104","0.21933980286121368,0.8817108273506165,-0.5460342168807983","0.4293452799320221,0.4528009593486786,-1.0372674465179443","0.583575963973999,1.483298420906067,0.04397996515035629","0.3758515417575836,1.4749672412872314,-0.04468904063105583"
0.0,"0.4919578433036804,0.4178583323955536,-0.2916567921638489","0.5423758029937744,0.3908512592315674,-0.07485179603099823","0.43894249200820923,0.38559287786483765,-0.09022889286279678","0.3635810911655426,0.7137657403945923,-0.12751534581184387","0.21265240013599396,0.8564730882644653,-0.6110520958900452","0.4299691617488861,0.4558655619621277,-1.1218284368515015","0.5841653347015381,1.4974366426467896,0.043904997408390045","0.37917718291282654,1.4847958087921143,-0.04458344727754593"
0.0,"0.49096426367759705,0.4186434745788574,-0.3420502543449402","0.5422942042350769,0.3927176594734192,-0.14522263407707214","0.4401532709598541,0.3909556567668915,-0.13380923867225647","0.368257999420166,0.7380732297897339,-0.17167267203330994","0.197206050157547,0.8010463118553162,-0.6577439904212952","0.429955393075943,0.4539780616760254,-1.1809755563735962","0.5841292142868042,1.5184839963912964,0.043820738792419434","0.3769095540046692,1.4998745918273926,-0.044565923511981964"
0.0,"0.49059271812438965,0.42086559534072876,-0.36362481117248535","0.5424903631210327,0.4051726162433624,-0.13772140443325043","0.44015008211135864,0.41130003333091736,-0.14278408885002136","0.3689524829387665,0.7503525018692017,-0.17517176270484924","0.18364885449409485,0.7528790235519409,-0.6687413454055786","0.4289931654930115,0.44514402747154236,-1.162947416305542","0.5916576385498047,1.528245210647583,0.04359966889023781","0.3836018443107605,1.5171762704849243,-0.04437757655978203"
0.0,"0.486941397190094,0.4212411344051361,-0.3517191708087921","0.5421539545059204,0.41010332107543945,-0.12496236711740494","0.43860864639282227,0.4203532040119171,-0.12065859884023666","0.3668346107006073,0.7557329535484314,-0.16745321452617645","0.17098946869373322,0.7305154800415039,-0.667197585105896","0.429019033908844,0.44502881169319153,-1.1227866411209106","0.5916072130203247,1.5435765981674194,0.050072990357875824","0.38384929299354553,1.5323214530944824,-0.05096737667918205"
0.0,"0.48083966970443726,0.4227999746799469,-0.2710903286933899","0.5420938730239868,0.4128063917160034,-0.050726018846035004","0.43606701493263245,0.43366575241088867,-0.049333129078149796","0.36626651883125305,0.7545788288116455,-0.13350170850753784","0.16630813479423523,0.737234354019165,-0.6435838937759399","0.42904049158096313,0.4564380943775177,-1.102626085281372","0.5914838910102844,1.5436545610427856,0.0495963953435421","0.38743704557418823,1.5299872159957886,-0.050471335649490356"
