gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.5425004363059998,0.4882504642009735,-0.5475674271583557","0.6018590331077576,0.4547310173511505,-0.2384016215801239","0.477898508310318,0.4675595164299011,-0.2663579285144806","0.4007495939731598,0.7654003500938416,-0.17136983573436737","0.37478792667388916,1.1731382608413696,-0.24846002459526062","0.42631030082702637,1.466825246810913,-0.4414939284324646","0.6222095489501953,1.4371205568313599,0.055914632976055145","0.44025343656539917,1.4346106052398682,-0.05655253678560257"
0.0,"0.5418400764465332,0.4840394854545593,-0.5549140572547913","0.6000550985336304,0.45077767968177795,-0.25730830430984497","0.47737598419189453,0.4658230245113373,-0.281559556722641","0.3999510705471039,0.764773964881897,-0.17630693316459656","0.3985045850276947,1.1836650371551514,-0.25004464387893677","0.46189308166503906,1.4714338779449463,-0.4489858150482178","0.619695782661438,1.4479506015777588,0.05072209984064102","0.44039687514305115,1.4403655529022217,-0.05131525918841362"
0.0,"0.5386569499969482,0.4792076647281647,-0.5279625654220581","0.5947593450546265,0.44942089915275574,-0.22043859958648682","0.47624874114990234,0.4637547433376312,-0.2410443276166916","0.39884310960769653,0.7444971799850464,-0.13972237706184387","0.3954036831855774,1.0471099615097046,-0.31739911437034607","0.5021817088127136,1.2134801149368286,-0.6933233737945557","0.6134130954742432,1.447755217552185,0.050860535353422165","0.4373832643032074,1.43690824508667,-0.051445215940475464"
0.0,"0.5246710777282715,0.4712791442871094,-0.2705534100532532","0.5858026742935181,0.44824764132499695,-0.012654033489525318","0.47407302260398865,0.4641574025154114,0.01465354673564434","0.41003650426864624,0.7568212747573853,0.056207023561000824","0.4318881928920746,1.0823522806167603,-0.07376411557197571","0.5180383920669556,1.263979196548462,-0.36545029282569885","0.6402430534362793,1.4463613033294678,0.04124579578638077","0.4686976373195648,1.4359636306762695,-0.04171789065003395"
0.0,"0.5206673741340637,0.47141093015670776,-0.34693628549575806","0.573807418346405,0.44704023003578186,-0.10365255177021027","0.47117266058921814,0.4642260670661926,-0.06503719091415405","0.4222439229488373,0.7511869668960571,0.0013906924286857247","0.440537691116333,0.9491716027259827,-0.2681012749671936","0.5315276384353638,0.9230525493621826,-0.7799634337425232","0.6632285118103027,1.353561520576477,0.025688474997878075","0.4990571439266205,1.362860918045044,-0.02607032284140587"
0.0,"0.5366823673248291,0.5262655019760132,-0.1977427899837494","0.5746191143989563,0.5076730251312256,0.04796997457742691","0.4836565852165222,0.4716383218765259,0.044208332896232605","0.41146788001060486,0.7334352135658264,0.10848674923181534","0.43540892004966736,0.9170271158218384,-0.1370166689157486","0.5119001269340515,0.764189600944519,-0.56131911277771","0.6250099539756775,1.3618009090423584,-0.0019018243765458465","0.4581882357597351,1.3523287773132324,0.001384298549965024"
0.0,"0.4986465573310852,0.49902015924453735,-0.5614393353462219","0.5695457458496094,0.49684253334999084,-0.3515339493751526","0.48168691992759705,0.4379618763923645,-0.2373160868883133","0.4009963572025299,0.7327199578285217,-0.012831857427954674","0.3765978515148163,1.0802416801452637,-0.16588136553764343","0.38861238956451416,1.2470669746398926,-0.5197655558586121","0.5841726064682007,1.3991355895996094,-0.030127551406621933","0.42047542333602905,1.3687504529953003,0.02958986535668373"
0.0,"0.4999895989894867,0.4796353280544281,-0.4396103024482727","0.552789568901062,0.45089811086654663,-0.26995664834976196","0.4675697386264801,0.42901530861854553,-0.21559354662895203","0.4012063145637512,0.7241140604019165,-0.17296384274959564","0.3835214674472809,0.897497832775116,-0.48863306641578674","0.4505003094673157,0.5925738215446472,-0.783064603805542","0.5800716876983643,1.3965402841567993,-0.01703132875263691","0.41680002212524414,1.3686466217041016,0.016346557065844536"
0.0,"0.4982408583164215,0.5169925093650818,-0.4278849959373474","0.5390956997871399,0.4544821083545685,-0.24813616275787354","0.45237797498703003,0.4671146869659424,-0.20912866294384003","0.40128135681152344,0.7283844947814941,-0.21761731803417206","0.384151428937912,0.86025071144104,-0.6503719091415405","0.4621564745903015,0.5356759428977966,-1.0415431261062622","0.5857924222946167,1.3987990617752075,0.015013998374342918","0.4216698706150055,1.3715579509735107,-0.01548437587916851"
0.0,"0.500757098197937,0.527190625667572,-0.4318932890892029","0.5358496904373169,0.4722672402858734,-0.23139862716197968","0.4515744149684906,0.4855899512767792,-0.2115679532289505","0.40133920311927795,0.7316394448280334,-0.19684073328971863","0.3851417303085327,0.849047064781189,-0.5598216652870178","0.46170559525489807,0.5176775455474854,-0.9384371042251587","0.590396523475647,1.4000799655914307,0.0157384742051363","0.4227849841117859,1.375714659690857,-0.016192223876714706"
0.0,"0.49644190073013306,0.5388132929801941,-0.3241337537765503","0.5360386967658997,0.4956939220428467,-0.14026620984077454","0.4502062201499939,0.5132489800453186,-0.11905013024806976","0.4012535512447357,0.7451025247573853,-0.1413341760635376","0.38427966833114624,0.8197370767593384,-0.45596474409103394","0.4553259015083313,0.49579107761383057,-0.8337634801864624","0.587856650352478,1.400545358657837,0.015896273776888847","0.4240441918373108,1.3802058696746826,-0.016349047422409058"
0.0,"0.4938732087612152,0.54961097240448,-0.28776273131370544","0.5320889353752136,0.506723165512085,-0.11165878921747208","0.45018982887268066,0.5319369435310364,-0.09013958275318146","0.4010903239250183,0.7591218948364258,-0.11557292938232422","0.38147956132888794,0.8099854588508606,-0.4456453323364258","0.4542832374572754,0.49739667773246765,-0.8104636073112488","0.5889728665351868,1.4008886814117432,0.016044680029153824","0.42529526352882385,1.3814111948013306,-0.016469815745949745"
0.0,"0.49264097213745117,0.5440364480018616,-0.33319681882858276","0.5236251354217529,0.5018232464790344,-0.11899176985025406","0.44938987493515015,0.5242071151733398,-0.10225530713796616","0.40110859274864197,0.7513107061386108,-0.15727785229682922","0.38209840655326843,0.790431559085846,-0.5285838842391968","0.4545673429965973,0.4812012016773224,-0.9027594327926636","0.584705650806427,1.3786535263061523,0.01788906753063202","0.42701807618141174,1.3678234815597534,-0.01829984411597252"
0.0,"0.49259448051452637,0.5590056777000427,-0.24368086457252502","0.5213998556137085,0.5069480538368225,-0.07372686266899109","0.45074376463890076,0.5265629291534424,-0.053273655474185944","0.4015117585659027,0.7563556432723999,-0.04859316349029541","0.38273996114730835,0.8038524389266968,-0.3664887547492981","0.45792025327682495,0.48431670665740967,-0.6346344351768494","0.5788851976394653,1.381737470626831,0.002915633376687765","0.4281969964504242,1.3711355924606323,-0.003443061141297221"
0.0,"0.4918552041053772,0.5409153699874878,-0.30198749899864197","0.5209657549858093,0.48661211133003235,-0.10140372812747955","0.45141538977622986,0.5043950080871582,-0.0902227982878685","0.4054097533226013,0.7518531084060669,-0.06806723028421402","0.383117139339447,0.8050018548965454,-0.3332560360431671","0.46310073137283325,0.4934542775154114,-0.650934100151062","0.5779189467430115,1.3839633464813232,-0.0019447164377197623","0.42966070771217346,1.3670425415039062,0.0014127247268334031"
0.0,"0.48839396238327026,0.5404623746871948,-0.3145850598812103","0.5201894044876099,0.4887074828147888,-0.11112552881240845","0.45179152488708496,0.5038102865219116,-0.10402731597423553","0.40593990683555603,0.7507898807525635,-0.07496629655361176","0.3910105526447296,0.7760083675384521,-0.3640715479850769","0.4681605398654938,0.4689536690711975,-0.684167206287384","0.5777860283851624,1.3860219717025757,-0.008412966504693031","0.4339613914489746,1.369036316871643,0.007848447188735008"
0.0,"0.48926377296447754,0.5387256145477295,-0.30698466300964355","0.5228832960128784,0.4886137545108795,-0.11646275222301483","0.4495486319065094,0.5034106373786926,-0.08442710340023041","0.4058847427368164,0.762482225894928,-0.07685883343219757","0.39111462235450745,0.7886362671852112,-0.38388240337371826","0.4740280508995056,0.4804594814777374,-0.7674450874328613","0.5828807950019836,1.4046239852905273,-0.005756731145083904","0.43460941314697266,1.3949706554412842,0.005221121478825808"
0.0,"0.48965829610824585,0.5382719039916992,-0.27670785784721375","0.5245232582092285,0.4892328977584839,-0.12104381620883942","0.44863152503967285,0.5151568651199341,-0.06403931975364685","0.40585726499557495,0.7677270770072937,-0.05267205834388733","0.39095667004585266,0.7966015338897705,-0.31728968024253845","0.4884920120239258,0.5063729882240295,-0.6345923542976379","0.583469569683075,1.4055448770523071,-0.005566100589931011","0.43476471304893494,1.3966025114059448,0.005108906887471676"
0.0,"0.4901251792907715,0.5374362468719482,-0.2725191116333008","0.5250698924064636,0.49038082361221313,-0.10983707010746002","0.4482235014438629,0.523922324180603,-0.06414204090833664","0.4063666760921478,0.767254650592804,-0.05283020809292793","0.38950011134147644,0.8023394346237183,-0.3082957863807678","0.4942628741264343,0.5166734457015991,-0.6457826495170593","0.5824872255325317,1.4021763801574707,-0.0041304645128548145","0.43461936712265015,1.391318440437317,0.003669251222163439"
0.0,"0.49024033546447754,0.5355442762374878,-0.2895994186401367","0.5265563726425171,0.4903618395328522,-0.11524500697851181","0.44846829771995544,0.5221050977706909,-0.06563781201839447","0.4057804048061371,0.7663559913635254,-0.06944048404693604","0.3883809447288513,0.8074207901954651,-0.3550395965576172","0.49434393644332886,0.5255782008171082,-0.6847763061523438","0.5793184041976929,1.3995966911315918,-0.0027686862740665674","0.43136757612228394,1.3854902982711792,0.0023394182790070772"
