gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.5443029999732971,0.26152533292770386,-1.165438175201416","0.6035651564598083,0.20937173068523407,-0.849827766418457","0.4639011025428772,0.23811107873916626,-0.9539915323257446","0.40981554985046387,0.47365909814834595,-0.858895480632782","0.382204532623291,0.920910120010376,-0.9988029599189758","0.4290078580379486,1.251236915588379,-1.1530040502548218","0.5417711734771729,0.9367882013320923,0.1279701143503189","0.40903815627098083,0.9991203546524048,-0.12811852991580963"
0.0,"0.5410910844802856,0.2569212019443512,-1.2648590803146362","0.5978909730911255,0.20909009873867035,-0.8758761286735535","0.4600604176521301,0.2317003458738327,-1.0054371356964111","0.4077414572238922,0.47517603635787964,-0.8919194340705872","0.38521257042884827,0.9147270321846008,-1.0063889026641846","0.4567413926124573,1.2394964694976807,-1.1558891534805298","0.5380879640579224,0.9921067357063293,0.1345466673374176","0.40507832169532776,1.0066955089569092,-0.13463442027568817"
0.0,"0.5256287455558777,0.2467062622308731,-1.028917908668518","0.5812094807624817,0.20141299068927765,-0.6543253660202026","0.45071300864219666,0.22238777577877045,-0.764693558216095","0.40160712599754333,0.4739212095737457,-0.6961551904678345","0.3851480185985565,0.9054736495018005,-0.8116240501403809","0.4743518829345703,1.2272217273712158,-0.9443157315254211","0.5335918068885803,1.0236952304840088,0.1342376470565796","0.39532580971717834,1.0303384065628052,-0.13433337211608887"
0.0,"0.5074326992034912,0.22601203620433807,-0.7279083132743835","0.5646045804023743,0.18769745528697968,-0.41838541626930237","0.4407428801059723,0.20980529487133026,-0.5055049061775208","0.39506447315216064,0.44512978196144104,-0.4761669635772705","0.3943544626235962,0.8048571348190308,-0.5773529410362244","0.47953587770462036,1.1246299743652344,-0.6895208358764648","0.5214279890060425,1.0126478672027588,0.12703271210193634","0.39611953496932983,1.0206414461135864,-0.127174973487854"
0.0,"0.48986154794692993,0.20701850950717926,-0.5685214996337891","0.5473679304122925,0.17852120101451874,-0.3008955121040344","0.43083876371383667,0.1939873844385147,-0.34144285321235657","0.3837106227874756,0.43312275409698486,-0.31796517968177795","0.43509095907211304,0.8184017539024353,-0.4206063747406006","0.5481393337249756,1.0660723447799683,-0.5351229310035706","0.4981648921966553,1.0024842023849487,0.07837844640016556","0.3793606758117676,0.9773622155189514,-0.07875645160675049"
0.0,"0.4729955196380615,0.19687584042549133,-0.5441592931747437","0.5260592699050903,0.16871780157089233,-0.2946430444717407","0.4254007935523987,0.18678249418735504,-0.32928019762039185","0.3855108618736267,0.4014448821544647,-0.256477028131485","0.4244301915168762,0.6236212253570557,-0.3713782727718353","0.5342065691947937,0.7006738781929016,-0.5786465406417847","0.500849187374115,0.9637575149536133,0.06952644884586334","0.3833983838558197,0.950042724609375,-0.06970696151256561"
0.0,"0.46504098176956177,0.1926986128091812,-0.20707984268665314","0.513058066368103,0.1665058732032776,-0.038558896631002426","0.42867812514305115,0.18347303569316864,-0.03961054980754852","0.3871564269065857,0.38742509484291077,-0.05816579610109329","0.439812570810318,0.5400902032852173,-0.33431488275527954","0.5131531953811646,0.42521312832832336,-0.6520507335662842","0.5047333240509033,0.9566264748573303,0.03834245353937149","0.385548859834671,0.944397509098053,-0.038561515510082245"
0.0,"0.46676915884017944,0.20917396247386932,-0.17287927865982056","0.5069603323936462,0.18721254169940948,-0.013987992890179157","0.43063655495643616,0.19627653062343597,-0.03196467086672783","0.388382226228714,0.3911563754081726,-0.10749147832393646","0.44075146317481995,0.469387024641037,-0.49647384881973267","0.492199182510376,0.34039565920829773,-0.8449524641036987","0.5088905096054077,0.9563264846801758,0.048329178243875504","0.4000977873802185,0.9488195776939392,-0.04852402210235596"
0.0,"0.4516001343727112,0.20561154186725616,-0.1979830265045166","0.49826955795288086,0.18308594822883606,-0.06579175591468811","0.42865943908691406,0.19087745249271393,-0.04955465346574783","0.3891717195510864,0.3752473294734955,-0.10232669115066528","0.43574634194374084,0.46610498428344727,-0.40486136078834534","0.48790961503982544,0.23850427567958832,-0.6769433617591858","0.5099872350692749,0.9531686305999756,0.02956460975110531","0.4002975523471832,0.941925048828125,-0.029562080278992653"
0.0,"0.4395325779914856,0.1650976538658142,-0.1699415147304535","0.48905596137046814,0.16209721565246582,-0.025595316663384438","0.4293992519378662,0.17394432425498962,0.00979070644825697","0.390921413898468,0.3625950813293457,-0.026981765404343605","0.4345102906227112,0.45808443427085876,-0.34857913851737976","0.4675866663455963,0.22192245721817017,-0.6435368061065674","0.5105738639831543,0.9379811882972717,0.02766466699540615","0.40302547812461853,0.9206494688987732,-0.027824649587273598"
