az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.5,0.0,"0.5039907693862915,0.1793893575668335,-0.16244229674339294","0.5083191394805908,0.16404777765274048,-0.14042583107948303","0.5111790299415588,0.1641346663236618,-0.1404733657836914","0.5140349268913269,0.16433867812156677,-0.14049366116523743","0.49904704093933105,0.16349002718925476,-0.14213930070400238","0.4954906404018402,0.1635589748620987,-0.14216837286949158","0.49191540479660034,0.16394726932048798,-0.14216959476470947","0.5142607092857361,0.17086172103881836,-0.027875304222106934","0.4834595322608948,0.1731289029121399,-0.03687753528356552","0.5067287683486938,0.19583380222320557,-0.12172196060419083","0.49508756399154663,0.1957789957523346,-0.12396832555532455","0.5245715379714966,0.25628966093063354,-0.010766977444291115","0.44809117913246155,0.2714522182941437,0.03675968572497368","0.4816972315311432,0.23063695430755615,-0.0661887675523758","0.4447561204433441,0.38799649477005005,0.15713194012641907","0.40359824895858765,0.1992870718240738,-0.05806490033864975","0.44764527678489685,0.5013726353645325,0.2200668752193451","0.3802948296070099,0.20541533827781677,-0.09164215624332428","0.44826874136924744,0.533105731010437,0.21655654907226562","0.37605926394462585,0.20293903350830078,-0.08680463582277298","0.45036011934280396,0.5349630117416382,0.1857663094997406","0.3836783766746521,0.2024727314710617,-0.06044302508234978","0.4509960114955902,0.5254831910133362,0.20901474356651306","0.5076192617416382,0.5160778164863586,0.0071303024888038635","0.46016472578048706,0.5178189873695374,-0.007213784847408533","0.5007387399673462,0.7104827761650085,-0.0021172594279050827","0.46671438217163086,0.7077709436416626,-0.013565637171268463","0.48905953764915466,0.8613415360450745,0.22515249252319336","0.4694913327693939,0.8639943599700928,0.22177787125110626","0.484701544046402,0.8756126165390015,0.2441534698009491","0.4700148105621338,0.881534218788147,0.23786064982414246","0.4985780119895935,0.93001389503479,0.13851603865623474","0.4747145175933838,0.9325675964355469,0.11910394579172134"
0.5,0.0,"0.5008001923561096,0.17937806248664856,-0.17245535552501678","0.5058231353759766,0.16391026973724365,-0.15399500727653503","0.5087454319000244,0.16395491361618042,-0.1540338099002838","0.5116418600082397,0.164162278175354,-0.15407316386699677","0.49537962675094604,0.16343393921852112,-0.15510234236717224","0.49147582054138184,0.16335433721542358,-0.1551358550786972","0.48772233724594116,0.16360239684581757,-0.15512605011463165","0.511717677116394,0.17080900073051453,-0.04849763587117195","0.4793413579463959,0.17269615828990936,-0.053423695266246796","0.5042892694473267,0.19549304246902466,-0.13319018483161926","0.49067243933677673,0.1957838088274002,-0.1346602737903595","0.5237337946891785,0.2486410290002823,-0.023181909695267677","0.4448609948158264,0.27136507630348206,0.02459167130291462","0.47924289107322693,0.22881172597408295,-0.03648831695318222","0.4456680417060852,0.3923530578613281,0.173471137881279","0.3997143507003784,0.1993589848279953,0.019662540405988693","0.44725871086120605,0.4989028573036194,0.2632903456687927","0.37854185700416565,0.20594175159931183,-0.004182728473097086","0.44821467995643616,0.5319027900695801,0.26460516452789307","0.37452614307403564,0.20265062153339386,0.003628896549344063","0.45028209686279297,0.537176251411438,0.23462851345539093","0.3817709684371948,0.20223446190357208,0.019932929426431656","0.4506792426109314,0.5261903405189514,0.25372692942619324","0.5072086453437805,0.5214211940765381,0.005395370535552502","0.45814934372901917,0.5231638550758362,-0.0055319881066679955","0.49808937311172485,0.7115343809127808,0.0020775089506059885","0.4623708724975586,0.7087235450744629,-0.0013463653158396482","0.48485833406448364,0.8601997494697571,0.2503264546394348","0.4639478325843811,0.8630953431129456,0.2707924246788025","0.4798864424228668,0.8751058578491211,0.271179735660553","0.4653030335903168,0.8795316219329834,0.29360976815223694","0.49553218483924866,0.9286840558052063,0.16802549362182617","0.4686240553855896,0.931951642036438,0.19119001924991608"
0.5,0.0,"0.500877857208252,0.17846256494522095,-0.1685774028301239","0.5061203837394714,0.16320791840553284,-0.14953789114952087","0.5090141892433167,0.16342580318450928,-0.14957502484321594","0.5114988684654236,0.16372254490852356,-0.14960436522960663","0.4958133101463318,0.16256359219551086,-0.15219810605049133","0.4913359582424164,0.16249985992908478,-0.15223440527915955","0.48702874779701233,0.1628018319606781,-0.15224097669124603","0.5107831358909607,0.1706797033548355,-0.04528330639004707","0.47835636138916016,0.1723962426185608,-0.05784667283296585","0.5045751929283142,0.19449639320373535,-0.1296582967042923","0.49032410979270935,0.1948508620262146,-0.13306550681591034","0.5250860452651978,0.2465619593858719,-0.02121599391102791","0.44420623779296875,0.2724156975746155,0.016607552766799927","0.484768807888031,0.23330317437648773,-0.03135081008076668","0.44453611969947815,0.3933345675468445,0.14346805214881897","0.3991219699382782,0.20399314165115356,0.011611579917371273","0.4457986354827881,0.501600980758667,0.2125474214553833","0.37785059213638306,0.21039888262748718,-0.013847212307155132","0.4464431703090668,0.5380480289459229,0.2097567617893219","0.37409406900405884,0.2069067358970642,-0.006857623346149921","0.44811710715293884,0.5390601754188538,0.17804335057735443","0.38144344091415405,0.2069772481918335,0.011588799767196178","0.44864773750305176,0.5293740034103394,0.20169039070606232","0.5082457661628723,0.5213683843612671,0.004217717330902815","0.4585508704185486,0.5229012370109558,-0.004297585226595402","0.5004823803901672,0.7119433879852295,-0.002376151503995061","0.46455082297325134,0.7093629837036133,0.009660323150455952","0.4877703785896301,0.8614770770072937,0.24671180546283722","0.46720314025878906,0.8638753890991211,0.2751407027244568","0.48178210854530334,0.8769510984420776,0.26835110783576965","0.46837812662124634,0.8799607753753662,0.29657524824142456","0.49775567650794983,0.9289689064025879,0.16535703837871552","0.4713333547115326,0.9318718910217285,0.19088707864284515"
0.5,0.0,"0.5000303983688354,0.1767323762178421,-0.14799970388412476","0.5047198534011841,0.16189253330230713,-0.12906032800674438","0.5077469348907471,0.16216371953487396,-0.1290942281484604","0.5102816820144653,0.16245637834072113,-0.12909910082817078","0.4942859709262848,0.16168808937072754,-0.13058337569236755","0.4898546636104584,0.16205713152885437,-0.13063016533851624","0.48576146364212036,0.16280986368656158,-0.13065087795257568","0.5105307698249817,0.17013372480869293,-0.027636801823973656","0.47875484824180603,0.17273469269275665,-0.03451390564441681","0.5046185255050659,0.19258910417556763,-0.11028724908828735","0.490875244140625,0.19321592152118683,-0.11190192401409149","0.5266068577766418,0.24731580913066864,-0.008732086047530174","0.44569531083106995,0.2720065116882324,0.028586212545633316","0.48231834173202515,0.23390594124794006,-0.03387177735567093","0.442422479391098,0.3857317268848419,0.12737347185611725","0.3990060091018677,0.20817576348781586,-0.010837738402187824","0.4471352696418762,0.4840043783187866,0.1689634621143341","0.3794393837451935,0.21522822976112366,-0.04297374561429024","0.44823703169822693,0.519687831401825,0.15978361666202545","0.3757287263870239,0.2119312733411789,-0.031025469303131104","0.45101743936538696,0.5202817916870117,0.13145235180854797","0.3825523257255554,0.21168270707130432,-0.00968807004392147","0.4522254467010498,0.5098041892051697,0.15863366425037384","0.5077688694000244,0.5214709639549255,0.006464971695095301","0.45894503593444824,0.5225302577018738,-0.006593769881874323","0.5018671751022339,0.7131157517433167,-0.003851112676784396","0.46479278802871704,0.7096022963523865,0.009159698151051998","0.48871684074401855,0.8625046014785767,0.23972217738628387","0.46807974576950073,0.8640962243080139,0.2641194462776184","0.4826412796974182,0.8784657716751099,0.2613040804862976","0.4695829749107361,0.8801791071891785,0.28278622031211853","0.4988536834716797,0.9290168881416321,0.14824257791042328","0.47204461693763733,0.9320933222770691,0.17723141610622406"
0.5,0.0,"0.5021358728408813,0.17623919248580933,-0.1507687270641327","0.5065046548843384,0.1615176647901535,-0.13146395981311798","0.5093751549720764,0.16178464889526367,-0.13148213922977448","0.5117993354797363,0.1620563566684723,-0.13149143755435944","0.4961170256137848,0.16126567125320435,-0.13460317254066467","0.491596519947052,0.1617698222398758,-0.13465599715709686","0.4871997833251953,0.16273869574069977,-0.13466238975524902","0.5119761228561401,0.16998517513275146,-0.028129255399107933","0.4795876145362854,0.1733752191066742,-0.04277133569121361","0.506564736366272,0.19214078783988953,-0.11247815191745758","0.4924631714820862,0.19301162660121918,-0.11639473587274551","0.5272868871688843,0.252136766910553,-0.007458911277353764","0.44539976119995117,0.27119675278663635,0.021751653403043747","0.4858166575431824,0.2357790619134903,-0.025625962764024734","0.44253888726234436,0.38321059942245483,0.1318386048078537","0.40043503046035767,0.20815567672252655,0.022208737209439278","0.4487290382385254,0.48778054118156433,0.19461475312709808","0.3803302049636841,0.21440184116363525,-0.004905733745545149","0.4498909115791321,0.5233294367790222,0.18970932066440582","0.376226544380188,0.21119774878025055,0.004272147081792355","0.4528927206993103,0.5238257646560669,0.1604682356119156","0.38349732756614685,0.21120618283748627,0.022672610357403755","0.45392394065856934,0.5136056542396545,0.18482747673988342","0.5082783699035645,0.5219510197639465,0.007118350360542536","0.45895248651504517,0.5226196646690369,-0.007252974901348352","0.5018320679664612,0.7125619053840637,-0.006075284909456968","0.46622800827026367,0.7092493772506714,0.005651197861880064","0.48940175771713257,0.8626911640167236,0.22530631721019745","0.46803921461105347,0.8647974729537964,0.2527387738227844","0.4837937355041504,0.8789041042327881,0.24461133778095245","0.469658225774765,0.8810936212539673,0.27419033646583557","0.4998435974121094,0.9289776086807251,0.13107259571552277","0.4723011553287506,0.9323716163635254,0.1630939543247223"
0.5,0.0,"0.5007084608078003,0.17636752128601074,-0.16921992599964142","0.5055771470069885,0.16153989732265472,-0.1511579304933548","0.5086978077888489,0.16175122559070587,-0.15118803083896637","0.5113376975059509,0.16193857789039612,-0.15121135115623474","0.4949866831302643,0.16169239580631256,-0.15264658629894257","0.490672767162323,0.16233959794044495,-0.15269246697425842","0.4866677224636078,0.16346623003482819,-0.1527077853679657","0.5119165182113647,0.16978251934051514,-0.05123253911733627","0.480581134557724,0.1737363636493683,-0.0582728274166584","0.5056688189506531,0.19216109812259674,-0.13202890753746033","0.491682767868042,0.19323566555976868,-0.13375595211982727","0.5280243158340454,0.2516613006591797,-0.02292397990822792","0.44713348150253296,0.2722129821777344,0.011907648295164108","0.48598751425743103,0.23037242889404297,-0.03973507136106491","0.44460153579711914,0.3889918029308319,0.1396934539079666","0.40132126212120056,0.20645195245742798,0.002920903032645583","0.4494415819644928,0.49714282155036926,0.21212518215179443","0.3815913200378418,0.21411709487438202,-0.022250980138778687","0.45027756690979004,0.5336254835128784,0.20997139811515808","0.3774782121181488,0.210881769657135,-0.015424917452037334","0.45316600799560547,0.5350568294525146,0.17963509261608124","0.3843785226345062,0.21044614911079407,0.002679883036762476","0.45438775420188904,0.5254279375076294,0.20199911296367645","0.5093758702278137,0.5221351981163025,0.0068291956558823586","0.4605570435523987,0.5222696661949158,-0.007002648897469044","0.5045417547225952,0.7128403782844543,-0.005870650988072157","0.46673130989074707,0.7085736393928528,0.007597527001053095","0.48922792077064514,0.8628024458885193,0.2348940372467041","0.4692230820655823,0.8644776940345764,0.2610478401184082","0.4843457341194153,0.8787805438041687,0.2568347156047821","0.4711778163909912,0.880753755569458,0.2834380269050598","0.499406635761261,0.9293397665023804,0.1577330380678177","0.47205018997192383,0.9323701858520508,0.18059107661247253"
0.5,0.0,"0.4990219175815582,0.17712655663490295,-0.15005850791931152","0.5040017366409302,0.16227301955223083,-0.1316879391670227","0.5070517659187317,0.16243042051792145,-0.1317247450351715","0.5098398327827454,0.16261930763721466,-0.13172097504138947","0.49419522285461426,0.16230995953083038,-0.1321907639503479","0.49041247367858887,0.16282439231872559,-0.13224123418331146","0.4870191216468811,0.1638311743736267,-0.1322888880968094","0.5101969838142395,0.1701877862215042,-0.034105151891708374","0.4817792475223541,0.17382913827896118,-0.03656891733407974","0.5036272406578064,0.19285985827445984,-0.11434891074895859","0.4899926781654358,0.19358307123184204,-0.11460991948843002","0.5269604921340942,0.2536187767982483,-0.011904324404895306","0.44821420311927795,0.2732531726360321,0.01995067670941353","0.4878467619419098,0.229115292429924,-0.04844525456428528","0.44627809524536133,0.3805706799030304,0.1302521526813507","0.4021729528903961,0.2044859379529953,-0.02213815227150917","0.4520057141780853,0.4866003394126892,0.19106468558311462","0.3821968138217926,0.2114386260509491,-0.05139651149511337","0.45222920179367065,0.5227180123329163,0.1865963637828827","0.3778039216995239,0.2085237056016922,-0.04161665588617325","0.45487236976623535,0.5235210061073303,0.15827006101608276","0.38480499386787415,0.20852139592170715,-0.021673593670129776","0.45621198415756226,0.5123045444488525,0.1812848299741745","0.5104101896286011,0.5227752923965454,0.0061318036168813705","0.4621187746524811,0.5223866701126099,-0.006275865249335766","0.5035755038261414,0.7113233804702759,-0.004673923831433058","0.4669766426086426,0.7082302570343018,0.017632028087973595","0.48721855878829956,0.8632115721702576,0.21391189098358154","0.4680025577545166,0.8663074970245361,0.24314315617084503","0.48257914185523987,0.879551887512207,0.22813555598258972","0.4689943790435791,0.8832488059997559,0.26170068979263306","0.5008647441864014,0.9288986921310425,0.1304732859134674","0.47284531593322754,0.9321630597114563,0.1524192988872528"
0.5,0.0,"0.5006201267242432,0.1760656237602234,-0.16704842448234558","0.5050367116928101,0.16139596700668335,-0.1484440714120865","0.5079408884048462,0.16159014403820038,-0.14849647879600525","0.5105871558189392,0.16178573668003082,-0.14849577844142914","0.49553102254867554,0.16142022609710693,-0.14834704995155334","0.4917026162147522,0.1619189977645874,-0.14837150275707245","0.4881613254547119,0.16284741461277008,-0.14842930436134338","0.5108100175857544,0.16977237164974213,-0.04236305505037308","0.4825194478034973,0.17313390970230103,-0.04859190434217453","0.5051257014274597,0.192109152674675,-0.13030852377414703","0.4916018843650818,0.1925058215856552,-0.13004834949970245","0.5275272130966187,0.25273582339286804,-0.03305311128497124","0.4498704969882965,0.2666594386100769,0.014229108579456806","0.487318754196167,0.23405799269676208,-0.08091755211353302","0.4474708139896393,0.38432303071022034,0.11140312254428864","0.40140724182128906,0.2051219791173935,-0.06907708942890167","0.4499422013759613,0.48988592624664307,0.1420837640762329","0.3805103898048401,0.2125444859266281,-0.09836766123771667","0.4511934220790863,0.5244947671890259,0.1339893490076065","0.37613987922668457,0.20922063291072845,-0.09964127838611603","0.4532368779182434,0.5263199210166931,0.10269004106521606","0.38320934772491455,0.2086450308561325,-0.07299797236919403","0.45371192693710327,0.5159080028533936,0.12996767461299896","0.5107661485671997,0.5216197967529297,0.004257383290678263","0.4620494246482849,0.5209428668022156,-0.004409017972648144","0.5023905038833618,0.7056167721748352,-0.00186677067540586","0.46724429726600647,0.7044627070426941,0.011570780538022518","0.4885936379432678,0.864063024520874,0.2044312208890915","0.4680306017398834,0.8647525310516357,0.22796842455863953","0.48507124185562134,0.8815926313400269,0.21973994374275208","0.469451367855072,0.8824571371078491,0.24401462078094482","0.4999050199985504,0.9292482733726501,0.10547872632741928","0.47013863921165466,0.931459367275238,0.12719401717185974"
0.5,0.0,"0.49840298295021057,0.17616531252861023,-0.16861610114574432","0.5034700632095337,0.1614113450050354,-0.15129566192626953","0.5065616965293884,0.16156548261642456,-0.1513567864894867","0.509536862373352,0.1617368906736374,-0.15135988593101501","0.4934714436531067,0.1614810675382614,-0.14908984303474426","0.48990321159362793,0.16193392872810364,-0.14911241829395294","0.4865855574607849,0.1627904325723648,-0.14916691184043884","0.510016918182373,0.16965611279010773,-0.05286359786987305","0.4820132851600647,0.17268836498260498,-0.04558548703789711","0.5030572414398193,0.19219371676445007,-0.1332399845123291","0.489229291677475,0.19257721304893494,-0.1300082504749298","0.5268718004226685,0.25264570116996765,-0.0389661081135273","0.45098358392715454,0.2667244076728821,0.02477351203560829","0.48518919944763184,0.23129013180732727,-0.08579889684915543","0.449171245098114,0.39079317450523376,0.12705177068710327","0.4019276201725006,0.20429080724716187,-0.05961066484451294","0.4515041708946228,0.4915182888507843,0.15662449598312378","0.3820175528526306,0.2121521681547165,-0.09014840424060822","0.45229482650756836,0.5252575278282166,0.14827582240104675","0.3780200183391571,0.20904991030693054,-0.08388499915599823","0.45412009954452515,0.5267767906188965,0.11860246956348419","0.3844885528087616,0.20821937918663025,-0.060273367911577225","0.4545857906341553,0.5154775977134705,0.14510288834571838","0.5104721784591675,0.5222397446632385,0.00031985779060050845","0.461771160364151,0.5222978591918945,-0.0004570132587105036","0.5020080804824829,0.7085963487625122,-0.0011116322129964828","0.46666622161865234,0.7050862312316895,0.014346088282763958","0.48838862776756287,0.8623521327972412,0.22128424048423767","0.4684739112854004,0.8632932305335999,0.25109410285949707","0.4855845868587494,0.877625048160553,0.23884031176567078","0.47026246786117554,0.8797274231910706,0.26983511447906494","0.499072402715683,0.9285559058189392,0.1315109133720398","0.46979618072509766,0.9310775995254517,0.15530361235141754"
0.5,0.0,"0.4978528916835785,0.17543090879917145,-0.17323003709316254","0.5038071870803833,0.16065464913845062,-0.15535075962543488","0.5072214603424072,0.16081294417381287,-0.1554122269153595","0.5107389688491821,0.16098561882972717,-0.15544340014457703","0.49217239022254944,0.1606297343969345,-0.15431717038154602","0.48802441358566284,0.16103890538215637,-0.15434163808822632","0.48418569564819336,0.16179482638835907,-0.15437178313732147","0.5127809643745422,0.16915342211723328,-0.056833863258361816","0.47954386472702026,0.17189790308475494,-0.052727676928043365","0.5031941533088684,0.19138596951961517,-0.13683636486530304","0.488461434841156,0.19213344156742096,-0.13528984785079956","0.5274688005447388,0.25293317437171936,-0.03277026489377022","0.4479838013648987,0.2707839012145996,0.022458387538790703","0.49122506380081177,0.23967702686786652,-0.06111622601747513","0.4474959373474121,0.3919346332550049,0.14541330933570862","0.410200297832489,0.20247749984264374,-0.007310906890779734","0.4508245885372162,0.4918970465660095,0.20168228447437286","0.3898119330406189,0.2072114795446396,-0.01869986020028591","0.4514854848384857,0.5275546908378601,0.1986565887928009","0.3855321705341339,0.20368266105651855,-0.038343675434589386","0.4534728527069092,0.5293887853622437,0.16835501790046692","0.3920056223869324,0.20371390879154205,-0.016199501231312752","0.4541094899177551,0.5171224474906921,0.1909126341342926","0.5101116895675659,0.5226833820343018,0.0017306217923760414","0.46088457107543945,0.5229727625846863,-0.001791548216715455","0.502510666847229,0.7128904461860657,-0.007088841404765844","0.4654034972190857,0.7072248458862305,0.0076505206525325775","0.4879615306854248,0.8621549606323242,0.22055622935295105","0.4675089716911316,0.8640624284744263,0.2526986598968506","0.4840446412563324,0.8766112327575684,0.2393348664045334","0.4690280854701996,0.880006730556488,0.27244997024536133","0.49982744455337524,0.9284695386886597,0.1386035978794098","0.4709547162055969,0.9317657351493835,0.17658483982086182"
