gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.47740817070007324,0.509505569934845,-0.34207966923713684","0.529866635799408,0.4457213878631592,-0.12968024611473083","0.4354535937309265,0.45818763971328735,-0.13430118560791016","0.36906763911247253,0.730953574180603,-0.17423586547374725","0.3465179204940796,0.8237782120704651,-0.619276225566864","0.4458175599575043,0.5190706253051758,-1.0405343770980835","0.5902197360992432,1.4223544597625732,0.03390935808420181","0.41328638792037964,1.4238684177398682,-0.03437476605176926"
0.0,"0.4840767979621887,0.5092974901199341,-0.2796080708503723","0.5352510213851929,0.45513999462127686,-0.06799720227718353","0.4369962215423584,0.4640241265296936,-0.10419195890426636","0.3669307231903076,0.7370576858520508,-0.1555664837360382","0.35605543851852417,0.8243477940559387,-0.4839974045753479","0.4595268666744232,0.5203616619110107,-0.820335865020752","0.5802687406539917,1.425391674041748,0.042272575199604034","0.4087556302547455,1.4242123365402222,-0.04285622388124466"
0.0,"0.4972469210624695,0.48034214973449707,-0.25249335169792175","0.5436626672744751,0.4551439881324768,-0.05582711845636368","0.4393853545188904,0.4628407061100006,-0.08689512312412262","0.3740171194076538,0.7367764115333557,-0.1158556342124939","0.34847521781921387,0.841129720211029,-0.4146633744239807","0.47151049971580505,0.5317479372024536,-0.7467316389083862","0.5806872844696045,1.4224246740341187,0.04114338010549545","0.41177526116371155,1.415797472000122,-0.04192683473229408"
0.0,"0.5086602568626404,0.468006432056427,-0.2576088607311249","0.5437201261520386,0.45774227380752563,-0.056025296449661255","0.44229570031166077,0.4652143120765686,-0.09848348796367645","0.3751376271247864,0.7457242608070374,-0.18387845158576965","0.3717828691005707,0.8551037907600403,-0.5793458223342896","0.48780807852745056,0.5386562943458557,-0.9251187443733215","0.5875389575958252,1.4210829734802246,0.05767037719488144","0.4200778901576996,1.4199390411376953,-0.058212168514728546"
0.0,"0.5156463980674744,0.46393102407455444,-0.22549650073051453","0.5444843173027039,0.45790359377861023,-0.031284306198358536","0.4477747976779938,0.46689918637275696,-0.09904812276363373","0.38002678751945496,0.7455946207046509,-0.17039094865322113","0.3679426908493042,0.8826767802238464,-0.48034876585006714","0.49300616979599,0.5497414469718933,-0.7787715196609497","0.5908089280128479,1.418995976448059,0.05954800173640251","0.4275936484336853,1.4193215370178223,-0.060075126588344574"
0.0,"0.5183150172233582,0.46543142199516296,-0.23601695895195007","0.544402539730072,0.4623161256313324,-0.02987402118742466","0.44898200035095215,0.4705359637737274,-0.10170876979827881","0.3809203505516052,0.7521846294403076,-0.17043782770633698","0.3708708882331848,0.888907790184021,-0.48494043946266174","0.496446430683136,0.5489426255226135,-0.8238874673843384","0.5922097563743591,1.4182820320129395,0.06826147437095642","0.42835330963134766,1.4205775260925293,-0.06876741349697113"
0.0,"0.5158189535140991,0.466408908367157,-0.19774165749549866","0.5439100861549377,0.467361181974411,0.009035653434693813","0.44902166724205017,0.47563400864601135,-0.06444179266691208","0.3840504586696625,0.7515783309936523,-0.12601371109485626","0.37142401933670044,0.8953241109848022,-0.46201810240745544","0.5005404949188232,0.5617457628250122,-0.8136103749275208","0.592589795589447,1.4047659635543823,0.0658065527677536","0.4297621250152588,1.4107332229614258,-0.0663302019238472"
0.0,"0.5147172212600708,0.46689367294311523,-0.2205813229084015","0.5437099933624268,0.46663397550582886,-0.016379598528146744","0.44941431283950806,0.4765734374523163,-0.07603432238101959","0.385497510433197,0.7514509558677673,-0.1291865110397339","0.3724709153175354,0.8995046019554138,-0.4584794044494629","0.4997268319129944,0.5620336532592773,-0.7912946939468384","0.592568039894104,1.4042479991912842,0.06273545324802399","0.428901344537735,1.4080442190170288,-0.0632588192820549"
0.0,"0.5129393935203552,0.4680492877960205,-0.17808640003204346","0.5432833433151245,0.4660971760749817,0.027198225259780884","0.4491458535194397,0.480225533246994,-0.03240010514855385","0.3876006007194519,0.7513260841369629,-0.10764000564813614","0.37202778458595276,0.9054529070854187,-0.4430149495601654","0.499134361743927,0.5711566209793091,-0.7930645942687988","0.5928460359573364,1.396998643875122,0.06355951726436615","0.4293869137763977,1.4002619981765747,-0.06404999643564224"
0.0,"0.5126099586486816,0.468574196100235,-0.15740631520748138","0.5430547595024109,0.4662434756755829,0.033393606543540955","0.448915958404541,0.48174184560775757,-0.02152891829609871","0.3886224925518036,0.7495352625846863,-0.08545109629631042","0.3708403706550598,0.9048983454704285,-0.35167932510375977","0.4973604679107666,0.5695186853408813,-0.6035168170928955","0.5928272604942322,1.394905924797058,0.0621647946536541","0.4299067556858063,1.3988839387893677,-0.06267739087343216"
0.0,"0.5133551359176636,0.46535342931747437,-0.18285220861434937","0.5431734323501587,0.4659716784954071,0.02575087547302246","0.44961491227149963,0.4812130331993103,-0.02805005945265293","0.3902300000190735,0.7462806105613708,-0.08900131285190582","0.3699992001056671,0.90212082862854,-0.38224905729293823","0.49555596709251404,0.5682281255722046,-0.6826363205909729","0.5925799608230591,1.3930473327636719,0.06127088516950607","0.4299996793270111,1.3966567516326904,-0.061805687844753265"
0.0,"0.5122858285903931,0.46617165207862854,-0.19740711152553558","0.5433081984519958,0.4668821692466736,0.010039128363132477","0.4495081901550293,0.4823925495147705,-0.038952846080064774","0.3899450898170471,0.7503118515014648,-0.09736812114715576","0.3754288852214813,0.9001332521438599,-0.39103543758392334","0.49459314346313477,0.5692874193191528,-0.7703460454940796","0.5941606760025024,1.3936278820037842,0.052931517362594604","0.43022409081459045,1.398616909980774,-0.05341888219118118"
0.0,"0.5096639394760132,0.4642947316169739,-0.2512373626232147","0.5436579585075378,0.4692744314670563,-0.028020670637488365","0.449207603931427,0.48210716247558594,-0.06225096061825752","0.3899550139904022,0.7514241337776184,-0.09806008636951447","0.37471961975097656,0.8964065313339233,-0.435380220413208","0.48562365770339966,0.5685150027275085,-0.8640502095222473","0.5931316018104553,1.3937400579452515,0.04997047036886215","0.4289463460445404,1.3987462520599365,-0.05048639699816704"
0.0,"0.4953788220882416,0.47473493218421936,-0.2724063992500305","0.5430126786231995,0.47168660163879395,-0.031813446432352066","0.4444640576839447,0.4875718057155609,-0.06005530431866646","0.3895535171031952,0.7580536007881165,-0.09927049279212952","0.36941075325012207,0.895018458366394,-0.4709259569644928","0.4801371693611145,0.5724244713783264,-0.9533756375312805","0.5879582166671753,1.4072290658950806,0.04892667382955551","0.421093225479126,1.404202938079834,-0.04948598891496658"
0.0,"0.4908572733402252,0.4816039204597473,-0.33062267303466797","0.540235161781311,0.4783487915992737,-0.10967544466257095","0.44435176253318787,0.49048835039138794,-0.08501393347978592","0.3893725574016571,0.7581331729888916,-0.10287176072597504","0.3620034456253052,0.8907745480537415,-0.552404522895813","0.46537643671035767,0.5896477103233337,-1.050894021987915","0.5880399942398071,1.4111475944519043,0.022658035159111023","0.42124947905540466,1.4063211679458618,-0.023154299706220627"
0.0,"0.48796743154525757,0.4821949899196625,-0.33007386326789856","0.5389269590377808,0.4832829236984253,-0.11559146642684937","0.4438692629337311,0.49140405654907227,-0.09916891157627106","0.38686925172805786,0.7578263282775879,-0.12503163516521454","0.3606794476509094,0.8840406537055969,-0.5717809200286865","0.4604945778846741,0.5972084999084473,-1.043966293334961","0.5881066918373108,1.4111976623535156,0.021306348964571953","0.421308696269989,1.4064165353775024,-0.0218186192214489"
0.0,"0.4807187616825104,0.5138267278671265,-0.31279894709587097","0.5350882411003113,0.4958129823207855,-0.11332277208566666","0.4426542818546295,0.5079793930053711,-0.0710567981004715","0.38676339387893677,0.761605978012085,-0.11624199151992798","0.3572177588939667,0.8814765810966492,-0.5663899779319763","0.452202171087265,0.601553201675415,-1.0792392492294312","0.588521420955658,1.4128912687301636,0.02355230040848255","0.4216112494468689,1.4095885753631592,-0.024080539122223854"
0.0,"0.47645077109336853,0.515245795249939,-0.3105359673500061","0.531988263130188,0.4974334239959717,-0.11864789575338364","0.4416946768760681,0.5114508867263794,-0.08025933802127838","0.387294203042984,0.7655383348464966,-0.1195082813501358","0.35045528411865234,0.8767549991607666,-0.5741267204284668","0.4442064166069031,0.6004012823104858,-1.0456609725952148","0.5885619521141052,1.4207911491394043,0.01843879558146","0.4216759204864502,1.4178649187088013,-0.018965179100632668"
0.0,"0.4743478298187256,0.5250667333602905,-0.3012838065624237","0.5293751358985901,0.5032230019569397,-0.1034691110253334","0.4382282793521881,0.5205960869789124,-0.0819687694311142","0.3867822289466858,0.7694661617279053,-0.1330602467060089","0.34488263726234436,0.869268536567688,-0.6144318580627441","0.4368058741092682,0.5986007452011108,-1.0860565900802612","0.588539719581604,1.4239706993103027,0.020686287432909012","0.42171892523765564,1.4237297773361206,-0.021213775500655174"
0.0,"0.4718913435935974,0.5273831486701965,-0.29178041219711304","0.5284675359725952,0.506447970867157,-0.09654191881418228","0.43399128317832947,0.520888090133667,-0.06265245378017426","0.38341423869132996,0.7730504274368286,-0.10736219584941864","0.34485340118408203,0.8680952191352844,-0.5409125685691833","0.42859262228012085,0.5971581935882568,-0.9625667333602905","0.5883551836013794,1.424224853515625,0.02146453969180584","0.42174339294433594,1.4256142377853394,-0.02201160602271557"
0.0,"0.47075003385543823,0.5404653549194336,-0.28999119997024536","0.526867687702179,0.5096655488014221,-0.09549114853143692","0.4307801127433777,0.531195342540741,-0.061807990074157715","0.3839198052883148,0.774192214012146,-0.0971868708729744","0.33950987458229065,0.868302047252655,-0.49223583936691284","0.4189065992832184,0.5973926782608032,-0.8806520700454712","0.588708221912384,1.4247323274612427,0.018933357670903206","0.4239408075809479,1.4269444942474365,-0.019461873918771744"
0.0,"0.46265119314193726,0.5358104109764099,-0.2786851227283478","0.5234799981117249,0.5082373023033142,-0.10312293469905853","0.42997169494628906,0.5292491316795349,-0.0503753200173378","0.38412004709243774,0.778195858001709,-0.08469000458717346","0.3379784822463989,0.869400680065155,-0.4462553560733795","0.41506829857826233,0.597186803817749,-0.8263958692550659","0.5897966027259827,1.4295175075531006,0.012477025389671326","0.42515453696250916,1.4303853511810303,-0.013042213395237923"
0.0,"0.46472257375717163,0.5406447052955627,-0.2645599842071533","0.5227116346359253,0.5091416835784912,-0.062128882855176926","0.43015557527542114,0.5317314863204956,-0.039507053792476654","0.3844870924949646,0.7806749939918518,-0.08014871925115585","0.33744877576828003,0.8689744472503662,-0.4572545886039734","0.41007551550865173,0.5960188508033752,-0.8716281652450562","0.5915443897247314,1.4295991659164429,0.01541813462972641","0.427236407995224,1.4319276809692383,-0.016032328829169273"
0.0,"0.4653140902519226,0.544234037399292,-0.26602083444595337","0.5230516195297241,0.512102484703064,-0.07154322415590286","0.4301883280277252,0.5336394309997559,-0.04387057200074196","0.38489773869514465,0.7802180051803589,-0.06880723685026169","0.33378666639328003,0.8727744817733765,-0.37767189741134644","0.40856510400772095,0.5956571102142334,-0.6973764300346375","0.5913515686988831,1.433228850364685,0.008088595233857632","0.42739295959472656,1.4340218305587769,-0.008673638105392456"
