az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.5,0.0,"0.5032075643539429,0.3951558768749237,-0.30572840571403503","0.5101661682128906,0.37538018822669983,-0.2844810485839844","0.5148626565933228,0.3756047189235687,-0.2845911681652069","0.5187343955039978,0.3761630952358246,-0.2846539318561554","0.49638229608535767,0.3749351501464844,-0.28732746839523315","0.49148160219192505,0.3753372132778168,-0.2873341143131256","0.4868195652961731,0.37638381123542786,-0.2873842716217041","0.5218021869659424,0.38762375712394714,-0.15735110640525818","0.48060092329978943,0.38869625329971313,-0.17425213754177094","0.5129169225692749,0.4190734028816223,-0.2597082555294037","0.49495935440063477,0.41972291469573975,-0.26426103711128235","0.5509170293807983,0.5155614018440247,-0.09961114823818207","0.43763113021850586,0.5116503834724426,-0.08887965977191925","0.5655279159545898,0.6676587462425232,-0.06819718331098557","0.37236449122428894,0.5130093097686768,-0.076666921377182","0.5526654720306396,0.8057228326797485,-0.18519195914268494","0.3062615990638733,0.48617854714393616,-0.17605289816856384","0.5528902411460876,0.8548555970191956,-0.2215152531862259","0.2839774489402771,0.489057332277298,-0.20603878796100616","0.5433313250541687,0.8486063480377197,-0.2569185495376587","0.28460362553596497,0.4899986982345581,-0.23660552501678467","0.5414737462997437,0.8345925211906433,-0.20136618614196777","0.2919134199619293,0.4932715594768524,-0.1946037858724594","0.5246078372001648,0.8174285292625427,0.006212587468326092","0.4579557478427887,0.8235841393470764,-0.005763382185250521","0.5265906453132629,0.9814480543136597,0.03939100727438927","0.46006760001182556,0.9898587465286255,0.03248443454504013","0.5272814035415649,1.1976693868637085,0.37855595350265503","0.4704154133796692,1.2089462280273438,0.2917464077472687","0.5252669453620911,1.216784954071045,0.4088219106197357","0.471208393573761,1.2316279411315918,0.314142644405365","0.5256692171096802,1.269677758216858,0.2921707034111023","0.4829257130622864,1.2740473747253418,0.1706131100654602"
0.5,0.0,"0.5032658576965332,0.3940775692462921,-0.3052282929420471","0.5095852017402649,0.37460529804229736,-0.2878279387950897","0.5138692855834961,0.3750220835208893,-0.2879865765571594","0.5170313119888306,0.3758274018764496,-0.2881060242652893","0.4955419600009918,0.3748539686203003,-0.28778088092803955","0.49011510610580444,0.3754691779613495,-0.28780585527420044","0.4852329194545746,0.3765659034252167,-0.2878528833389282","0.5201311707496643,0.3876931071281433,-0.16405856609344482","0.47798651456832886,0.38881373405456543,-0.17547783255577087","0.5126079320907593,0.41832488775253296,-0.2604394555091858","0.4945737421512604,0.41920042037963867,-0.26236051321029663","0.5517171621322632,0.5222095251083374,-0.11349203437566757","0.43748822808265686,0.507216215133667,-0.07252589613199234","0.564915120601654,0.6695200800895691,-0.08932603895664215","0.37329667806625366,0.5112287998199463,0.024189485237002373","0.5564566254615784,0.8089398741722107,-0.20937378704547882","0.305264413356781,0.4916699230670929,0.03578106313943863","0.5594745874404907,0.8569536209106445,-0.2459244728088379","0.2804698944091797,0.4953659176826477,0.027051586657762527","0.5473629832267761,0.8527047634124756,-0.28181397914886475","0.28241947293281555,0.49777907133102417,-0.009305335581302643","0.544082522392273,0.8388625979423523,-0.22612330317497253","0.29061052203178406,0.5012966394424438,0.01799428090453148","0.5244827270507812,0.8235100507736206,0.0025570285506546497","0.45698150992393494,0.8254489302635193,-0.002162287477403879","0.5259893536567688,0.9793888330459595,0.04489780217409134","0.4578978419303894,0.9866505861282349,0.047084711492061615","0.5183683633804321,1.1903926134109497,0.3920978903770447","0.46528393030166626,1.1975821256637573,0.33357927203178406","0.5159496665000916,1.2092801332473755,0.4243322014808655","0.46679672598838806,1.2175217866897583,0.3593658208847046","0.5156439542770386,1.2600873708724976,0.3204523026943207","0.47251224517822266,1.2638970613479614,0.22540739178657532"
0.5,0.0,"0.5028272271156311,0.3939734995365143,-0.3089947998523712","0.5088692903518677,0.3744925260543823,-0.2931003272533417","0.513017475605011,0.37486499547958374,-0.29326850175857544","0.5159282088279724,0.3756231665611267,-0.2934209704399109","0.49471354484558105,0.37498220801353455,-0.29055196046829224","0.48918843269348145,0.3757559359073639,-0.2906188666820526","0.4843502938747406,0.3768954277038574,-0.2906532287597656","0.5193849802017212,0.38752883672714233,-0.17489275336265564","0.477064311504364,0.3891009986400604,-0.1726033240556717","0.5118966102600098,0.4182758629322052,-0.264282763004303","0.493854820728302,0.41917723417282104,-0.2636680006980896","0.5519662499427795,0.52028489112854,-0.11603562533855438","0.4377782940864563,0.5067266821861267,-0.06796379387378693","0.5678635835647583,0.6699482202529907,-0.09081108868122101","0.37396448850631714,0.5152084231376648,-0.00025092324358411133","0.5569590330123901,0.807925820350647,-0.20672304928302765","0.3126034140586853,0.48957300186157227,-0.02570144459605217","0.5586729645729065,0.854606568813324,-0.24462728202342987","0.2873712480068207,0.4938165545463562,-0.04106307774782181","0.5469424724578857,0.8481415510177612,-0.28011128306388855","0.2898673415184021,0.49645641446113586,-0.07428920269012451","0.5439519286155701,0.8353663086891174,-0.22248029708862305","0.2995443642139435,0.500691294670105,-0.04329458624124527","0.5226399302482605,0.824457049369812,0.0007270906353369355","0.45657879114151,0.825384259223938,-0.0003129403048660606","0.5248989462852478,0.979709267616272,0.06072746589779854","0.458505243062973,0.9857719540596008,0.060486696660518646","0.5167773962020874,1.1957073211669922,0.4173460602760315","0.46063509583473206,1.1984533071517944,0.3759167790412903","0.5155064463615417,1.215952754020691,0.45130619406700134","0.46104711294174194,1.2195603847503662,0.4056115746498108","0.5121259689331055,1.2671887874603271,0.347606360912323","0.4674539566040039,1.2670998573303223,0.27345389127731323"
0.5,0.0,"0.5026873350143433,0.3941810131072998,-0.31180340051651","0.5088513493537903,0.37490221858024597,-0.29434719681739807","0.5128616094589233,0.37551048398017883,-0.2945113480091095","0.5158569812774658,0.3764365017414093,-0.29469940066337585","0.49441275000572205,0.3754205107688904,-0.29338642954826355","0.4889264702796936,0.3764275908470154,-0.29344722628593445","0.48397380113601685,0.37761127948760986,-0.2934894561767578","0.5204306840896606,0.3886098563671112,-0.1723017394542694","0.47675055265426636,0.38969895243644714,-0.17547905445098877","0.5113425850868225,0.4191891551017761,-0.26545780897140503","0.4931758940219879,0.41944003105163574,-0.26668527722358704","0.5523966550827026,0.5207494497299194,-0.11183860152959824","0.43737801909446716,0.5063865780830383,-0.0785541981458664","0.5683175325393677,0.6714646816253662,-0.08541145920753479","0.37505555152893066,0.5157841444015503,-0.04121464118361473","0.5595046281814575,0.8061314821243286,-0.19706277549266815","0.31558340787887573,0.49333733320236206,-0.10723626613616943","0.5606015920639038,0.8512073159217834,-0.23353099822998047","0.28980106115341187,0.49727800488471985,-0.1392207145690918","0.5489592552185059,0.8430836200714111,-0.268049418926239","0.29217833280563354,0.49850526452064514,-0.16070185601711273","0.5462421774864197,0.8305881023406982,-0.2124650776386261","0.3027803599834442,0.5028293132781982,-0.12875667214393616","0.5232226252555847,0.8252040147781372,0.00358135299757123","0.45726385712623596,0.8263822197914124,-0.0032770123798400164","0.5268346667289734,0.9795784950256348,0.06326077878475189","0.45882129669189453,0.9819579124450684,0.06429989635944366","0.5228447318077087,1.1611886024475098,0.43436574935913086","0.4656071066856384,1.1667088270187378,0.40274280309677124","0.5213867425918579,1.1796780824661255,0.4701513350009918","0.4679308831691742,1.184791922569275,0.4355801045894623","0.5210343599319458,1.2286187410354614,0.37443649768829346","0.47311386466026306,1.2344456911087036,0.31604692339897156"
0.5,0.0,"0.5025534629821777,0.3945263624191284,-0.3169437050819397","0.5089200139045715,0.37532466650009155,-0.29856041073799133","0.5129209160804749,0.37601804733276367,-0.2987205386161804","0.5159107446670532,0.3770206868648529,-0.29886287450790405","0.4944654405117035,0.3755507469177246,-0.29897117614746094","0.48907795548439026,0.37659552693367004,-0.2990615665912628","0.48409444093704224,0.3777868449687958,-0.29909607768058777","0.5207921266555786,0.38927581906318665,-0.1705079972743988","0.4769287705421448,0.38990941643714905,-0.18082371354103088","0.511162519454956,0.41980674862861633,-0.2687190771102905","0.49306759238243103,0.41969457268714905,-0.27178651094436646","0.5517788529396057,0.5212398767471313,-0.10669131577014923","0.4374961256980896,0.5074742436408997,-0.08562907576560974","0.5686812400817871,0.6692414879798889,-0.08661003410816193","0.37424182891845703,0.5167773365974426,-0.11773600429296494","0.5590911507606506,0.8052136898040771,-0.21537616848945618","0.3123449683189392,0.4949374794960022,-0.17064976692199707","0.5600405931472778,0.850042462348938,-0.25488701462745667","0.28784850239753723,0.49926477670669556,-0.19663307070732117","0.5479733347892761,0.8413011431694031,-0.2900465428829193","0.2906340956687927,0.5003937482833862,-0.22642648220062256","0.5453352332115173,0.8292115330696106,-0.23133286833763123","0.29886454343795776,0.5038729906082153,-0.18778975307941437","0.523869514465332,0.8264691829681396,0.006087934132665396","0.4585770070552826,0.8277143836021423,-0.005781382322311401","0.526238203048706,0.9821823239326477,0.05954604223370552","0.4593845009803772,0.9835050702095032,0.055990152060985565","0.5247746706008911,1.1876050233840942,0.4299708902835846","0.46438533067703247,1.1927472352981567,0.3579823970794678","0.522720456123352,1.2060787677764893,0.4651966094970703","0.464751660823822,1.213362216949463,0.3864956796169281","0.5221418142318726,1.2603659629821777,0.3606967031955719","0.4737231731414795,1.2588818073272705,0.2494198977947235"
0.5,0.0,"0.5021870136260986,0.39485040307044983,-0.30501389503479004","0.5087758302688599,0.3757877051830292,-0.2880670428276062","0.5129280090332031,0.3764934241771698,-0.28822386264801025","0.5159907937049866,0.37751108407974243,-0.2883527874946594","0.4942319393157959,0.37583041191101074,-0.287399023771286","0.4890311658382416,0.3768661916255951,-0.28745585680007935","0.48424091935157776,0.37799426913261414,-0.2875022292137146","0.5207352638244629,0.38966336846351624,-0.1680178940296173","0.4775781035423279,0.39002078771591187,-0.17179648578166962","0.5107120275497437,0.42026588320732117,-0.25959938764572144","0.49278321862220764,0.419893354177475,-0.2607106566429138","0.5531237125396729,0.5199503302574158,-0.10975126177072525","0.44078969955444336,0.5101483464241028,-0.07296602427959442","0.5672587752342224,0.6684455275535583,-0.09265892207622528","0.3759870231151581,0.519091784954071,-0.02440425381064415","0.5562726855278015,0.8042528629302979,-0.22183743119239807","0.31672099232673645,0.4930128753185272,-0.06721411645412445","0.5584445595741272,0.8502476811408997,-0.2600474953651428","0.2900547981262207,0.49879100918769836,-0.08429624885320663","0.5468836426734924,0.8435311913490295,-0.2944318950176239","0.29213017225265503,0.4999435544013977,-0.11591523885726929","0.5437113642692566,0.8306356072425842,-0.2375846803188324","0.30222848057746887,0.5037370324134827,-0.08471560478210449","0.5250580310821533,0.8267199397087097,0.003106545889750123","0.45905059576034546,0.8281451463699341,-0.002740021562203765","0.5313392877578735,0.9817999005317688,0.039445843547582626","0.45983514189720154,0.9836164712905884,0.04775921255350113","0.5302609205245972,1.186801552772522,0.39127543568611145","0.46579521894454956,1.188757300376892,0.3522716462612152","0.5289052724838257,1.205474615097046,0.4252385199069977","0.46689480543136597,1.2088950872421265,0.3808976411819458","0.52906733751297,1.259583592414856,0.3253439664840698","0.4721449911594391,1.2563636302947998,0.25138527154922485"
0.5,0.0,"0.5017534494400024,0.3941599130630493,-0.3032171428203583","0.5087352991104126,0.3750283420085907,-0.28580066561698914","0.512832760810852,0.375577449798584,-0.28595462441444397","0.5158355236053467,0.3767625093460083,-0.28608185052871704","0.4941745400428772,0.3753964602947235,-0.28478819131851196","0.48904165625572205,0.37634286284446716,-0.2848176062107086","0.48426032066345215,0.3777052164077759,-0.2848552167415619","0.5206104516983032,0.38961970806121826,-0.1699775755405426","0.4777776300907135,0.3898962736129761,-0.1725708544254303","0.5106244683265686,0.41942307353019714,-0.2602137625217438","0.4925230145454407,0.4192424714565277,-0.2607516646385193","0.552510678768158,0.5206027626991272,-0.1190367341041565","0.44076237082481384,0.5093942284584045,-0.06449009478092194","0.5670446157455444,0.6661941409111023,-0.09752462804317474","0.37741830945014954,0.5213587880134583,0.08000276982784271","0.5553182363510132,0.800889253616333,-0.2160487174987793","0.31413212418556213,0.49294644594192505,0.15532346069812775","0.5576232671737671,0.8469709753990173,-0.25022679567337036","0.2898124158382416,0.4974566698074341,0.1576259583234787","0.5470013618469238,0.8400953412055969,-0.2861645817756653","0.2917416989803314,0.4991016387939453,0.1244882345199585","0.543702244758606,0.8274305462837219,-0.2326938360929489","0.29892635345458984,0.5031111240386963,0.14079788327217102","0.5235257148742676,0.8264794945716858,-0.0010331908706575632","0.4579024314880371,0.8270775079727173,0.0013137278147041798","0.5334873199462891,0.9788073301315308,0.03599395230412483","0.461273193359375,0.9828310608863831,0.05429397150874138","0.53143310546875,1.1731232404708862,0.3961337208747864","0.47212305665016174,1.1796221733093262,0.3557531535625458","0.5305273532867432,1.190746545791626,0.43070030212402344","0.4730980396270752,1.1985340118408203,0.3836195170879364","0.5311345458030701,1.242565393447876,0.33571726083755493","0.47866731882095337,1.2464735507965088,0.2577456831932068"
0.5,0.0,"0.5018565654754639,0.39381903409957886,-0.3037862479686737","0.5087385773658752,0.3747560679912567,-0.28664079308509827","0.5128234028816223,0.3753012716770172,-0.2867980897426605","0.5159032344818115,0.376546174287796,-0.28693321347236633","0.4941641390323639,0.3753974437713623,-0.2851852774620056","0.4890684187412262,0.3763958811759949,-0.28523343801498413","0.48429352045059204,0.3778482675552368,-0.28527557849884033","0.5209669470787048,0.3895051181316376,-0.17219050228595734","0.4780959188938141,0.3902045488357544,-0.17264685034751892","0.5106511116027832,0.41868939995765686,-0.2607732117176056","0.49255242943763733,0.41896164417266846,-0.26098009943962097","0.5542532205581665,0.5207800269126892,-0.11590854823589325","0.4413427710533142,0.5075352787971497,-0.07073087245225906","0.5677394866943359,0.6675846576690674,-0.09296070039272308","0.3786050081253052,0.5195070505142212,0.0216685701161623","0.5567520260810852,0.8030989170074463,-0.2060789316892624","0.3182903528213501,0.4935086965560913,0.0336979478597641","0.5592055320739746,0.8494181036949158,-0.2411651611328125","0.29235807061195374,0.49892696738243103,0.025876116007566452","0.547124981880188,0.8415776491165161,-0.2756739556789398","0.2939170300960541,0.4999254047870636,-0.007659477181732655","0.5438170433044434,0.828828752040863,-0.22160539031028748","0.3030853569507599,0.5037258267402649,0.017223402857780457","0.5244547128677368,0.8262057900428772,0.003079437417909503","0.45770806074142456,0.8256520628929138,-0.002744098659604788","0.5314374566078186,0.9782132506370544,0.044390272349119186","0.46047013998031616,0.983242392539978,0.048825133591890335","0.5312538743019104,1.1724493503570557,0.39958274364471436","0.46500712633132935,1.1796021461486816,0.3548439145088196","0.5296503901481628,1.190267562866211,0.43395286798477173","0.4666202962398529,1.1985414028167725,0.3840729594230652","0.5317700505256653,1.2426745891571045,0.33874696493148804","0.4701826572418213,1.2461512088775635,0.25799939036369324"
0.5,0.0,"0.5019434094429016,0.3933311104774475,-0.3030722141265869","0.5087653398513794,0.37427547574043274,-0.2857181429862976","0.5129204392433167,0.37473317980766296,-0.28586843609809875","0.516198992729187,0.37602341175079346,-0.2859850823879242","0.4941599369049072,0.3750043511390686,-0.28456300497055054","0.48908525705337524,0.3759672939777374,-0.284614622592926","0.4843028485774994,0.3775513470172882,-0.2846498489379883","0.5218637585639954,0.3891459107398987,-0.1679387241601944","0.4781692922115326,0.3901499807834625,-0.16989119350910187","0.5107167959213257,0.4179818332195282,-0.25895023345947266","0.49252742528915405,0.4185681939125061,-0.25946474075317383","0.5545228719711304,0.5212860703468323,-0.11072815954685211","0.44076451659202576,0.507308304309845,-0.07148768752813339","0.5687359571456909,0.6683263778686523,-0.08764088153839111","0.3774479627609253,0.522655189037323,-0.006854314357042313","0.558256983757019,0.8009189963340759,-0.2041773498058319","0.3162906765937805,0.49428972601890564,-0.033638786524534225","0.559353232383728,0.8467603921890259,-0.24138936400413513","0.2911384701728821,0.4991644620895386,-0.04846109449863434","0.5476948618888855,0.8383915424346924,-0.27555543184280396","0.29284602403640747,0.5007038116455078,-0.08145938813686371","0.5448890924453735,0.8254545331001282,-0.21959109604358673","0.30125001072883606,0.5046312808990479,-0.051181066781282425","0.5253745913505554,0.8256141543388367,0.005215853918343782","0.4590834677219391,0.8255851864814758,-0.004840245004743338","0.5298482179641724,0.9782251119613647,0.049114249646663666","0.46136927604675293,0.9812304973602295,0.04864340275526047","0.5243172645568848,1.176388144493103,0.3992627263069153","0.4654744267463684,1.1823079586029053,0.3341752588748932","0.5219038724899292,1.194712519645691,0.4314555525779724","0.46653851866722107,1.2029341459274292,0.3599454164505005","0.5232688188552856,1.2474489212036133,0.3286071717739105","0.47164350748062134,1.2476998567581177,0.2213841676712036"
0.5,0.0,"0.5021992325782776,0.3932204842567444,-0.3017865717411041","0.5088489055633545,0.37400224804878235,-0.28443267941474915","0.5129732489585876,0.3744962811470032,-0.2845802307128906","0.516414999961853,0.3758589029312134,-0.28468984365463257","0.494234561920166,0.37484678626060486,-0.28388628363609314","0.48912081122398376,0.37576165795326233,-0.2839442193508148","0.48440679907798767,0.3774462938308716,-0.28399884700775146","0.5221673846244812,0.3891226053237915,-0.16496095061302185","0.47840338945388794,0.39030417799949646,-0.1698566973209381","0.5107980966567993,0.41792184114456177,-0.25723761320114136","0.4925997853279114,0.4185129404067993,-0.25837236642837524","0.5541368126869202,0.520081639289856,-0.10517644882202148","0.44025903940200806,0.509731650352478,-0.07274305820465088","0.5677511096000671,0.665047824382782,-0.08457470685243607","0.378063827753067,0.5217643976211548,0.0022277762182056904","0.558531641960144,0.7995737791061401,-0.2112099677324295","0.3137843906879425,0.4983138144016266,-0.010229953564703465","0.5618062615394592,0.8461619019508362,-0.24722018837928772","0.2892734706401825,0.5024619698524475,-0.021521756425499916","0.5506343245506287,0.8398971557617188,-0.28253981471061707","0.29161083698272705,0.5049495697021484,-0.05418933182954788","0.5469760894775391,0.8276074528694153,-0.22752916812896729","0.3001154065132141,0.5089380741119385,-0.02676885388791561","0.5251421332359314,0.8260208964347839,0.007574587129056454","0.4596687853336334,0.8264376521110535,-0.007212556898593903","0.5331504940986633,0.9787932634353638,0.05556141585111618","0.4626022279262543,0.9823753237724304,0.04737913981080055","0.5285528898239136,1.1810580492019653,0.40578222274780273","0.46734514832496643,1.187748908996582,0.3542654812335968","0.525973916053772,1.1998709440231323,0.43887439370155334","0.46775683760643005,1.208191156387329,0.3832579255104065","0.5284127593040466,1.253744125366211,0.3374386727809906","0.4773849844932556,1.2520055770874023,0.251068115234375"
