az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-0.5,0.0,"0.4911677837371826,0.3984620273113251,-0.22569842636585236","0.5003341436386108,0.3747584819793701,-0.20029720664024353","0.5060223340988159,0.37448006868362427,-0.20042511820793152","0.5111970901489258,0.3749876618385315,-0.20060674846172333","0.4842870831489563,0.3760828971862793,-0.2129313051700592","0.4802234172821045,0.37673869729042053,-0.2129773199558258","0.4767614006996155,0.3775964081287384,-0.21311238408088684","0.5176253318786621,0.3849114775657654,-0.05519992113113403","0.4741028845310211,0.3844703137874603,-0.10939253866672516","0.5020251274108887,0.42444658279418945,-0.16836626827716827","0.4830862879753113,0.4241732656955719,-0.1844176948070526","0.5415384769439697,0.5005385875701904,0.05022839456796646","0.45228108763694763,0.4706273376941681,-0.15752273797988892","0.5682553648948669,0.581508994102478,0.06284012645483017","0.5282022953033447,0.5152850151062012,-0.28995099663734436","0.585739016532898,0.6098987460136414,-0.0025355410762131214","0.6308612823486328,0.48552393913269043,-0.2921779155731201","0.5923125743865967,0.6275746822357178,-0.022930264472961426","0.6542830467224121,0.4880279004573822,-0.32307127118110657","0.5883785486221313,0.611281156539917,-0.03708755224943161","0.6590296030044556,0.4809747338294983,-0.31543850898742676","0.5836790800094604,0.6060577034950256,-0.01216872688382864","0.6499552726745605,0.48343560099601746,-0.2888669967651367","0.5360273122787476,0.8098520040512085,0.047375261783599854","0.4695506989955902,0.8042111992835999,-0.04697547107934952","0.5486751198768616,1.0118001699447632,0.005745723377913237","0.4780307710170746,1.0013781785964966,-0.004999271593987942","0.5442824363708496,1.1903129816055298,0.2920681834220886","0.4820721745491028,1.203464388847351,0.3055848777294159","0.5380665063858032,1.2127095460891724,0.31654512882232666","0.4802328944206238,1.2220187187194824,0.33235475420951843","0.559830367565155,1.2573425769805908,0.20608100295066833","0.49444133043289185,1.2776966094970703,0.2022167146205902"
-0.5,0.0,"0.5006328225135803,0.4018285870552063,-0.26034700870513916","0.5085688829421997,0.3791068196296692,-0.2403690367937088","0.5136780142784119,0.3795843720436096,-0.2404794991016388","0.5177303552627563,0.3801426291465759,-0.24060848355293274","0.4922717213630676,0.3775500953197479,-0.24630920588970184","0.4862701892852783,0.3776293396949768,-0.24634778499603271","0.48160576820373535,0.37840643525123596,-0.24648579955101013","0.5239486694335938,0.3876607120037079,-0.10822892189025879","0.47565537691116333,0.38577601313591003,-0.13557466864585876","0.5089426040649414,0.4250466525554657,-0.2071898728609085","0.4911467134952545,0.4250791370868683,-0.21462932229042053","0.5426920652389526,0.48679089546203613,-0.03711069002747536","0.4546089172363281,0.4888998568058014,-0.16092346608638763","0.49527058005332947,0.6105244755744934,-0.061786163598299026","0.5030070543289185,0.5192451477050781,-0.2910795211791992","0.47967901825904846,0.7075361609458923,-0.12152949720621109","0.5990910530090332,0.5101995468139648,-0.2999090552330017","0.48364877700805664,0.7463487386703491,-0.14762675762176514","0.6239927411079407,0.509191632270813,-0.3311334550380707","0.4810752272605896,0.7345278263092041,-0.1558683216571808","0.6235159635543823,0.5078347325325012,-0.3236849308013916","0.48052501678466797,0.7217803001403809,-0.12748640775680542","0.6163121461868286,0.5098090767860413,-0.29634755849838257","0.5365021228790283,0.8123233318328857,-0.010736318305134773","0.4672863483428955,0.8134225606918335,0.010021576657891273","0.539794921875,1.0073509216308594,0.00023803545627743006","0.4724673330783844,1.0077921152114868,0.037979885935783386","0.5389760136604309,1.2015489339828491,0.262795627117157","0.4733711779117584,1.2202428579330444,0.3541942238807678","0.5352644324302673,1.2222775220870972,0.2837591767311096","0.47457781434059143,1.2420523166656494,0.37034085392951965","0.5285460352897644,1.2731914520263672,0.16997568309307098","0.47137290239334106,1.2941309213638306,0.2263323962688446"
-0.5,0.0,"0.49917253851890564,0.4026327431201935,-0.2854088842868805","0.5081902742385864,0.38030916452407837,-0.2638457417488098","0.5137138962745667,0.3808201253414154,-0.2639368176460266","0.5185759663581848,0.38115158677101135,-0.2640666365623474","0.491595983505249,0.37786975502967834,-0.27056676149368286","0.4861506521701813,0.3776930868625641,-0.27063554525375366","0.4822288155555725,0.3784022331237793,-0.2707902789115906","0.525479257106781,0.38846176862716675,-0.12605232000350952","0.4761996269226074,0.3861851692199707,-0.15539661049842834","0.5090678334236145,0.425587922334671,-0.23005132377147675","0.4903258681297302,0.42538562417030334,-0.23866191506385803","0.545209527015686,0.4914458692073822,-0.06239486485719681","0.4548504948616028,0.4916287660598755,-0.19139447808265686","0.530834436416626,0.626686155796051,-0.12745201587677002","0.512193500995636,0.539283812046051,-0.3244483172893524","0.5056558847427368,0.732124388217926,-0.15637439489364624","0.6120197176933289,0.5246020555496216,-0.3254012167453766","0.49877557158470154,0.7715953588485718,-0.20548109710216522","0.6372463703155518,0.5315265655517578,-0.3569871783256531","0.4917633533477783,0.7613255977630615,-0.18144692480564117","0.6397202014923096,0.5254507064819336,-0.3476075828075409","0.48945489525794983,0.747600793838501,-0.15367211401462555","0.6319540739059448,0.5240110754966736,-0.32079142332077026","0.5365726947784424,0.8159295916557312,0.019069001078605652","0.4663006663322449,0.8178422451019287,-0.019019166007637978","0.535664439201355,0.992254912853241,-0.013497499749064445","0.4696170687675476,1.0079478025436401,0.024152489379048347","0.538669228553772,1.2064651250839233,0.2730725109577179","0.46757572889328003,1.2248940467834473,0.3471141755580902","0.5350042581558228,1.2259042263031006,0.29595381021499634","0.47004684805870056,1.245573878288269,0.3697039783000946","0.5314867496490479,1.2795907258987427,0.18412449955940247","0.4653381407260895,1.2990840673446655,0.22389467060565948"
-0.5,0.0,"0.49809449911117554,0.40242382884025574,-0.27904072403907776","0.5069824457168579,0.37985101342201233,-0.2565559446811676","0.5129434466362,0.3801637887954712,-0.2568059265613556","0.518169105052948,0.3803596794605255,-0.2570558190345764","0.4913291335105896,0.377605140209198,-0.2526785731315613","0.48672717809677124,0.3772892951965332,-0.25270143151283264","0.483112096786499,0.37771084904670715,-0.25281256437301636","0.5246513485908508,0.3882012963294983,-0.12480249255895615","0.4770965576171875,0.3861658275127411,-0.13673505187034607","0.5081285238265991,0.42546582221984863,-0.22637924551963806","0.4898742139339447,0.4250219166278839,-0.22055785357952118","0.5463026762008667,0.4935973584651947,-0.054453928023576736","0.45544201135635376,0.4877815246582031,-0.16157180070877075","0.5385888814926147,0.6305815577507019,-0.04467558115720749","0.5071631669998169,0.5324224829673767,-0.2805399000644684","0.510674774646759,0.6984331011772156,-0.11787118017673492","0.6115798354148865,0.5179705023765564,-0.2805711328983307","0.5021239519119263,0.7280160784721375,-0.1379477083683014","0.6357771754264832,0.5220877528190613,-0.3093459904193878","0.4978833794593811,0.7121515274047852,-0.14861798286437988","0.6392755508422852,0.5136108994483948,-0.3039584159851074","0.49651557207107544,0.7015215754508972,-0.12302359193563461","0.630865216255188,0.5132356286048889,-0.27727824449539185","0.5363460779190063,0.8180971741676331,0.013785766437649727","0.4655330181121826,0.8183816075325012,-0.013534155674278736","0.5371607542037964,1.0091851949691772,0.007347120437771082","0.469001829624176,1.0072150230407715,0.0606793574988842","0.5397429466247559,1.2297124862670898,0.2090325802564621","0.4707992672920227,1.2372196912765503,0.33133479952812195","0.5360883474349976,1.2550948858261108,0.22246816754341125","0.4726187288761139,1.261814832687378,0.348494291305542","0.5373057126998901,1.3042256832122803,0.09874702990055084","0.4627605378627777,1.3111069202423096,0.20931199193000793"
-0.5,0.0,"0.49935412406921387,0.4021243751049042,-0.2584065794944763","0.5081607103347778,0.3794509768486023,-0.23852047324180603","0.5138177275657654,0.37974798679351807,-0.23868994414806366","0.5187800526618958,0.3799399137496948,-0.2388673573732376","0.49289068579673767,0.3773503303527832,-0.2459043711423874","0.4882890284061432,0.3769623637199402,-0.24592581391334534","0.4848220944404602,0.3772473633289337,-0.2460799664258957","0.5243944525718689,0.38792699575424194,-0.1042206734418869","0.47844475507736206,0.3856603801250458,-0.12806178629398346","0.5082512497901917,0.4246225953102112,-0.20380203425884247","0.4907260835170746,0.4238610863685608,-0.21323278546333313","0.5464532971382141,0.4919978380203247,-0.0066973306238651276","0.45586729049682617,0.48415452241897583,-0.14293503761291504","0.5374529957771301,0.6226608157157898,-0.0018164335051551461","0.5179417133331299,0.5358346104621887,-0.2588537633419037","0.5327485203742981,0.7076425552368164,-0.0986931324005127","0.616104006767273,0.518393337726593,-0.2607421875","0.5330553650856018,0.7409818172454834,-0.12293164432048798","0.6387665867805481,0.5278505682945251,-0.291138231754303","0.5294135808944702,0.7291342616081238,-0.14690396189689636","0.6413367986679077,0.5225317478179932,-0.286796510219574","0.5254923701286316,0.7163918614387512,-0.11094896495342255","0.632185161113739,0.520384669303894,-0.25773534178733826","0.5359295606613159,0.8161871433258057,0.013491670601069927","0.4658850133419037,0.8178151249885559,-0.01327361911535263","0.5349915623664856,0.9914715886116028,-0.013330988585948944","0.46907472610473633,1.003179907798767,0.044506121426820755","0.5409731864929199,1.2234623432159424,0.23408035933971405","0.4717440605163574,1.2437514066696167,0.33588650822639465","0.5387556552886963,1.245602011680603,0.2521975636482239","0.4741970896720886,1.2676876783370972,0.3582296669483185","0.5372838377952576,1.2977851629257202,0.12535861134529114","0.4656555652618408,1.3138761520385742,0.2137201577425003"
-0.5,0.0,"0.4991180896759033,0.4018177092075348,-0.27278777956962585","0.5077052116394043,0.37929868698120117,-0.2540751099586487","0.5133779644966125,0.3794410824775696,-0.25422707200050354","0.5185869932174683,0.37956738471984863,-0.25438714027404785","0.4922570586204529,0.3772391974925995,-0.2606803774833679","0.487710565328598,0.3768790662288666,-0.26077502965927124","0.48428472876548767,0.3770918846130371,-0.26095229387283325","0.5240561366081238,0.3877992331981659,-0.12173272669315338","0.4783337712287903,0.3856937289237976,-0.13351047039031982","0.5085001587867737,0.42456427216529846,-0.21852608025074005","0.49030008912086487,0.4237409830093384,-0.22639310359954834","0.5466505289077759,0.49964746832847595,-0.031607698649168015","0.4553377032279968,0.48589733242988586,-0.14894677698612213","0.5329819321632385,0.6381261348724365,-0.045256197452545166","0.5132852792739868,0.5420528650283813,-0.2700229287147522","0.5169249773025513,0.7325036525726318,-0.16289150714874268","0.6101001501083374,0.5263115763664246,-0.27942946553230286","0.513983964920044,0.7675017714500427,-0.21818368136882782","0.632716953754425,0.5297207236289978,-0.310702383518219","0.5108377933502197,0.7567823529243469,-0.1873810738325119","0.6364490985870361,0.52406907081604,-0.30102619528770447","0.5080438256263733,0.7440679669380188,-0.15588882565498352","0.6282576322555542,0.5239287614822388,-0.2746118903160095","0.5368882417678833,0.8178156614303589,0.013331796042621136","0.46527138352394104,0.8177356123924255,-0.013056814670562744","0.537024736404419,1.0143202543258667,-0.02080865390598774","0.465712308883667,1.0041003227233887,0.0402253121137619","0.5400208830833435,1.2256155014038086,0.25456511974334717","0.46920666098594666,1.2432835102081299,0.3262099623680115","0.5364422798156738,1.2454754114151,0.27872610092163086","0.47146493196487427,1.2657616138458252,0.3503778576850891","0.5330376029014587,1.3033227920532227,0.16350919008255005","0.4666317105293274,1.31731379032135,0.20920097827911377"
-0.5,0.0,"0.499420166015625,0.4020501971244812,-0.28170743584632874","0.5080922842025757,0.3793637156486511,-0.26537954807281494","0.5137020349502563,0.37936508655548096,-0.2654314935207367","0.5189292430877686,0.379435658454895,-0.2655308246612549","0.49184852838516235,0.3774184286594391,-0.27727097272872925","0.4870721697807312,0.3771452307701111,-0.2774999439716339","0.48329558968544006,0.3774591088294983,-0.2778281271457672","0.5246831178665161,0.38759762048721313,-0.14346767961978912","0.4781525135040283,0.38610297441482544,-0.14705227315425873","0.5095438361167908,0.4249598979949951,-0.23024281859397888","0.49032363295555115,0.4245024025440216,-0.24187609553337097","0.5468324422836304,0.5037240982055664,-0.027578452602028847","0.4561946988105774,0.4860477149486542,-0.17944373190402985","0.540481448173523,0.644548773765564,0.0016303202137351036","0.5143839120864868,0.5412512421607971,-0.3169720470905304","0.5293071866035461,0.7350319623947144,-0.043039701879024506","0.614460825920105,0.5227059125900269,-0.32824844121932983","0.5260227918624878,0.7697374820709229,-0.05836571380496025","0.6374081373214722,0.5257024765014648,-0.35913223028182983","0.523903489112854,0.7576904892921448,-0.07670138031244278","0.6406161785125732,0.5229294896125793,-0.34901878237724304","0.5215688943862915,0.743864893913269,-0.05175424739718437","0.6316776871681213,0.5225775837898254,-0.3233548402786255","0.5370444059371948,0.8212559223175049,0.024893533438444138","0.464982271194458,0.8193951845169067,-0.024625452235341072","0.5386368632316589,1.0557308197021484,0.0013827348593622446","0.4664950966835022,1.0045545101165771,0.054785799235105515","0.5402137637138367,1.2457759380340576,0.21876652538776398","0.46844372153282166,1.2596688270568848,0.31657207012176514","0.5385236740112305,1.2722207307815552,0.23370146751403809","0.46805429458618164,1.2851035594940186,0.3354801833629608","0.5373379588127136,1.3186159133911133,0.10092310607433319","0.4716280400753021,1.3344411849975586,0.18294145166873932"
-0.5,0.0,"0.5002249479293823,0.40243008732795715,-0.2305334359407425","0.5093903541564941,0.3793206810951233,-0.21448740363121033","0.5145615339279175,0.37931182980537415,-0.2146129608154297","0.5195767283439636,0.3794805407524109,-0.2147666960954666","0.49231475591659546,0.3775017261505127,-0.22341127693653107","0.4870394170284271,0.377236932516098,-0.2234719693660736","0.48307472467422485,0.3775559663772583,-0.22362880408763885","0.5254168510437012,0.3879956603050232,-0.09442929178476334","0.4781491160392761,0.3862225413322449,-0.12742774188518524","0.5099349021911621,0.4252232313156128,-0.1803973764181137","0.4902060031890869,0.4252876341342926,-0.19193591177463531","0.5470026135444641,0.5048443078994751,-0.004157013259828091","0.456045538187027,0.4894876778125763,-0.13919448852539062","0.5388400554656982,0.6492157578468323,-0.013597260229289532","0.5123924612998962,0.5368406772613525,-0.2568076252937317","0.5098817944526672,0.6923316121101379,-0.10657228529453278","0.6117191314697266,0.5201462507247925,-0.2564556896686554","0.501144528388977,0.7137686610221863,-0.12907466292381287","0.6349047422409058,0.5244381427764893,-0.285037100315094","0.500312089920044,0.6956518292427063,-0.14035245776176453","0.6385955810546875,0.5162081718444824,-0.28275370597839355","0.49943971633911133,0.6870855689048767,-0.11299638450145721","0.6295381784439087,0.5162427425384521,-0.25422170758247375","0.5375873446464539,0.8229207992553711,0.018840136006474495","0.46553725004196167,0.8223961591720581,-0.018530096858739853","0.5385951995849609,1.0535932779312134,0.02881598472595215","0.46882033348083496,1.0155878067016602,0.07679230719804764","0.5400054454803467,1.2477664947509766,0.23506739735603333","0.47525081038475037,1.268911361694336,0.3317759335041046","0.5380647778511047,1.2741342782974243,0.25144141912460327","0.47572603821754456,1.2940046787261963,0.3490965664386749","0.5390031337738037,1.3218052387237549,0.12731274962425232","0.4757651388645172,1.345882534980774,0.20227614045143127"
-0.5,0.0,"0.5003306269645691,0.4016418755054474,-0.2644357681274414","0.5098564624786377,0.37836965918540955,-0.24701356887817383","0.5149006843566895,0.3784067928791046,-0.24712951481342316","0.5195279121398926,0.3786941170692444,-0.24727103114128113","0.4921669065952301,0.3768989145755768,-0.2540953457355499","0.48638486862182617,0.37678831815719604,-0.254172146320343","0.48227620124816895,0.3770638704299927,-0.25431421399116516","0.5260295271873474,0.3876762390136719,-0.11942040920257568","0.47797927260398865,0.3861011862754822,-0.13735389709472656","0.5102051496505737,0.42491841316223145,-0.2120623141527176","0.4899863302707672,0.4250236451625824,-0.2211451530456543","0.5476881861686707,0.5028119683265686,-0.022825848311185837","0.4558711051940918,0.48543933033943176,-0.15720060467720032","0.5430203676223755,0.6362012028694153,-0.01152033731341362","0.5113093256950378,0.5278409123420715,-0.27141526341438293","0.5234888792037964,0.7008185982704163,-0.0848543792963028","0.6136491894721985,0.519183874130249,-0.27616411447525024","0.5177616477012634,0.7295462489128113,-0.10809829086065292","0.6367586851119995,0.5217123031616211,-0.30778422951698303","0.5157620906829834,0.7130401730537415,-0.12415266036987305","0.6401857137680054,0.514464795589447,-0.29979178309440613","0.5140995383262634,0.7016695737838745,-0.09298258274793625","0.6313788890838623,0.5151081085205078,-0.2717069983482361","0.5377364754676819,0.8190827965736389,0.019577503204345703","0.46628671884536743,0.8200017213821411,-0.019314603880047798","0.5383542776107788,0.9985963702201843,0.027476076036691666","0.46846795082092285,1.0069352388381958,0.07526575773954391","0.5427614450454712,1.2207456827163696,0.26035580039024353","0.4752388894557953,1.2424215078353882,0.34137219190597534","0.538969874382019,1.245024561882019,0.2760835289955139","0.47640126943588257,1.266675591468811,0.360152006149292","0.5471231937408447,1.2914587259292603,0.14403347671031952","0.47532325983047485,1.3169130086898804,0.2084501087665558"
-0.5,0.0,"0.5011067986488342,0.3990863263607025,-0.248853400349617","0.5095192193984985,0.37636297941207886,-0.2290821075439453","0.5145353078842163,0.37647005915641785,-0.22920143604278564","0.5189780592918396,0.3767114281654358,-0.22934024035930634","0.4920817017555237,0.37522274255752563,-0.2392393797636032","0.4862934947013855,0.3752743899822235,-0.23929958045482635","0.4819125235080719,0.37543928623199463,-0.23943810164928436","0.5249708294868469,0.3855513632297516,-0.09575025737285614","0.47753819823265076,0.3849117159843445,-0.13605090975761414","0.510577380657196,0.42323997616767883,-0.1946462094783783","0.49039140343666077,0.4233018755912781,-0.20766904950141907","0.5469647645950317,0.5006325840950012,0.001687298179604113","0.45522093772888184,0.484153151512146,-0.15619635581970215","0.5300902128219604,0.6406104564666748,-0.00918447133153677","0.5121749639511108,0.5371593236923218,-0.27021172642707825","0.5173401236534119,0.7106897830963135,-0.12507541477680206","0.6114029884338379,0.520741879940033,-0.25495532155036926","0.5127979516983032,0.738365113735199,-0.15668965876102448","0.636146605014801,0.5236358046531677,-0.2863454520702362","0.5103460550308228,0.7244186997413635,-0.1735900640487671","0.6395903825759888,0.5175392627716064,-0.2797185182571411","0.508022129535675,0.714381217956543,-0.1355908364057541","0.6305464506149292,0.5172892212867737,-0.25070470571517944","0.535607635974884,0.8184329271316528,0.02976446971297264","0.4651550352573395,0.8183619976043701,-0.029494110494852066","0.5374277234077454,1.0436058044433594,0.026320677250623703","0.46871715784072876,1.007810354232788,0.06820135563611984","0.5386077761650085,1.2302038669586182,0.2680839002132416","0.46820324659347534,1.251204490661621,0.3289032280445099","0.5367595553398132,1.25563383102417,0.2861289381980896","0.46679797768592834,1.2739791870117188,0.35052451491355896","0.5427325963973999,1.2989516258239746,0.16446688771247864","0.47494783997535706,1.3257781267166138,0.2057594507932663"
