gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.4840024411678314,0.41755878925323486,-0.44700342416763306","0.5317035913467407,0.38865137100219727,-0.24469797313213348","0.43392252922058105,0.37314826250076294,-0.24884667992591858","0.6450272798538208,0.6784646511077881,-0.22148001194000244","0.6200984716415405,0.9968997240066528,-0.5963835120201111","0.4916885793209076,0.49566662311553955,-0.8662754893302917","0.5828960537910461,1.4425522089004517,0.02708306349813938","0.5828960537910461,1.4425522089004517,0.02708306349813938"
0.0,"0.48402929306030273,0.41778451204299927,-0.44893398880958557","0.5342587828636169,0.3886409401893616,-0.24452976882457733","0.43541160225868225,0.37210556864738464,-0.2464132308959961","0.6453238725662231,0.6793103814125061,-0.21859915554523468","0.619560182094574,0.9969149827957153,-0.6081652045249939","0.489218145608902,0.49841150641441345,-0.922186553478241","0.5825631022453308,1.4471577405929565,0.02571379579603672","0.5825631022453308,1.4471577405929565,0.02571379579603672"
0.0,"0.4838215410709381,0.4098512530326843,-0.5274248123168945","0.5373021364212036,0.3860611915588379,-0.29072779417037964","0.4353029727935791,0.36321496963500977,-0.26437908411026","0.6452568173408508,0.6825849413871765,-0.25771406292915344","0.6137314438819885,0.9970203638076782,-0.6736738085746765","0.4860880970954895,0.5074138045310974,-1.0300922393798828","0.581244945526123,1.4529988765716553,0.010693463496863842","0.581244945526123,1.4529988765716553,0.010693463496863842"
0.0,"0.484750896692276,0.40996092557907104,-0.579612135887146","0.5394810438156128,0.38533109426498413,-0.3194147050380707","0.4352892339229584,0.3604092001914978,-0.2889811396598816","0.6448383927345276,0.6820061206817627,-0.28057828545570374","0.5977251529693604,0.9876759052276611,-0.702006459236145","0.4806368947029114,0.5054296851158142,-1.0515973567962646","0.5782109498977661,1.4564204216003418,0.007490730844438076","0.5782109498977661,1.4564204216003418,0.007490730844438076"
0.0,"0.48405760526657104,0.41039004921913147,-0.5765511989593506","0.539387583732605,0.3853275179862976,-0.33100566267967224","0.4354275166988373,0.3604426383972168,-0.2858770489692688","0.6448131799697876,0.6809398531913757,-0.29583266377449036","0.5946659445762634,0.9787678122520447,-0.7356337308883667","0.47977012395858765,0.5033763647079468,-1.1023885011672974","0.5785121917724609,1.4546525478363037,-0.003939940128475428","0.5785121917724609,1.4546525478363037,-0.003939940128475428"
0.0,"0.48400163650512695,0.41097840666770935,-0.5556553602218628","0.5394260287284851,0.38587450981140137,-0.3299325108528137","0.43543434143066406,0.3605365753173828,-0.2657947242259979","0.6446107625961304,0.6804361343383789,-0.2790098786354065","0.5959742665290833,0.9690498113632202,-0.7317029237747192","0.47936081886291504,0.4827418327331543,-1.1489232778549194","0.5806221961975098,1.4538301229476929,-0.002874827478080988","0.5806221961975098,1.4538301229476929,-0.002874827478080988"
0.0,"0.48307114839553833,0.41188469529151917,-0.5554150342941284","0.539263904094696,0.3871593177318573,-0.32243862748146057","0.43540406227111816,0.36344531178474426,-0.26734504103660583","0.6445912718772888,0.6753398776054382,-0.2853066623210907","0.5945175886154175,0.9591480493545532,-0.7541633248329163","0.47894373536109924,0.4605088531970978,-1.1429957151412964","0.5806490778923035,1.4546191692352295,-6.836074317106977e-05","0.5806490778923035,1.4546191692352295,-6.836074317106977e-05"
0.0,"0.481317937374115,0.41294899582862854,-0.5591126680374146","0.5392022728919983,0.3890891671180725,-0.3320609927177429","0.43574976921081543,0.36391937732696533,-0.27734678983688354","0.6444448232650757,0.6734930872917175,-0.2985953986644745","0.5932036638259888,0.9527441263198853,-0.7211786508560181","0.47918444871902466,0.4466839134693146,-1.0103216171264648","0.580649733543396,1.4558206796646118,0.0001622868876438588","0.580649733543396,1.4558206796646118,0.0001622868876438588"
0.0,"0.48009389638900757,0.4143204689025879,-0.5294755697250366","0.5391032099723816,0.39098039269447327,-0.3262351155281067","0.4360292851924896,0.36478355526924133,-0.27207058668136597","0.6441789865493774,0.672027051448822,-0.29011648893356323","0.5918487310409546,0.9451233148574829,-0.631083607673645","0.4793427884578705,0.43996426463127136,-0.8576669692993164","0.5807960033416748,1.4557291269302368,0.00023876044724602252","0.5807960033416748,1.4557291269302368,0.00023876044724602252"
0.0,"0.4790104329586029,0.4183006286621094,-0.5868947505950928","0.5389639139175415,0.3930968940258026,-0.36366742849349976","0.4361109137535095,0.3744376599788666,-0.289423406124115","0.6460270881652832,0.6717327833175659,-0.3321571350097656","0.5917044878005981,0.9418987035751343,-0.7236348390579224","0.47879791259765625,0.43689584732055664,-0.9784270524978638","0.5821962952613831,1.4580841064453125,-0.007761778775602579","0.5821962952613831,1.4580841064453125,-0.007761778775602579"
