gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.48206084966659546,0.39043349027633667,-0.34911778569221497","0.5246068239212036,0.358653724193573,-0.11080370843410492","0.42602330446243286,0.3528791069984436,-0.17444907128810883","0.5941264033317566,0.6416606903076172,-0.0783267617225647","0.593876838684082,0.9439113140106201,-0.48347607254981995","0.5278986096382141,0.4084509611129761,-0.8959797024726868","0.5563631057739258,1.3606773614883423,0.057958852499723434","0.5563631057739258,1.3606773614883423,0.057958852499723434"
0.0,"0.47849518060684204,0.38473302125930786,-0.3476717174053192","0.5252237319946289,0.355381041765213,-0.10583807528018951","0.42500320076942444,0.35177525877952576,-0.1621604710817337","0.5981813669204712,0.6318401098251343,-0.07901370525360107","0.593713104724884,0.9294997453689575,-0.5177818536758423","0.5278664827346802,0.4057004153728485,-0.9547268152236938","0.5591269731521606,1.3771288394927979,0.05772704631090164","0.5591269731521606,1.3771288394927979,0.05772704631090164"
0.0,"0.4777299761772156,0.3842197060585022,-0.27337509393692017","0.5251099467277527,0.35264360904693604,-0.015286102890968323","0.42451176047325134,0.35091474652290344,-0.07791072875261307","0.6003087759017944,0.6297882199287415,-0.005772831384092569","0.5939582586288452,0.9221842288970947,-0.5083621740341187","0.527339518070221,0.40446725487709045,-0.9734808802604675","0.561629056930542,1.3817353248596191,0.06290465593338013","0.561629056930542,1.3817353248596191,0.06290465593338013"
0.0,"0.47511306405067444,0.37088367342948914,-0.2841290533542633","0.5251210331916809,0.3504403233528137,-0.027816439047455788","0.42451268434524536,0.3470371961593628,-0.09995771944522858","0.6014283895492554,0.6291753053665161,-0.017290249466896057","0.5939658880233765,0.9229147434234619,-0.5442589521408081","0.5219557881355286,0.4041590690612793,-1.021087884902954","0.5623892545700073,1.382985234260559,0.0664498507976532","0.5623892545700073,1.382985234260559,0.0664498507976532"
0.0,"0.4744780957698822,0.37224942445755005,-0.3197174668312073","0.5250005125999451,0.35054299235343933,-0.052986226975917816","0.42418575286865234,0.3477466106414795,-0.1284281611442566","0.6027392745018005,0.6293203234672546,-0.03731595724821091","0.5936490297317505,0.9228249192237854,-0.5430300235748291","0.515834391117096,0.3977740705013275,-1.0029096603393555","0.5624120235443115,1.3886525630950928,0.06646522879600525","0.5624120235443115,1.3886525630950928,0.06646522879600525"
0.0,"0.4735555052757263,0.37387558817863464,-0.3630549907684326","0.5244513154029846,0.35468995571136475,-0.09740468114614487","0.42430686950683594,0.3482598662376404,-0.15408077836036682","0.6037421226501465,0.6302969455718994,-0.07148174941539764","0.5904520750045776,0.9222903847694397,-0.5611883401870728","0.5083861947059631,0.39519256353378296,-1.0100404024124146","0.5628694295883179,1.3877434730529785,0.06641672551631927","0.5628694295883179,1.3877434730529785,0.06641672551631927"
0.0,"0.4695735573768616,0.37116262316703796,-0.3453074097633362","0.5226243138313293,0.35230380296707153,-0.10767843574285507","0.423596054315567,0.34882307052612305,-0.12924544513225555","0.6037596464157104,0.6349244117736816,-0.10115806013345718","0.5832988023757935,0.9202318787574768,-0.5229271650314331","0.5045589804649353,0.39608055353164673,-0.8253207206726074","0.5459762811660767,1.3989886045455933,0.044377006590366364","0.5459762811660767,1.3989886045455933,0.044377006590366364"
0.0,"0.4685467779636383,0.371692955493927,-0.3250022530555725","0.5218357443809509,0.35471880435943604,-0.11034920066595078","0.42361778020858765,0.3491586446762085,-0.12928831577301025","0.6045055985450745,0.6433379054069519,-0.10843175649642944","0.5780379176139832,0.9185045957565308,-0.5066502690315247","0.5016177296638489,0.40329018235206604,-0.7985352277755737","0.5380064845085144,1.414240837097168,0.03817826882004738","0.5380064845085144,1.414240837097168,0.03817826882004738"
0.0,"0.4676845967769623,0.3728862702846527,-0.3583300709724426","0.5216948390007019,0.35724782943725586,-0.1415465772151947","0.42345696687698364,0.3520684242248535,-0.13074031472206116","0.6045593023300171,0.6488745808601379,-0.15143942832946777","0.5716820359230042,0.9160404801368713,-0.5858879089355469","0.5013183355331421,0.40802255272865295,-0.9029935002326965","0.5377059578895569,1.4156243801116943,0.026744026690721512","0.5377059578895569,1.4156243801116943,0.026744026690721512"
0.0,"0.4649646282196045,0.36272984743118286,-0.35649460554122925","0.5216637849807739,0.35597357153892517,-0.13613338768482208","0.42346587777137756,0.35252588987350464,-0.11429394781589508","0.6060270071029663,0.6550729274749756,-0.13685989379882812","0.5657832622528076,0.9163920283317566,-0.5650734305381775","0.49424052238464355,0.40982308983802795,-0.8868004679679871","0.5365011692047119,1.414492130279541,0.028813928365707397","0.5365011692047119,1.414492130279541,0.028813928365707397"
0.0,"0.46517181396484375,0.36325162649154663,-0.3724561333656311","0.5216967463493347,0.36275237798690796,-0.1440882831811905","0.42528921365737915,0.3578691780567169,-0.11774086952209473","0.6058038473129272,0.6573578119277954,-0.15041399002075195","0.5671814680099487,0.9193918108940125,-0.5738572478294373","0.49087435007095337,0.41928765177726746,-0.916278064250946","0.5341824293136597,1.4179822206497192,0.018434759229421616","0.5341824293136597,1.4179822206497192,0.018434759229421616"
0.0,"0.4656298756599426,0.3641977608203888,-0.37523093819618225","0.5224851965904236,0.3627581298351288,-0.1447850465774536","0.4262019693851471,0.35866257548332214,-0.11724504083395004","0.6095238327980042,0.6622421741485596,-0.15675000846385956","0.5679674744606018,0.919259786605835,-0.6037343740463257","0.4908140301704407,0.41940662264823914,-0.9758723378181458","0.5353850722312927,1.4168330430984497,0.01709972880780697","0.5353850722312927,1.4168330430984497,0.01709972880780697"
0.0,"0.46690553426742554,0.3657596707344055,-0.3715853989124298","0.5239202380180359,0.3626934885978699,-0.14107641577720642","0.4267103672027588,0.3610319495201111,-0.11426174640655518","0.6117796897888184,0.662473201751709,-0.1490308940410614","0.5654130578041077,0.9178858399391174,-0.5857922434806824","0.4893724322319031,0.41907835006713867,-0.9366353154182434","0.5349934101104736,1.4191265106201172,0.019081514328718185","0.5349934101104736,1.4191265106201172,0.019081514328718185"
0.0,"0.4677746295928955,0.36623191833496094,-0.26422548294067383","0.5239588022232056,0.36295539140701294,-0.04886164888739586","0.4277729094028473,0.3654404878616333,-0.03927917033433914","0.6123498678207397,0.662152886390686,-0.04345753788948059","0.566163182258606,0.9115909337997437,-0.3314134180545807","0.4890395700931549,0.42057839035987854,-0.5381423234939575","0.5369897484779358,1.4132211208343506,0.021037470549345016","0.5369897484779358,1.4132211208343506,0.021037470549345016"
0.0,"0.4678705334663391,0.3670932650566101,-0.11255936324596405","0.5239554643630981,0.3653278350830078,0.12269733101129532","0.42768770456314087,0.36808955669403076,0.09781574457883835","0.6121670007705688,0.6617063283920288,0.09386453777551651","0.5666658878326416,0.904008150100708,-0.27673882246017456","0.48898524045944214,0.4204453229904175,-0.5799466371536255","0.5373939275741577,1.3931782245635986,0.02535923384130001","0.5373939275741577,1.3931782245635986,0.02535923384130001"
