gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.4782469868659973,0.3201451301574707,-0.5068552494049072","0.533908486366272,0.2679307460784912,-0.2095365971326828","0.406568706035614,0.2851184010505676,-0.3313524127006531","0.582994282245636,0.5655835866928101,-0.06829900294542313","0.5877611637115479,0.9116685390472412,-0.34871986508369446","0.5247822999954224,0.4067572355270386,-0.708425760269165","0.533463716506958,1.2493754625320435,0.11594279110431671","0.533463716506958,1.2493754625320435,0.11594279110431671"
0.0,"0.4777178168296814,0.32193633913993835,-0.5068909525871277","0.5265659689903259,0.26934316754341125,-0.2045975923538208","0.40655308961868286,0.2850714921951294,-0.2855812609195709","0.5824117064476013,0.5676755905151367,-0.07165331393480301","0.5882118344306946,0.9117037653923035,-0.43893879652023315","0.5257692337036133,0.39795926213264465,-0.926180362701416","0.5337251424789429,1.2678779363632202,0.0879683569073677","0.5337251424789429,1.2678779363632202,0.0879683569073677"
0.0,"0.47500738501548767,0.32221370935440063,-0.5069059133529663","0.526870608329773,0.2718407213687897,-0.19481031596660614","0.406189501285553,0.2842831313610077,-0.24799534678459167","0.5822714567184448,0.5686444044113159,-0.058735765516757965","0.5874528288841248,0.9117316603660583,-0.42283621430397034","0.528197169303894,0.3979871869087219,-0.8277660608291626","0.5338758230209351,1.2743661403656006,0.07959522306919098","0.5338758230209351,1.2743661403656006,0.07959522306919098"
0.0,"0.4741371273994446,0.3221342861652374,-0.5006659626960754","0.5242485404014587,0.2721881866455078,-0.19498305022716522","0.4068679213523865,0.28255370259284973,-0.2589963376522064","0.582236647605896,0.5685628652572632,-0.059427231550216675","0.5872239470481873,0.9118208885192871,-0.38959068059921265","0.5291743874549866,0.39371010661125183,-0.8014016151428223","0.5358024835586548,1.2770400047302246,0.07576926797628403","0.5358024835586548,1.2770400047302246,0.07576926797628403"
0.0,"0.47270259261131287,0.32132306694984436,-0.49131664633750916","0.5232383608818054,0.2721802294254303,-0.18461701273918152","0.4065488278865814,0.28113657236099243,-0.24737858772277832","0.5821672677993774,0.5685244798660278,-0.05397970229387283","0.5857182741165161,0.9107142090797424,-0.37164613604545593","0.5296201705932617,0.3916005492210388,-0.7910398244857788","0.5373337268829346,1.2780712842941284,0.07718344032764435","0.5373337268829346,1.2780712842941284,0.07718344032764435"
0.0,"0.4717751145362854,0.3211328387260437,-0.49148327112197876","0.523389458656311,0.27385053038597107,-0.18563567101955414","0.40672287344932556,0.28082549571990967,-0.2605597674846649","0.5823289155960083,0.5710883140563965,-0.05309654399752617","0.5860928893089294,0.9094432592391968,-0.25876256823539734","0.5295943021774292,0.38757357001304626,-0.5489264726638794","0.5373133420944214,1.29213547706604,0.07933007180690765","0.5373133420944214,1.29213547706604,0.07933007180690765"
0.0,"0.4675275385379791,0.3203149437904358,-0.4747961461544037","0.5219564437866211,0.27423417568206787,-0.1851027011871338","0.40662065148353577,0.28078192472457886,-0.24551549553871155","0.5822932124137878,0.5716526508331299,-0.06432856619358063","0.5847030282020569,0.9095443487167358,-0.29000362753868103","0.5284198522567749,0.38797035813331604,-0.6292290091514587","0.5372969508171082,1.291452407836914,0.0692814439535141","0.5372969508171082,1.291452407836914,0.0692814439535141"
0.0,"0.46692532300949097,0.32870346307754517,-0.4788426458835602","0.51994788646698,0.2917433977127075,-0.188813716173172","0.4095099866390228,0.28322356939315796,-0.252682089805603","0.5838770270347595,0.5772726535797119,-0.0891634076833725","0.5836352705955505,0.9086865782737732,-0.35627633333206177","0.5234256982803345,0.3909621834754944,-0.6631869077682495","0.5370885133743286,1.3004242181777954,0.06872086971998215","0.5370885133743286,1.3004242181777954,0.06872086971998215"
0.0,"0.4666615128517151,0.33435529470443726,-0.42775845527648926","0.5176218748092651,0.30344030261039734,-0.15622612833976746","0.4104286730289459,0.2887459099292755,-0.20907644927501678","0.5837095975875854,0.582156777381897,-0.08939386904239655","0.5754835605621338,0.901053786277771,-0.46445393562316895","0.5190025568008423,0.39527398347854614,-0.8800986409187317","0.5368741750717163,1.3049328327178955,0.055872540920972824","0.5368741750717163,1.3049328327178955,0.055872540920972824"
0.0,"0.4584372639656067,0.34666940569877625,-0.44097900390625","0.5163756012916565,0.319365531206131,-0.17635762691497803","0.4100663661956787,0.2953025698661804,-0.20195400714874268","0.5794644951820374,0.591334342956543,-0.12994465231895447","0.5745952725410461,0.8876786231994629,-0.5219976305961609","0.5177850127220154,0.39633771777153015,-0.9559785723686218","0.531869113445282,1.3077282905578613,0.02984694577753544","0.531869113445282,1.3077282905578613,0.02984694577753544"
