az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.5,0.0,"0.4511755108833313,0.23590660095214844,-0.29006919264793396","0.5088012218475342,0.2069089412689209,0.05803126096725464","0.3910371661186218,0.2158592790365219,-0.01582235097885132","0.33996468782424927,0.4482225775718689,-0.09628307074308395","0.4925478994846344,0.5120748281478882,-0.5232137441635132","0.7979105710983276,0.38262319564819336,-0.9185208082199097","0.5331879258155823,1.1837642192840576,0.02981223538517952","0.3627939820289612,1.1888951063156128,-0.03050803765654564"
-0.5,0.0,"0.4475766718387604,0.23732304573059082,-0.27404657006263733","0.5048146843910217,0.20718136429786682,0.018343796953558922","0.3874165117740631,0.2163480967283249,-0.033486559987068176","0.3398413062095642,0.4599250853061676,-0.13387736678123474","0.49484604597091675,0.5175589919090271,-0.47372978925704956","0.7910455465316772,0.38128694891929626,-0.7499579787254333","0.5395933389663696,1.183764934539795,0.038403287529945374","0.37291163206100464,1.1921343803405762,-0.03896259143948555"
-0.5,0.0,"0.4404574930667877,0.23838220536708832,-0.19553551077842712","0.4942724108695984,0.2077132612466812,0.05828322842717171","0.3763901889324188,0.21654871106147766,0.00025171710876747966","0.3322596848011017,0.47115299105644226,-0.10917792469263077","0.48874345421791077,0.5191560983657837,-0.3925805985927582","0.7675479054450989,0.37710028886795044,-0.6165607571601868","0.5394179821014404,1.1852482557296753,0.0471755787730217","0.37517082691192627,1.2036104202270508,-0.0477687306702137"
-0.5,0.0,"0.42387738823890686,0.23952162265777588,-0.2126837521791458","0.4793316721916199,0.21097470819950104,0.0018550589447841048","0.36276549100875854,0.21708479523658752,-0.04548845440149307","0.3185630738735199,0.47713443636894226,-0.14611409604549408","0.45647183060646057,0.5248663425445557,-0.43606171011924744","0.7421271800994873,0.3755316138267517,-0.7007336020469666","0.5362938642501831,1.1852209568023682,0.052924495190382004","0.3746996819972992,1.2165279388427734,-0.05352381616830826"
-0.5,0.0,"0.4125438332557678,0.23803630471229553,-0.5166952013969421","0.4604913294315338,0.21028032898902893,-0.23699207603931427","0.3452404737472534,0.2168148010969162,-0.3174407482147217","0.2891991138458252,0.4757457673549652,-0.38308054208755493","0.43911394476890564,0.5242335796356201,-0.7752233147621155","0.7315925359725952,0.3616499602794647,-1.0365391969680786","0.5204156637191772,1.2494860887527466,0.050948627293109894","0.35114002227783203,1.2449750900268555,-0.051561225205659866"
-0.5,0.0,"0.3946406841278076,0.19820410013198853,-0.43564653396606445","0.44608551263809204,0.18361815810203552,-0.1126306876540184","0.32828763127326965,0.18728747963905334,-0.21528005599975586","0.2747097611427307,0.4458276629447937,-0.3053520619869232","0.4226455092430115,0.49186548590660095,-0.6997246742248535","0.7221490144729614,0.34655487537384033,-1.0007585287094116","0.4979395866394043,1.2443279027938843,0.07379759848117828","0.3243880867958069,1.2424448728561401,-0.07438454777002335"
-0.5,0.0,"0.3691371977329254,0.19495362043380737,-0.5263978242874146","0.4311493933200836,0.18172088265419006,-0.1806306093931198","0.3072097897529602,0.18043117225170135,-0.25990602374076843","0.2587997317314148,0.4323754906654358,-0.3241644501686096","0.40027719736099243,0.48896440863609314,-0.7141493558883667","0.7041571140289307,0.3468017280101776,-1.0514427423477173","0.47154074907302856,1.2504761219024658,0.07306446135044098","0.2986311912536621,1.237229824066162,-0.07357665151357651"
-0.5,0.0,"0.34855204820632935,0.2297980636358261,-0.45107555389404297","0.40146416425704956,0.20628045499324799,-0.13573212921619415","0.2901410460472107,0.21751922369003296,-0.21273641288280487","0.25404834747314453,0.46141692996025085,-0.28911879658699036","0.39695215225219727,0.5209764242172241,-0.6696672439575195","0.6853518486022949,0.3950396776199341,-0.8465893864631653","0.45951613783836365,1.259215235710144,0.07788540422916412","0.29349809885025024,1.2391977310180664,-0.07832568883895874"
-0.5,0.0,"0.3345468044281006,0.2533707916736603,-0.448955237865448","0.3814663290977478,0.2351333349943161,-0.11216374486684799","0.2751191556453705,0.23953001201152802,-0.20749425888061523","0.2278069704771042,0.48406943678855896,-0.29034844040870667","0.37341946363449097,0.5933632850646973,-0.7215688228607178","0.6637003421783447,0.5281174778938293,-1.1266896724700928","0.4167412221431732,1.2556438446044922,0.08623562008142471","0.2532970607280731,1.2310175895690918,-0.08672195672988892"
-0.5,0.0,"0.32735925912857056,0.2881893515586853,-0.4400530457496643","0.37634894251823425,0.262893944978714,-0.12415438890457153","0.2679407000541687,0.26878970861434937,-0.22684042155742645","0.22079260647296906,0.5154523253440857,-0.30765894055366516","0.37187808752059937,0.6064178943634033,-0.7143272757530212","0.6497484445571899,0.552378237247467,-1.0518839359283447","0.4057510495185852,1.2640116214752197,0.08665972203016281","0.24613173305988312,1.2380472421646118,-0.08716113120317459"
