az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.5,0.0,"0.4576593339443207,0.4145766496658325,-0.33826789259910583","0.5053743720054626,0.3834494352340698,-0.12553411722183228","0.4142463207244873,0.40324193239212036,-0.19219550490379333","0.3776848316192627,0.575187623500824,-0.27270492911338806","0.5221740007400513,0.5971099138259888,-0.6468062996864319","0.7343009114265442,0.4272453784942627,-0.920685887336731","0.5320820212364197,1.1735976934432983,0.056456077843904495","0.3879588842391968,1.1860822439193726,-0.05703192204236984"
-0.5,0.0,"0.45582666993141174,0.4141790270805359,-0.3250810205936432","0.5047712922096252,0.3849385976791382,-0.09947539865970612","0.41346558928489685,0.40177667140960693,-0.1535951942205429","0.3779117465019226,0.5745125412940979,-0.2584819495677948","0.5179154276847839,0.5951828956604004,-0.6403391361236572","0.7289345860481262,0.42845916748046875,-0.9205864667892456","0.533056378364563,1.1962196826934814,0.062128372490406036","0.387165904045105,1.1973615884780884,-0.06271619349718094"
-0.5,0.0,"0.45490700006484985,0.4197550117969513,-0.2839568257331848","0.504163384437561,0.3904264569282532,-0.07573559880256653","0.41334956884384155,0.40694236755371094,-0.11205633729696274","0.37943577766418457,0.5768252611160278,-0.21138186752796173","0.5203899145126343,0.5941826105117798,-0.5735252499580383","0.7297314405441284,0.42739740014076233,-0.8551011085510254","0.530542254447937,1.195979356765747,0.061256371438503265","0.3866230845451355,1.1933666467666626,-0.06195038557052612"
-0.5,0.0,"0.45179376006126404,0.4201529622077942,-0.23491394519805908","0.5014685988426208,0.3928892910480499,-0.010021599009633064","0.41280317306518555,0.4088636636734009,-0.06214287132024765","0.3798832595348358,0.5762317180633545,-0.1764957159757614","0.524992823600769,0.5821225047111511,-0.4990583062171936","0.7275472283363342,0.42426222562789917,-0.7483395338058472","0.5300629138946533,1.2125437259674072,0.06648902595043182","0.38695424795150757,1.2027477025985718,-0.06707311421632767"
-0.5,0.0,"0.4523070454597473,0.41672733426094055,-0.3869476318359375","0.5010913610458374,0.3879779875278473,-0.13973253965377808","0.41205936670303345,0.4041767120361328,-0.19502070546150208","0.3798612952232361,0.5750867128372192,-0.25905105471611023","0.5314699411392212,0.5731293559074402,-0.5013266205787659","0.7302774786949158,0.41882675886154175,-0.808229923248291","0.5231007933616638,1.2119539976119995,0.06475215405225754","0.38692691922187805,1.2008366584777832,-0.06538721919059753"
-0.5,0.0,"0.45270290970802307,0.41493797302246094,-0.31227269768714905","0.5008906722068787,0.3859814405441284,-0.05632690340280533","0.41056710481643677,0.4011521637439728,-0.13279899954795837","0.38023310899734497,0.5757418274879456,-0.23474881052970886","0.5332963466644287,0.5673360228538513,-0.5023310780525208","0.7320498824119568,0.4138715863227844,-0.7233883142471313","0.521026074886322,1.2349599599838257,0.06974165141582489","0.38536790013313293,1.217879056930542,-0.07027820497751236"
-0.5,0.0,"0.45281824469566345,0.4127916991710663,-0.3009786009788513","0.500058114528656,0.3844013512134552,-0.0467124879360199","0.40789222717285156,0.39868614077568054,-0.1009899154305458","0.37980422377586365,0.5744708776473999,-0.19744256138801575","0.5328819155693054,0.5675727128982544,-0.5138705372810364","0.7304844260215759,0.413303405046463,-0.7821347713470459","0.5223629474639893,1.230797529220581,0.0686974972486496","0.3845348656177521,1.212371826171875,-0.0692356526851654"
-0.5,0.0,"0.4529978632926941,0.41237878799438477,-0.3376207649707794","0.4998895525932312,0.3835090100765228,-0.06347116827964783","0.4072434902191162,0.39825963973999023,-0.12543687224388123","0.3786011338233948,0.5734862685203552,-0.2072310894727707","0.5324417352676392,0.5680744647979736,-0.5252254605293274","0.7288057804107666,0.4127156138420105,-0.784707248210907","0.5234452486038208,1.2291582822799683,0.06678176671266556","0.383179247379303,1.2090624570846558,-0.06733158975839615"
-0.5,0.0,"0.4513920843601227,0.41189682483673096,-0.4820399880409241","0.49915438890457153,0.3825452923774719,-0.2272752821445465","0.40607842803001404,0.3977312743663788,-0.26970821619033813","0.378528356552124,0.5732422471046448,-0.3118363618850708","0.531907856464386,0.5681491494178772,-0.6182777881622314","0.7288127541542053,0.4133855104446411,-0.869198203086853","0.5237834453582764,1.2002445459365845,0.0565994493663311","0.3850727677345276,1.1835696697235107,-0.05721981078386307"
-0.5,0.0,"0.4501558244228363,0.4115355312824249,-0.4419260025024414","0.49773627519607544,0.3817494809627533,-0.17398212850093842","0.405053049325943,0.3967098593711853,-0.21685175597667694","0.37869739532470703,0.5698655247688293,-0.2802313268184662","0.5348345041275024,0.5663198232650757,-0.6096349954605103","0.7289470434188843,0.414354532957077,-0.8054900169372559","0.5222038626670837,1.1558228731155396,0.06050163507461548","0.3853207230567932,1.142924427986145,-0.06107378751039505"
-0.5,0.0,"0.4507010877132416,0.4111747741699219,-0.3133237063884735","0.49776691198349,0.3805622458457947,-0.0719841793179512","0.40505337715148926,0.3963625729084015,-0.1175595074892044","0.3786643445491791,0.569320023059845,-0.18695604801177979","0.5343055129051208,0.5668832659721375,-0.4588339924812317","0.7294756174087524,0.41551974415779114,-0.6645904183387756","0.518170952796936,1.1703274250030518,0.052562277764081955","0.3833213746547699,1.1512731313705444,-0.05313115566968918"
