az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.25,0.0,"0.46172571182250977,0.4132657051086426,-0.46215492486953735","0.5007690787315369,0.3953443169593811,-0.2335197478532791","0.41537031531333923,0.40033158659935,-0.2844415009021759","0.37781399488449097,0.5951826572418213,-0.32243502140045166","0.4431212842464447,0.6494141221046448,-0.7054661512374878","0.664804220199585,0.5587272047996521,-1.0429258346557617","0.5142933130264282,1.1473864316940308,0.05222081020474434","0.38868385553359985,1.1367238759994507,-0.05263529345393181"
-0.25,0.0,"0.45915061235427856,0.4131368100643158,-0.45128482580184937","0.4998231828212738,0.39238595962524414,-0.2145809382200241","0.4146793782711029,0.39870887994766235,-0.26771363615989685","0.3777855336666107,0.5925220251083374,-0.3077969551086426","0.43941250443458557,0.6484993696212769,-0.6933742165565491","0.6637879610061646,0.5580841302871704,-1.0089622735977173","0.5151445865631104,1.147911548614502,0.046623289585113525","0.389451265335083,1.079031229019165,-0.047073401510715485"
-0.25,0.0,"0.4586222767829895,0.41422703862190247,-0.4724973738193512","0.4995500147342682,0.39067667722702026,-0.28742578625679016","0.4142591059207916,0.39890649914741516,-0.31686168909072876","0.3779371380805969,0.5907317399978638,-0.34428733587265015","0.4422376751899719,0.6418594121932983,-0.7078903913497925","0.6667348146438599,0.5382079482078552,-1.0144257545471191","0.5159493088722229,1.149354338645935,0.034944452345371246","0.39245715737342834,1.0634773969650269,-0.035355135798454285"
-0.25,0.0,"0.45808833837509155,0.41470062732696533,-0.46784359216690063","0.4993444085121155,0.3891468346118927,-0.2729674279689789","0.41401416063308716,0.3992919623851776,-0.31743448972702026","0.37790820002555847,0.5899984836578369,-0.35485076904296875","0.44258132576942444,0.6377889513969421,-0.7225934863090515","0.6686393618583679,0.525521993637085,-1.02535879611969","0.5155640840530396,1.1063193082809448,0.03689822554588318","0.39441749453544617,1.0534968376159668,-0.03728770837187767"
-0.25,0.0,"0.4563879072666168,0.41304972767829895,-0.4539873003959656","0.4992612302303314,0.3884636461734772,-0.253213107585907","0.41400355100631714,0.3985956013202667,-0.2964588701725006","0.3794635236263275,0.5898728966712952,-0.33770349621772766","0.452206552028656,0.6359810829162598,-0.7060126066207886","0.6757494807243347,0.5238146185874939,-1.0133745670318604","0.516934871673584,1.148672342300415,0.037924814969301224","0.3952609896659851,1.0609304904937744,-0.0383300855755806"
-0.25,0.0,"0.45119181275367737,0.402881920337677,-0.4587250351905823","0.49703025817871094,0.3807525336742401,-0.2612071633338928","0.41241592168807983,0.3927128314971924,-0.2920820116996765","0.3781815767288208,0.58814537525177,-0.3313845992088318","0.4506780207157135,0.6480370163917542,-0.7029545307159424","0.6793314218521118,0.5491633415222168,-1.0088902711868286","0.5133296251296997,1.102668046951294,0.03471531718969345","0.3944852650165558,1.0532803535461426,-0.03512037172913551"
-0.25,0.0,"0.44900745153427124,0.40106841921806335,-0.4284840524196625","0.4963982105255127,0.37681978940963745,-0.24932532012462616","0.4122467041015625,0.3917836844921112,-0.2600400447845459","0.3781300485134125,0.5880127549171448,-0.3007695972919464","0.45048031210899353,0.655310332775116,-0.6398354768753052","0.6792972087860107,0.5569009780883789,-0.9426895976066589","0.5136030316352844,1.133132815361023,0.03421248123049736","0.3954649269580841,1.0566133260726929,-0.034648552536964417"
-0.25,0.0,"0.44828805327415466,0.40013521909713745,-0.38462868332862854","0.49595919251441956,0.37483757734298706,-0.1897367238998413","0.4114326536655426,0.39007535576820374,-0.2215488702058792","0.37717539072036743,0.5859156250953674,-0.2727205753326416","0.4494737684726715,0.653737485408783,-0.6045458316802979","0.677678644657135,0.5537210702896118,-0.9291306734085083","0.5152397751808167,1.1347507238388062,0.03485520929098129","0.3957180380821228,1.048993468284607,-0.035293277353048325"
-0.25,0.0,"0.44824403524398804,0.3993045389652252,-0.3946271538734436","0.4956901967525482,0.37390661239624023,-0.20405976474285126","0.4105399549007416,0.3898981213569641,-0.226665660738945","0.37627696990966797,0.5855271220207214,-0.28410282731056213","0.4466853141784668,0.6517773866653442,-0.638664960861206","0.677673876285553,0.5501183271408081,-0.9673035740852356","0.5154637098312378,1.143906831741333,0.03548884019255638","0.39598149061203003,1.052343487739563,-0.03594336286187172"
-0.25,0.0,"0.44802984595298767,0.3972180187702179,-0.3959209620952606","0.49551209807395935,0.3732353746891022,-0.2146846055984497","0.4098965525627136,0.38832685351371765,-0.23455874621868134","0.37570518255233765,0.5827117562294006,-0.2881072163581848","0.44900959730148315,0.6507238149642944,-0.643103837966919","0.6797410249710083,0.546589732170105,-0.9514473080635071","0.5156921148300171,1.144004225730896,0.03620690852403641","0.39611202478408813,1.0520869493484497,-0.03665808588266373"
-0.25,0.0,"0.4479103684425354,0.3955046236515045,-0.46750888228416443","0.4951511025428772,0.37231090664863586,-0.2541295289993286","0.4092201590538025,0.3866228461265564,-0.2897240221500397","0.37130314111709595,0.580263078212738,-0.32808881998062134","0.4458518624305725,0.6495945453643799,-0.6990134119987488","0.6822860240936279,0.5443149209022522,-1.0201469659805298","0.5158957839012146,1.145107388496399,0.03840835019946098","0.39609503746032715,1.0535224676132202,-0.03886142745614052"
-0.25,0.0,"0.44802069664001465,0.3931581676006317,-0.38710689544677734","0.49500012397766113,0.37194836139678955,-0.17632855474948883","0.4086500108242035,0.38544151186943054,-0.22030580043792725","0.37020042538642883,0.5778094530105591,-0.27415457367897034","0.44065847992897034,0.6488566994667053,-0.6485493779182434","0.6809061765670776,0.5461364984512329,-0.9600116610527039","0.5160428285598755,1.1448581218719482,0.03863896057009697","0.3961467146873474,1.0536412000656128,-0.039089567959308624"
-0.25,0.0,"0.44806522130966187,0.3949310779571533,-0.46858373284339905","0.4947586953639984,0.3718998432159424,-0.2766410708427429","0.40865880250930786,0.38532811403274536,-0.3080912232398987","0.3702964186668396,0.5764536261558533,-0.33097994327545166","0.44075441360473633,0.6486412882804871,-0.7112025022506714","0.6808333992958069,0.5443674921989441,-1.035336971282959","0.5159103274345398,1.0975186824798584,0.0325506217777729","0.3959932327270508,1.053281307220459,-0.03301602602005005"
-0.25,0.0,"0.44812697172164917,0.4008929431438446,-0.4576675295829773","0.4947734773159027,0.3719654381275177,-0.2652515769004822","0.40868812799453735,0.387739896774292,-0.2994314730167389","0.37044182419776917,0.576431393623352,-0.32974931597709656","0.44277864694595337,0.6410968899726868,-0.7003965973854065","0.6797055006027222,0.5319898724555969,-1.0179821252822876","0.5160071849822998,1.0814650058746338,0.03299550712108612","0.39686036109924316,1.050580382347107,-0.033459439873695374"
-0.25,0.0,"0.448019802570343,0.40147608518600464,-0.4551684856414795","0.4946649968624115,0.3716716766357422,-0.25665774941444397","0.4086848199367523,0.38863590359687805,-0.29160818457603455","0.37268179655075073,0.5769331455230713,-0.3276745080947876","0.4457491934299469,0.6355894804000854,-0.692233681678772","0.6797711253166199,0.5104305744171143,-0.9768909215927124","0.5160847306251526,1.0865241289138794,0.033132296055555344","0.3969999849796295,1.0505238771438599,-0.03359784930944443"
-0.25,0.0,"0.4484224319458008,0.4023286998271942,-0.37576016783714294","0.49465709924697876,0.371655136346817,-0.190248504281044","0.4089778959751129,0.39303702116012573,-0.22524407505989075","0.3769642412662506,0.5811873078346252,-0.28236961364746094","0.4542045593261719,0.6305029988288879,-0.6230471730232239","0.6796432137489319,0.49131935834884644,-0.9024142026901245","0.5198701620101929,1.1243540048599243,0.03475790470838547","0.39788952469825745,1.0525659322738647,-0.03522326424717903"
-0.25,0.0,"0.4484383165836334,0.40222612023353577,-0.39198577404022217","0.49461275339126587,0.37194985151290894,-0.19834169745445251","0.4091133177280426,0.39288732409477234,-0.2323785126209259","0.37746185064315796,0.5822500586509705,-0.28475669026374817","0.45509570837020874,0.6289304494857788,-0.6284657716751099","0.6796545386314392,0.4867011308670044,-0.9162617921829224","0.5205177664756775,1.1445468664169312,0.034876756370067596","0.3978716731071472,1.0551403760910034,-0.03535591438412666"
-0.25,0.0,"0.44814977049827576,0.3987072706222534,-0.3867701292037964","0.4946233630180359,0.3706452548503876,-0.19076256453990936","0.40912094712257385,0.3895729184150696,-0.216072678565979","0.37772679328918457,0.5775224566459656,-0.2613353431224823","0.45472288131713867,0.628615140914917,-0.5965704321861267","0.6797455549240112,0.4902675747871399,-0.8958780169487","0.5204492211341858,1.146177887916565,0.03427426517009735","0.3976966440677643,1.054198980331421,-0.03474251180887222"
-0.25,0.0,"0.45083361864089966,0.39842215180397034,-0.43468719720840454","0.4960804879665375,0.3701213002204895,-0.23913271725177765","0.40955203771591187,0.388868123292923,-0.2665088474750519","0.3789446949958801,0.5732461214065552,-0.2935944199562073","0.45428138971328735,0.6286860108375549,-0.6385806798934937","0.6820265650749207,0.4969961941242218,-0.950110137462616","0.5218268632888794,1.1450780630111694,0.033619098365306854","0.3987412750720978,1.0529959201812744,-0.034065138548612595"
-0.25,0.0,"0.4545247554779053,0.40182894468307495,-0.489182710647583","0.49781107902526855,0.37075814604759216,-0.2908779978752136","0.4111834168434143,0.3888828158378601,-0.32676541805267334","0.37889420986175537,0.570850133895874,-0.3404993414878845","0.45414090156555176,0.6298151016235352,-0.6922594904899597","0.6850095987319946,0.5051243901252747,-1.0045634508132935","0.521803081035614,1.1450772285461426,0.03379449620842934","0.39879822731018066,1.0522019863128662,-0.03423776477575302"
-0.25,0.0,"0.45866602659225464,0.4031183123588562,-0.4571039080619812","0.5001424551010132,0.3707757592201233,-0.25975391268730164","0.41350507736206055,0.38872969150543213,-0.32157862186431885","0.3797116279602051,0.572341799736023,-0.337369441986084","0.4545270800590515,0.6292402744293213,-0.6712754368782043","0.6848971843719482,0.5052244663238525,-0.9545884132385254","0.5273004770278931,1.1581963300704956,0.03463014215230942","0.40078288316726685,1.064476490020752,-0.0350702702999115"
-0.25,0.0,"0.4613204896450043,0.4034025967121124,-0.39242643117904663","0.502742350101471,0.37095171213150024,-0.1848555952310562","0.41698136925697327,0.38871145248413086,-0.21623602509498596","0.3858335614204407,0.5823587775230408,-0.2699894309043884","0.4571957588195801,0.6284565329551697,-0.5843364000320435","0.6893314123153687,0.4768969714641571,-0.8176025152206421","0.5332226157188416,1.1962178945541382,0.029172580689191818","0.39965584874153137,1.1577967405319214,-0.029682213440537453"
-0.25,0.0,"0.4648013710975647,0.3963143527507782,-0.4214828908443451","0.5060769319534302,0.36894670128822327,-0.21076266467571259","0.4186316132545471,0.3812706470489502,-0.23254546523094177","0.38551002740859985,0.5778159499168396,-0.2834651470184326","0.4516981542110443,0.6188749074935913,-0.6030319333076477","0.6901527643203735,0.4444473385810852,-0.8404210805892944","0.5325859785079956,1.1776376962661743,0.029534269124269485","0.39961904287338257,1.0915331840515137,-0.030028363689780235"
-0.25,0.0,"0.4656379222869873,0.3963470160961151,-0.4419859051704407","0.5082506537437439,0.368975967168808,-0.23473182320594788","0.41976499557495117,0.3779754638671875,-0.24113743007183075","0.38683515787124634,0.5777485370635986,-0.28553667664527893","0.45129281282424927,0.6097939610481262,-0.6145418882369995","0.693284273147583,0.4245321452617645,-0.8792945742607117","0.5321097373962402,1.1742231845855713,0.02543685771524906","0.3966712951660156,1.1169769763946533,-0.025937780737876892"
-0.25,0.0,"0.4659668803215027,0.3964320421218872,-0.39235296845436096","0.5086804032325745,0.36902835965156555,-0.1905806064605713","0.42133665084838867,0.3767571747303009,-0.21238715946674347","0.38801002502441406,0.5777324438095093,-0.2651265859603882","0.4518730640411377,0.6109759211540222,-0.6024717092514038","0.6934741735458374,0.43462130427360535,-0.8591442108154297","0.5318321585655212,1.172171950340271,0.025633741170167923","0.3972237706184387,1.0874896049499512,-0.0261184424161911"
-0.25,0.0,"0.4656904637813568,0.40181711316108704,-0.39228472113609314","0.5092190504074097,0.37086790800094604,-0.1982537806034088","0.42165079712867737,0.37690943479537964,-0.22269625961780548","0.3877539038658142,0.5778414607048035,-0.2714259624481201","0.45070987939834595,0.6117973327636719,-0.6090906262397766","0.6940982937812805,0.44254210591316223,-0.8761741518974304","0.5315424203872681,1.170494556427002,0.026104729622602463","0.3952363133430481,1.117256999015808,-0.026585999876260757"
-0.25,0.0,"0.46549326181411743,0.4035290479660034,-0.4144379198551178","0.5100600123405457,0.3708769381046295,-0.2080877125263214","0.4217638373374939,0.3770318329334259,-0.23285317420959473","0.38772016763687134,0.5780131220817566,-0.27769768238067627","0.45286479592323303,0.6125436425209045,-0.6217030882835388","0.6955856084823608,0.4455614686012268,-0.8789428472518921","0.5318414568901062,1.1688051223754883,0.026280874386429787","0.39514416456222534,1.1296567916870117,-0.026748519390821457"
-0.25,0.0,"0.46545538306236267,0.4049511253833771,-0.4059809744358063","0.510398805141449,0.3713189363479614,-0.20629820227622986","0.42185497283935547,0.37732794880867004,-0.22710208594799042","0.3876788020133972,0.5789538621902466,-0.27055853605270386","0.4478587508201599,0.6127431392669678,-0.6187800168991089","0.6957441568374634,0.4475064277648926,-0.8837947845458984","0.5316800475120544,1.167464256286621,0.02394561655819416","0.3940998911857605,1.1327706575393677,-0.024438856169581413"
-0.25,0.0,"0.46539005637168884,0.4050599932670593,-0.40735751390457153","0.5108343958854675,0.3712901771068573,-0.20708072185516357","0.4220671057701111,0.37729611992836,-0.2294200211763382","0.38916781544685364,0.5791307091712952,-0.27256110310554504","0.453648179769516,0.6132000684738159,-0.6173635721206665","0.6977594494819641,0.44748997688293457,-0.8813719749450684","0.5320670008659363,1.1661713123321533,0.024349745362997055","0.39411696791648865,1.132189154624939,-0.024840977042913437"
-0.25,0.0,"0.4653087258338928,0.40502697229385376,-0.42226094007492065","0.5108140707015991,0.37138819694519043,-0.20749208331108093","0.42254775762557983,0.3764967620372772,-0.2322198897600174","0.3926979899406433,0.5775659084320068,-0.28413712978363037","0.45481595396995544,0.6127399802207947,-0.637673556804657","0.6975788474082947,0.44153064489364624,-0.9040843844413757","0.5319708585739136,1.165763020515442,0.03192760795354843","0.39613574743270874,1.0824700593948364,-0.03244693949818611"
-0.25,0.0,"0.46532106399536133,0.40513911843299866,-0.5208491683006287","0.5111702680587769,0.37198406457901,-0.29286161065101624","0.4233182370662689,0.3764670193195343,-0.3229570984840393","0.39300572872161865,0.5770026445388794,-0.35311952233314514","0.453380823135376,0.6104128360748291,-0.7140805125236511","0.6973975300788879,0.43248605728149414,-1.0016796588897705","0.5316962599754333,1.1627110242843628,0.03212200105190277","0.3967098891735077,1.0645052194595337,-0.03264486789703369"
-0.25,0.0,"0.46541649103164673,0.4051494598388672,-0.49163493514060974","0.5114248991012573,0.37239527702331543,-0.27259379625320435","0.4235967993736267,0.3760945200920105,-0.29757800698280334","0.3927612900733948,0.5766062140464783,-0.336648166179657","0.4531097412109375,0.6097116470336914,-0.701747715473175","0.6953952312469482,0.434084415435791,-0.9671143293380737","0.5312584638595581,1.159580945968628,0.029033590108156204","0.39678603410720825,1.0598161220550537,-0.029541324824094772"
-0.25,0.0,"0.46546679735183716,0.4051428437232971,-0.4758991301059723","0.5113748908042908,0.3724375367164612,-0.26161837577819824","0.4240642189979553,0.37593111395835876,-0.2872326970100403","0.3926900327205658,0.5775451064109802,-0.3260006308555603","0.4541996419429779,0.6130885481834412,-0.6821633577346802","0.6953831911087036,0.4413855969905853,-0.954847514629364","0.5311979651451111,1.1639891862869263,0.029231097549200058","0.39522114396095276,1.119805097579956,-0.02973778545856476"
-0.25,0.0,"0.4656638503074646,0.40511882305145264,-0.5067992210388184","0.5113286375999451,0.37248021364212036,-0.2947760224342346","0.4241325259208679,0.3754778504371643,-0.32722562551498413","0.3920631408691406,0.5775431394577026,-0.3525635600090027","0.454185426235199,0.6181387305259705,-0.6948760747909546","0.6951426267623901,0.4603450298309326,-0.982489287853241","0.5305035710334778,1.1636632680892944,0.03182470425963402","0.39596027135849,1.0933600664138794,-0.03228568658232689"
-0.25,0.0,"0.46613603830337524,0.4057559669017792,-0.49676719307899475","0.5112884640693665,0.3728078603744507,-0.2885909676551819","0.4241471290588379,0.3754907250404358,-0.3184346854686737","0.391019344329834,0.5775297284126282,-0.34222301840782166","0.45403218269348145,0.6213674545288086,-0.6849223375320435","0.6959649324417114,0.46883612871170044,-0.972148060798645","0.5304335355758667,1.1634128093719482,0.031457070261240005","0.39638328552246094,1.0792195796966553,-0.031907062977552414"
-0.25,0.0,"0.46651729941368103,0.40490078926086426,-0.5079348683357239","0.5112556219100952,0.372630774974823,-0.3009841740131378","0.42404651641845703,0.37529265880584717,-0.3270725905895233","0.3905210793018341,0.5756667852401733,-0.34194448590278625","0.45379847288131714,0.6240295171737671,-0.6863439679145813","0.6962257623672485,0.48031675815582275,-0.9960623979568481","0.5281513333320618,1.1525503396987915,0.02838146686553955","0.39638930559158325,1.063760757446289,-0.02874520979821682"
-0.25,0.0,"0.4668784737586975,0.40492090582847595,-0.5041846632957458","0.5114797353744507,0.3726379871368408,-0.29151737689971924","0.4239784777164459,0.37641558051109314,-0.31782156229019165","0.39049044251441956,0.5773188471794128,-0.3398827612400055","0.4666024148464203,0.6306759119033813,-0.666228175163269","0.7012398838996887,0.4975278675556183,-0.9697734713554382","0.5284074544906616,1.1648329496383667,0.02707887813448906","0.39581507444381714,1.1271589994430542,-0.027473321184515953"
-0.25,0.0,"0.46727973222732544,0.4051346182823181,-0.4857432246208191","0.5114613771438599,0.3724968731403351,-0.2893967628479004","0.42372313141822815,0.3765029013156891,-0.315216600894928","0.3893580138683319,0.5758332014083862,-0.3401506543159485","0.46749481558799744,0.633026659488678,-0.6743254661560059","0.7032070755958557,0.5124458074569702,-0.9661772847175598","0.5294049978256226,1.1615999937057495,0.03155507147312164","0.3990201950073242,1.0835314989089966,-0.03193633258342743"
-0.25,0.0,"0.4675745964050293,0.4053528606891632,-0.5245325565338135","0.5113461017608643,0.3725275993347168,-0.3196597695350647","0.42346635460853577,0.37725451588630676,-0.3613183796405792","0.3885670006275177,0.5749902725219727,-0.3807966113090515","0.46642351150512695,0.634828507900238,-0.733460545539856","0.7031426429748535,0.5210577845573425,-1.0380972623825073","0.5298323035240173,1.161443829536438,0.035706643015146255","0.40018194913864136,1.0708107948303223,-0.03606291860342026"
-0.25,0.0,"0.46757277846336365,0.40568220615386963,-0.5223765969276428","0.511330783367157,0.37256956100463867,-0.3132135272026062","0.42327800393104553,0.37804925441741943,-0.35459694266319275","0.3884427547454834,0.5729063749313354,-0.36988452076911926","0.46763697266578674,0.637126088142395,-0.7306346893310547","0.697979748249054,0.524814248085022,-1.0411745309829712","0.5294696092605591,1.156076431274414,0.0357859767973423","0.40046364068984985,1.0634220838546753,-0.036146122962236404"
-0.25,0.0,"0.46767815947532654,0.40578895807266235,-0.46811360120773315","0.5113166570663452,0.3726009726524353,-0.26209479570388794","0.42319542169570923,0.3786813020706177,-0.2954355478286743","0.38875052332878113,0.5729214549064636,-0.32621580362319946","0.46940550208091736,0.6371386647224426,-0.6773325800895691","0.6978057622909546,0.5192952752113342,-0.9728504419326782","0.5302219986915588,1.1578863859176636,0.03584253042936325","0.40065640211105347,1.0625866651535034,-0.03621619939804077"
-0.25,0.0,"0.46818557381629944,0.4056857228279114,-0.5097127556800842","0.5113368034362793,0.37249183654785156,-0.2965956926345825","0.42318010330200195,0.3785909116268158,-0.33881431818008423","0.3887242078781128,0.5703429579734802,-0.36421021819114685","0.4692767262458801,0.6367788314819336,-0.7182749509811401","0.6983628869056702,0.5151330828666687,-1.0113728046417236","0.5291624069213867,1.1573574542999268,0.040138714015483856","0.39999574422836304,1.0586602687835693,-0.04051872715353966"
-0.25,0.0,"0.46821898221969604,0.4056900143623352,-0.5340176820755005","0.5113404989242554,0.37255847454071045,-0.31892818212509155","0.42316603660583496,0.3785945475101471,-0.35509365797042847","0.38872018456459045,0.5703696608543396,-0.37394478917121887","0.4686356484889984,0.6365800499916077,-0.7215614914894104","0.7017112374305725,0.5099488496780396,-1.0165055990219116","0.5291680097579956,1.1571695804595947,0.03980262577533722","0.40017613768577576,1.0552926063537598,-0.04018096625804901"
-0.25,0.0,"0.4683646559715271,0.40494129061698914,-0.4373289942741394","0.511263906955719,0.37248411774635315,-0.24103984236717224","0.42315468192100525,0.3783250153064728,-0.2771146893501282","0.38873735070228577,0.5700121521949768,-0.3181065022945404","0.469646155834198,0.6364693641662598,-0.6551682353019714","0.7019674777984619,0.5089720487594604,-0.9265748262405396","0.5292123556137085,1.1547272205352783,0.03928380087018013","0.40067338943481445,1.0530651807785034,-0.03968169540166855"
-0.25,0.0,"0.4688607156276703,0.40479186177253723,-0.422198623418808","0.5112762451171875,0.37250688672065735,-0.20946133136749268","0.4231535792350769,0.37838834524154663,-0.24143609404563904","0.3901049494743347,0.5736957788467407,-0.2728120684623718","0.47231563925743103,0.6365694999694824,-0.6024240851402283","0.7053695917129517,0.5082181096076965,-0.8838101625442505","0.5321234464645386,1.1582927703857422,0.027116578072309494","0.40067774057388306,1.1190017461776733,-0.027545034885406494"
-0.25,0.0,"0.4688587188720703,0.40365803241729736,-0.43786320090293884","0.5113867521286011,0.37144631147384644,-0.23091503977775574","0.42306870222091675,0.3762059807777405,-0.26412320137023926","0.389957457780838,0.5728967189788818,-0.29275915026664734","0.46810317039489746,0.636534571647644,-0.6306041479110718","0.7052834033966064,0.5072186589241028,-0.9161615371704102","0.5314794778823853,1.161811351776123,0.027468126267194748","0.4002726078033447,1.0957646369934082,-0.0279143787920475"
-0.25,0.0,"0.4679495692253113,0.40231645107269287,-0.5275924205780029","0.5112619996070862,0.37075427174568176,-0.32399505376815796","0.4227675795555115,0.3741694688796997,-0.3408394753932953","0.38972002267837524,0.5697126388549805,-0.3551826775074005","0.4667254388332367,0.6365814208984375,-0.701572835445404","0.7067969441413879,0.5064125657081604,-1.0151269435882568","0.5299357771873474,1.1584348678588867,0.027235131710767746","0.40001121163368225,1.0722929239273071,-0.02767038717865944"
-0.25,0.0,"0.46743956208229065,0.4015475809574127,-0.5119948983192444","0.5112175345420837,0.3703528940677643,-0.30893751978874207","0.4227083623409271,0.373701274394989,-0.3376274108886719","0.389604389667511,0.5661088228225708,-0.3510640263557434","0.4661923050880432,0.6379666924476624,-0.6826927661895752","0.7071635127067566,0.5058318972587585,-0.9997485876083374","0.5297770500183105,1.1542831659317017,0.027248287573456764","0.3999935984611511,1.057056188583374,-0.02767300233244896"
-0.25,0.0,"0.4669201970100403,0.40120047330856323,-0.4989500641822815","0.5112570524215698,0.37033897638320923,-0.2840137779712677","0.42269644141197205,0.374433696269989,-0.30481547117233276","0.39033472537994385,0.5663899779319763,-0.3291422128677368","0.4675963521003723,0.6385025382041931,-0.6574645638465881","0.7071744799613953,0.5053959488868713,-0.9616228938102722","0.5297722220420837,1.1539173126220703,0.026996206492185593","0.40057700872421265,1.0522562265396118,-0.027426233515143394"
-0.25,0.0,"0.465609073638916,0.4011847674846649,-0.4962323307991028","0.5112540125846863,0.370341420173645,-0.2831052243709564","0.42263728380203247,0.3747168183326721,-0.3007686734199524","0.39030563831329346,0.5675152540206909,-0.3257661759853363","0.4673435688018799,0.6394134759902954,-0.655509889125824","0.7072244882583618,0.5053244829177856,-0.9616644978523254","0.5297660231590271,1.1573731899261475,0.026463672518730164","0.39890995621681213,1.1106712818145752,-0.02688775025308132"
-0.25,0.0,"0.46437177062034607,0.3997611105442047,-0.45533236861228943","0.5106483101844788,0.36873888969421387,-0.24213406443595886","0.4220617413520813,0.37415724992752075,-0.2825293242931366","0.3902878761291504,0.5660645365715027,-0.31915199756622314","0.4706675410270691,0.6385171413421631,-0.6415492296218872","0.7097392082214355,0.5073068737983704,-0.9123386144638062","0.5302934646606445,1.1433836221694946,0.03502965718507767","0.40104764699935913,1.0733165740966797,-0.035419899970293045"
-0.25,0.0,"0.46416276693344116,0.39968037605285645,-0.42723679542541504","0.5099505186080933,0.3686809539794922,-0.20479412376880646","0.4209119379520416,0.3742324411869049,-0.24749784171581268","0.39026549458503723,0.5660644173622131,-0.2796073257923126","0.4811793863773346,0.6375579237937927,-0.6030493974685669","0.7138828635215759,0.5110180974006653,-0.8813081979751587","0.5299078226089478,1.1375564336776733,0.03402850776910782","0.4005317687988281,1.0982016324996948,-0.0343838706612587"
-0.25,0.0,"0.46417370438575745,0.39976683259010315,-0.43957361578941345","0.5094221830368042,0.36861830949783325,-0.22271296381950378","0.42027243971824646,0.3742462992668152,-0.26004770398139954","0.38985905051231384,0.5660862326622009,-0.29013580083847046","0.48008155822753906,0.6374006271362305,-0.6189032793045044","0.7135757803916931,0.5132573843002319,-0.9029339551925659","0.5283793210983276,1.1330960988998413,0.030328381806612015","0.399391233921051,1.1041096448898315,-0.03064574860036373"
-0.25,0.0,"0.4636536240577698,0.39959678053855896,-0.3962467610836029","0.5089771747589111,0.36807671189308167,-0.19814416766166687","0.41976824402809143,0.37420201301574707,-0.22593030333518982","0.3888985812664032,0.5661024451255798,-0.26020437479019165","0.4790940284729004,0.6383769512176514,-0.5783048868179321","0.713380753993988,0.5141218304634094,-0.851632297039032","0.5282911658287048,1.1334655284881592,0.026623975485563278","0.4001224637031555,1.0698952674865723,-0.026961928233504295"
-0.25,0.0,"0.4631249010562897,0.39864039421081543,-0.4104797840118408","0.5086590051651001,0.3676375448703766,-0.2054886370897293","0.4191904664039612,0.3735717236995697,-0.23553380370140076","0.38796883821487427,0.5629305243492126,-0.27001339197158813","0.475142240524292,0.6383526921272278,-0.5981026291847229","0.7120755910873413,0.5147940516471863,-0.8676151037216187","0.5278576612472534,1.1315746307373047,0.027081500738859177","0.4003681540489197,1.0517480373382568,-0.02742009237408638"
-0.25,0.0,"0.46311435103416443,0.3978244662284851,-0.41249650716781616","0.5086034536361694,0.36713582277297974,-0.21109554171562195","0.41904306411743164,0.3729396462440491,-0.23755960166454315","0.38790053129196167,0.5629829168319702,-0.2755874693393707","0.4730207920074463,0.6373234391212463,-0.6032006740570068","0.710159420967102,0.5145764350891113,-0.9061280488967896","0.5282314419746399,1.1319383382797241,0.02656649611890316","0.40012845396995544,1.0961698293685913,-0.02690519392490387"
-0.25,0.0,"0.4626721441745758,0.396729052066803,-0.4192025065422058","0.5084658265113831,0.36668065190315247,-0.21742558479309082","0.4189496636390686,0.372753769159317,-0.24028761684894562","0.38789698481559753,0.5631515979766846,-0.2701195180416107","0.47222310304641724,0.6372682452201843,-0.6016337871551514","0.709225594997406,0.5144132375717163,-0.9009779691696167","0.5281165838241577,1.1298447847366333,0.02002537250518799","0.4004491865634918,1.0585445165634155,-0.02038070186972618"
-0.25,0.0,"0.4624024033546448,0.39652523398399353,-0.4247693121433258","0.5083194971084595,0.36610645055770874,-0.2193298041820526","0.4187559485435486,0.37273016571998596,-0.24540898203849792","0.38788992166519165,0.5634651780128479,-0.2751151919364929","0.4733375608921051,0.6372518539428711,-0.6051940321922302","0.7093659043312073,0.5142895579338074,-0.8920321464538574","0.5276699066162109,1.1304564476013184,0.019503654912114143","0.4006098806858063,1.0474846363067627,-0.019861984997987747"
0.0,0.0,"0.4769606590270996,0.30452457070350647,-0.40019193291664124","0.5448623895645142,0.3011809289455414,-0.1543000489473343","0.4314209818840027,0.27973049879074097,-0.10653631389141083","0.37044864892959595,0.5292965173721313,-0.0308665931224823","0.25034067034721375,0.7057819962501526,-0.40797385573387146","0.3514115810394287,0.6115884780883789,-0.8928720355033875","0.5253695845603943,1.1371148824691772,-0.008990468457341194","0.3764038681983948,1.0536839962005615,0.008499973453581333"
0.0,0.0,"0.4815588891506195,0.2888857126235962,-0.37050870060920715","0.5520107746124268,0.28218773007392883,-0.12139959633350372","0.4366629719734192,0.2624799907207489,-0.05653541535139084","0.36486250162124634,0.5212820768356323,0.029771804809570312","0.23704707622528076,0.7295311093330383,-0.3405926823616028","0.33201462030410767,0.6443496346473694,-0.895180881023407","0.5253028869628906,1.1374375820159912,-0.026789451017975807","0.37222573161125183,1.0545203685760498,0.026336634531617165"
