az,el,[0],[7],[8],[11],[13],[15],[23],[23]
-0.5,0.0,"0.19285675883293152,0.22810567915439606,-0.571938157081604","0.2550070583820343,0.20397531986236572,-0.1501741111278534","0.12659916281700134,0.20889030396938324,-0.09046638756990433","0.3801119327545166,0.5769608616828918,-0.03754735738039017","0.6095967292785645,0.6011558771133423,-0.33956167101860046","0.8403929471969604,0.6000497937202454,-1.0320653915405273","0.330899178981781,1.5173163414001465,-0.01462515164166689","0.330899178981781,1.5173163414001465,-0.01462515164166689"
-0.5,0.0,"0.1795821636915207,0.20940670371055603,-0.6329500079154968","0.2502581477165222,0.18428179621696472,-0.25188398361206055","0.12148010730743408,0.20840756595134735,-0.14012649655342102","0.382968008518219,0.5768678188323975,-0.15743635594844818","0.6093447804450989,0.6010634303092957,-0.49917086958885193","0.8402585983276367,0.5994314551353455,-1.2461941242218018","0.32677555084228516,1.5258175134658813,-0.04402805492281914","0.32677555084228516,1.5258175134658813,-0.04402805492281914"
-0.5,0.0,"0.1725967973470688,0.20763511955738068,-0.5965884327888489","0.24738097190856934,0.18295805156230927,-0.23939470946788788","0.12100747972726822,0.20571261644363403,-0.09418521821498871","0.38350266218185425,0.5767155289649963,-0.1235952153801918","0.6072301268577576,0.5984530448913574,-0.5021869540214539","0.8389660716056824,0.5976104140281677,-1.3072600364685059","0.3239980936050415,1.5268856287002563,-0.03983280435204506","0.3239980936050415,1.5268856287002563,-0.03983280435204506"
-0.5,0.0,"0.17414453625679016,0.21072742342948914,-0.6444599032402039","0.24644994735717773,0.18558169901371002,-0.24867114424705505","0.12103915214538574,0.20761917531490326,-0.11748950183391571","0.3837408125400543,0.5768887400627136,-0.15157414972782135","0.6071439981460571,0.5994791388511658,-0.510494589805603","0.8393959999084473,0.5918306708335876,-1.2744839191436768","0.325106143951416,1.5265867710113525,-0.062373317778110504","0.325106143951416,1.5265867710113525,-0.062373317778110504"
-0.5,0.0,"0.1772066205739975,0.21121376752853394,-0.56993168592453","0.24676387012004852,0.18764479458332062,-0.1384599804878235","0.1212913990020752,0.20907902717590332,-0.06458406150341034","0.38374075293540955,0.5765730142593384,-0.06285640597343445","0.6031440496444702,0.5989739894866943,-0.32579880952835083","0.839377760887146,0.5886327624320984,-1.003711462020874","0.3263244032859802,1.5262540578842163,-0.050269436091184616","0.3263244032859802,1.5262540578842163,-0.050269436091184616"
-0.5,0.0,"0.18730802834033966,0.22075463831424713,-0.5337055921554565","0.2470230758190155,0.19355547428131104,-0.0722946971654892","0.12216494232416153,0.21317040920257568,-0.043761637061834335","0.38590002059936523,0.5765354633331299,-0.011002878658473492","0.6030813455581665,0.5965757369995117,-0.3356144428253174","0.8419946432113647,0.5839515328407288,-1.095578908920288","0.3325503468513489,1.5255435705184937,-0.03808547928929329","0.3325503468513489,1.5255435705184937,-0.03808547928929329"
-0.5,0.0,"0.19177089631557465,0.22535237669944763,-0.5446738600730896","0.24755270779132843,0.1951511651277542,-0.10450917482376099","0.12319604307413101,0.2148306518793106,-0.07591603696346283","0.38731008768081665,0.5764822363853455,-0.021509967744350433","0.6028154492378235,0.5963984727859497,-0.341605007648468","0.8429912328720093,0.5833324193954468,-1.102325677871704","0.33293965458869934,1.5232034921646118,-0.035061586648225784","0.33293965458869934,1.5232034921646118,-0.035061586648225784"
-0.5,0.0,"0.1954803615808487,0.22710853815078735,-0.40106138586997986","0.24882355332374573,0.19710811972618103,0.02923109568655491","0.12497369199991226,0.21594804525375366,0.06056695431470871","0.38915011286735535,0.5758923888206482,0.07769633829593658","0.602613091468811,0.5965785980224609,-0.2410159409046173","0.842963695526123,0.5828009843826294,-0.9690093994140625","0.3361580967903137,1.510882019996643,-0.03239934891462326","0.3361580967903137,1.510882019996643,-0.03239934891462326"
-0.5,0.0,"0.19744721055030823,0.2285700887441635,-0.47629785537719727","0.25027015805244446,0.19844219088554382,-0.035483624786138535","0.12593436241149902,0.21631819009780884,-0.0014212412061169744","0.38981691002845764,0.5749617218971252,0.0370129719376564","0.6035043001174927,0.5975375175476074,-0.28044241666793823","0.843359649181366,0.5822361707687378,-1.0073966979980469","0.3376806378364563,1.5096380710601807,-0.03132336959242821","0.3376806378364563,1.5096380710601807,-0.03132336959242821"
-0.5,0.0,"0.19974376261234283,0.2304813414812088,-0.46130800247192383","0.25087878108024597,0.19949141144752502,-0.03666769713163376","0.12639762461185455,0.21622318029403687,-0.007119613699615002","0.39029332995414734,0.5743566155433655,0.03923339396715164","0.6032737493515015,0.5968834161758423,-0.24324385821819305","0.8434368968009949,0.580463707447052,-0.9198017120361328","0.337855726480484,1.5081192255020142,-0.03013646975159645","0.337855726480484,1.5081192255020142,-0.03013646975159645"
