gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"0.5122936964035034,0.3998275399208069,-0.2660484313964844","0.5173231959342957,0.38262760639190674,-0.25201356410980225","0.5216971635818481,0.3825535774230957,-0.25230664014816284","0.5257064700126648,0.3828529715538025,-0.25232359766960144","0.5078119039535522,0.3838302493095398,-0.25231602787971497","0.5045953392982483,0.3848720192909241,-0.2526325285434723","0.5009071230888367,0.38672083616256714,-0.2529548108577728","0.530921220779419,0.3906359076499939,-0.16673310101032257","0.49670353531837463,0.39619991183280945,-0.1680014282464981","0.5195712447166443,0.41676682233810425,-0.23118582367897034","0.5063806772232056,0.418766051530838,-0.23285464942455292","0.5671941041946411,0.5003710985183716,-0.08494430035352707","0.47037237882614136,0.48941540718078613,-0.1082548275589943","0.5766959190368652,0.6198574304580688,0.06226242706179619","0.40814512968063354,0.5235443115234375,-0.14649036526679993","0.5510100722312927,0.6774517297744751,0.19172139465808868","0.4450829029083252,0.43169671297073364,-0.20699624717235565","0.5440205335617065,0.6992500424385071,0.20717616379261017","0.4588257372379303,0.4221768379211426,-0.23268315196037292","0.5389613509178162,0.6892516613006592,0.19093507528305054","0.4632413983345032,0.42126011848449707,-0.21455010771751404","0.5400277376174927,0.6798595190048218,0.1902363896369934","0.46106916666030884,0.4279826581478119,-0.20201411843299866","0.5419030785560608,0.7257041335105896,-0.0012751724570989609","0.4903634488582611,0.7232902646064758,0.0012454596580937505","0.5424458384513855,0.8826414346694946,0.09967808425426483","0.4922298789024353,0.8764426112174988,0.1247880607843399","0.538581371307373,0.983181357383728,0.34432920813560486","0.5000964403152466,0.9821351170539856,0.353977233171463","0.5346531271934509,0.9887689352035522,0.3655904531478882","0.5052947402000427,0.9887465834617615,0.37530776858329773","0.5355199575424194,1.0540268421173096,0.2958645522594452","0.4878959655761719,1.0345858335494995,0.3047805726528168"
0.0,"0.5123558640480042,0.3998066484928131,-0.2554188072681427","0.5175586938858032,0.38270920515060425,-0.2403499186038971","0.5217897295951843,0.3825756013393402,-0.24064166843891144","0.5258778929710388,0.3828539252281189,-0.2406519651412964","0.50776207447052,0.38433292508125305,-0.23966607451438904","0.5044068098068237,0.3854532539844513,-0.2399871051311493","0.500808835029602,0.3870191276073456,-0.24028511345386505","0.5308154821395874,0.3907295763492584,-0.1529649943113327","0.4967010021209717,0.3963885009288788,-0.1494676172733307","0.519633948802948,0.4166472256183624,-0.22010894119739532","0.5066286325454712,0.41870400309562683,-0.2205546796321869","0.5670672059059143,0.5002837181091309,-0.07499882578849792","0.4703660011291504,0.48955729603767395,-0.09057207405567169","0.5761783719062805,0.6136143803596497,0.054542165249586105","0.40806835889816284,0.523382306098938,-0.12840837240219116","0.5562025904655457,0.6768649220466614,0.14741995930671692","0.4450743794441223,0.43195104598999023,-0.20028121769428253","0.5504884123802185,0.6993012428283691,0.1579054296016693","0.4593353271484375,0.4222390055656433,-0.22577014565467834","0.543826699256897,0.6894979476928711,0.1398468315601349","0.4633074700832367,0.4212552011013031,-0.21057943999767303","0.5438997149467468,0.679840624332428,0.1444123238325119","0.4610738754272461,0.4278542101383209,-0.1966075748205185","0.542116641998291,0.7281090617179871,9.875782780000009e-06","0.49034276604652405,0.7273115515708923,-6.59974612062797e-05","0.5427550077438354,0.8819599747657776,0.031025514006614685","0.4922385811805725,0.8779897093772888,0.07357192784547806","0.5386057496070862,0.9821444153785706,0.25699734687805176","0.5003575086593628,0.9823254942893982,0.2734099328517914","0.534647524356842,0.9885848760604858,0.276152104139328","0.5055282711982727,0.9889468550682068,0.2912091612815857","0.5356193780899048,1.0550220012664795,0.19926050305366516","0.49070125818252563,1.0369675159454346,0.21210256218910217"
0.0,"0.5123987793922424,0.3998226523399353,-0.23257505893707275","0.5177045464515686,0.38289493322372437,-0.21652498841285706","0.5218602418899536,0.38267359137535095,-0.21682000160217285","0.5259875655174255,0.3828914165496826,-0.21682770550251007","0.5077590942382812,0.3849002718925476,-0.21583612263202667","0.5043279528617859,0.38605940341949463,-0.21615564823150635","0.5008012652397156,0.3873862028121948,-0.21645280718803406","0.5307763814926147,0.3908761441707611,-0.12787136435508728","0.49673476815223694,0.3966738283634186,-0.12437828630208969","0.5197288990020752,0.41663268208503723,-0.1971777230501175","0.5067634582519531,0.4187065064907074,-0.19756588339805603","0.5669366717338562,0.5001403093338013,-0.05422918125987053","0.4705125391483307,0.4895838499069214,-0.07017194479703903","0.5761563777923584,0.6093047261238098,0.06765960156917572","0.4080694615840912,0.5233126878738403,-0.1206846833229065","0.5610195994377136,0.6771489977836609,0.1621319204568863","0.4449341297149658,0.43207401037216187,-0.2009710967540741","0.5554330945014954,0.7006986141204834,0.17383678257465363","0.4595237672328949,0.4224666655063629,-0.22617563605308533","0.5485743880271912,0.6911322474479675,0.1558552235364914","0.4633719027042389,0.42125409841537476,-0.21197593212127686","0.548059344291687,0.6805300116539001,0.15931102633476257","0.46108540892601013,0.4276764392852783,-0.19675010442733765","0.5423647165298462,0.7301337122917175,2.1487907361006364e-05","0.4907422959804535,0.7300490736961365,-8.202723984140903e-05","0.5428243279457092,0.8823286294937134,0.049254897981882095","0.4920518398284912,0.8784751892089844,0.09027978032827377","0.5385323762893677,0.9817377924919128,0.27851602435112","0.5003700852394104,0.9819161295890808,0.30154797434806824","0.5342891216278076,0.9884952306747437,0.2980186939239502","0.505685031414032,0.9886359572410583,0.32077354192733765","0.535548746585846,1.0554059743881226,0.2252633273601532","0.4902803301811218,1.0369189977645874,0.24868440628051758"
0.0,"0.5125954151153564,0.3998773396015167,-0.23174560070037842","0.5179178714752197,0.38311606645584106,-0.21642713248729706","0.5220028758049011,0.38274163007736206,-0.21672439575195312","0.5261237621307373,0.3828963041305542,-0.21673090755939484","0.5079075694084167,0.3855172097682953,-0.215846985578537","0.5043319463729858,0.386691153049469,-0.21616265177726746","0.5008505582809448,0.38778814673423767,-0.21645069122314453","0.5307718515396118,0.3908751904964447,-0.12931813299655914","0.4968806207180023,0.39687296748161316,-0.12629777193069458","0.5199083089828491,0.41659054160118103,-0.19685876369476318","0.5072273015975952,0.41872507333755493,-0.19733230769634247","0.5669712424278259,0.5000988245010376,-0.05745183303952217","0.47099652886390686,0.4895891547203064,-0.0746726393699646","0.5761578679084778,0.607845664024353,0.05906287953257561","0.40816956758499146,0.5235392451286316,-0.13688765466213226","0.5634719133377075,0.6770129203796387,0.1293085813522339","0.44491854310035706,0.4323318600654602,-0.25235164165496826","0.558701753616333,0.7007115483283997,0.13593660295009613","0.4595496654510498,0.42250412702560425,-0.2842201590538025","0.551669716835022,0.6911612749099731,0.11628212034702301","0.4633804261684418,0.4212478697299957,-0.26952269673347473","0.5506086945533752,0.6805248856544495,0.12497155368328094","0.46109557151794434,0.42764583230018616,-0.2500094175338745","0.5425514578819275,0.7314210534095764,0.00016688740288373083","0.4909631609916687,0.7313664555549622,-0.0002416434435872361","0.542829155921936,0.8823553323745728,0.04958547279238701","0.4919968545436859,0.8787785172462463,0.09539173543453217","0.5385161638259888,0.9816815853118896,0.26945438981056213","0.5002862215042114,0.9818811416625977,0.3005552887916565","0.5341891050338745,0.9886351823806763,0.2875831425189972","0.5056887865066528,0.9886235594749451,0.31873300671577454","0.5346685647964478,1.0554406642913818,0.21319425106048584","0.4890032410621643,1.0370303392410278,0.2465168684720993"
0.0,"0.5126118659973145,0.39987826347351074,-0.22349736094474792","0.5179428458213806,0.38324227929115295,-0.20736737549304962","0.5220065116882324,0.3828291893005371,-0.20765335857868195","0.5261285305023193,0.38293859362602234,-0.20765753090381622","0.5079077482223511,0.38580775260925293,-0.20601025223731995","0.5043071508407593,0.3869999051094055,-0.20633192360401154","0.500857412815094,0.3879951536655426,-0.206626296043396","0.5307374596595764,0.39096057415008545,-0.11904134601354599","0.49698901176452637,0.3971279561519623,-0.11231940984725952","0.5199211835861206,0.4164101183414459,-0.18826600909233093","0.5073980093002319,0.4187229871749878,-0.18778929114341736","0.5669701099395752,0.49998682737350464,-0.0455428883433342","0.47119832038879395,0.4895934760570526,-0.057546116411685944","0.5760878324508667,0.6032025218009949,0.07568685710430145","0.40864014625549316,0.5236913561820984,-0.09898660331964493","0.5622456669807434,0.6729704141616821,0.14671161770820618","0.4448203146457672,0.4325747489929199,-0.1818542778491974","0.5572078824043274,0.6969602108001709,0.15089453756809235","0.4595162868499756,0.422471284866333,-0.2079242467880249","0.550484836101532,0.6882390975952148,0.12315046787261963","0.46333199739456177,0.4210559129714966,-0.1940196305513382","0.5498501062393188,0.6789226531982422,0.13970911502838135","0.4610591530799866,0.42737650871276855,-0.17903539538383484","0.5426572561264038,0.7313026189804077,0.00013151037273928523","0.49096164107322693,0.7310206294059753,-0.00021063350141048431","0.5431113839149475,0.8821355104446411,0.01953059807419777","0.49194175004959106,0.878795862197876,0.08216152340173721","0.5385090112686157,0.9816870093345642,0.24690139293670654","0.5003412961959839,0.9815279841423035,0.29085132479667664","0.5341354608535767,0.9888061285018921,0.26638782024383545","0.5058485269546509,0.9882685542106628,0.3097664713859558","0.5340948104858398,1.0559751987457275,0.19155235588550568","0.4996755123138428,1.0248141288757324,0.23652108013629913"
0.0,"0.5126138925552368,0.3999122083187103,-0.2316286563873291","0.5179444551467896,0.383409321308136,-0.21609003841876984","0.5219947099685669,0.38299423456192017,-0.21637895703315735","0.5261147618293762,0.3830530047416687,-0.21638309955596924","0.5079078078269958,0.38590309023857117,-0.21486619114875793","0.5042823553085327,0.3870580494403839,-0.2151840478181839","0.5008577108383179,0.38801300525665283,-0.21547508239746094","0.5306413769721985,0.3911150097846985,-0.12858273088932037","0.49700242280960083,0.39720016717910767,-0.12233181297779083","0.5199201107025146,0.4164179861545563,-0.1966049075126648","0.5074222087860107,0.4187368154525757,-0.1962684839963913","0.5669654011726379,0.49975326657295227,-0.054040975868701935","0.47130122780799866,0.4897904396057129,-0.06744619458913803","0.5761210322380066,0.6017877459526062,0.06102297455072403","0.4087197780609131,0.5238429307937622,-0.10368561744689941","0.5638607144355774,0.6718447208404541,0.1284126341342926","0.44466981291770935,0.4328048825263977,-0.23087020218372345","0.5598106980323792,0.6968271732330322,0.13479338586330414","0.459644079208374,0.4230307340621948,-0.2620481848716736","0.5529292821884155,0.6875410079956055,0.11457003653049469","0.4633391499519348,0.4212685525417328,-0.24899426102638245","0.5514922142028809,0.6780900955200195,0.1239888072013855","0.4610511362552643,0.4273839592933655,-0.22922389209270477","0.5426560640335083,0.7311895489692688,0.00019016306032426655","0.4909493029117584,0.7307754755020142,-0.00027599517488852143","0.5431326627731323,0.8818919062614441,0.019187679514288902","0.491948664188385,0.8793286681175232,0.07553687691688538","0.5385324358940125,0.9816852807998657,0.23333926498889923","0.5006181001663208,0.9815330505371094,0.27493757009506226","0.5341489911079407,0.9890401363372803,0.2508922815322876","0.5061502456665039,0.9882349371910095,0.2924707531929016","0.5340282917022705,1.0561447143554688,0.17267939448356628","0.49824732542037964,1.028598427772522,0.21623246371746063"
0.0,"0.5119966864585876,0.3994840979576111,-0.23135285079479218","0.517192006111145,0.38324376940727234,-0.21592923998832703","0.5213414430618286,0.3827981650829315,-0.21621616184711456","0.5251570343971252,0.3827339708805084,-0.21621370315551758","0.506666898727417,0.385825514793396,-0.21405985951423645","0.5035759210586548,0.38700759410858154,-0.21437349915504456","0.4999210834503174,0.38796767592430115,-0.2146628201007843","0.5301746726036072,0.39063605666160583,-0.1285344958305359","0.4967373013496399,0.3968825042247772,-0.11938061565160751","0.5192842483520508,0.4155055582523346,-0.19641529023647308","0.507052481174469,0.41824519634246826,-0.19523513317108154","0.5667260885238647,0.4978753328323364,-0.054134905338287354","0.4713119864463806,0.489734023809433,-0.06573817878961563","0.5761201977729797,0.6007755994796753,0.061038605868816376","0.4097306728363037,0.5232120156288147,-0.10457003116607666","0.5636741518974304,0.6726138591766357,0.13857389986515045","0.44459766149520874,0.4330061674118042,-0.2471734583377838","0.559097945690155,0.6970104575157166,0.14669761061668396","0.4594902992248535,0.4233255684375763,-0.2800866961479187","0.5523837804794312,0.6890345215797424,0.1271677017211914","0.46326184272766113,0.42145591974258423,-0.26644039154052734","0.5511301755905151,0.678711473941803,0.13468539714813232","0.4610463082790375,0.42743372917175293,-0.24552154541015625","0.5426512956619263,0.7301991581916809,0.000255885737715289","0.4908612370491028,0.7289426922798157,-0.0003459563886281103","0.542998731136322,0.8818882703781128,0.025244995951652527","0.4917738437652588,0.8784211874008179,0.07338160276412964","0.5385577082633972,0.9816659688949585,0.25344258546829224","0.5004795789718628,0.9811455011367798,0.28578075766563416","0.5341523885726929,0.9891762733459473,0.27252548933029175","0.5059843063354492,0.9879828691482544,0.30474069714546204","0.5340567231178284,1.056274652481079,0.1945960819721222","0.4961901307106018,1.0295329093933105,0.2279214859008789"
0.0,"0.5099732279777527,0.3989943563938141,-0.2138136625289917","0.5152328610420227,0.3830125629901886,-0.1989241987466812","0.5196017026901245,0.3824957013130188,-0.1992112398147583","0.5232359766960144,0.38225072622299194,-0.19919376075267792","0.5048037171363831,0.3857653737068176,-0.19524872303009033","0.5016927123069763,0.3869866728782654,-0.19554995000362396","0.4979291558265686,0.38794317841529846,-0.1958141177892685","0.5293058753013611,0.3899746835231781,-0.11615706980228424","0.4961063265800476,0.3965838849544525,-0.09902552515268326","0.518095076084137,0.41452446579933167,-0.18081767857074738","0.5056520700454712,0.41764548420906067,-0.17729179561138153","0.5663124322891235,0.4959239959716797,-0.04623441770672798","0.472645103931427,0.487415611743927,-0.04680812358856201","0.5774818062782288,0.5977349877357483,0.0604904368519783","0.419566810131073,0.5161586403846741,-0.09292355179786682","0.5658908486366272,0.6727110743522644,0.1253485232591629","0.44829124212265015,0.4327008128166199,-0.20298412442207336","0.5609692335128784,0.6972975134849548,0.13055501878261566","0.4595569670200348,0.42058905959129333,-0.23459677398204803","0.5535579919815063,0.6892676949501038,0.11091673374176025","0.4636276364326477,0.42004063725471497,-0.22499604523181915","0.5526413917541504,0.6789703965187073,0.12113776057958603","0.4622395932674408,0.4265509843826294,-0.2029399424791336","0.5421959161758423,0.7285581231117249,0.0003049207152798772","0.49062585830688477,0.725400984287262,-0.000394804694224149","0.5430220365524292,0.8806191086769104,0.01705058291554451","0.4916249215602875,0.8747991919517517,0.0646432414650917","0.5385560989379883,0.9815346002578735,0.2353711873292923","0.5006005167961121,0.9813562035560608,0.2616344690322876","0.5341473817825317,0.9890384078025818,0.25346890091896057","0.5062452554702759,0.9883639812469482,0.2787547707557678","0.5341730713844299,1.0561891794204712,0.17666998505592346","0.49543243646621704,1.0315821170806885,0.20159408450126648"
0.0,"0.5076119303703308,0.3990797698497772,-0.18436571955680847","0.5135249495506287,0.38305792212486267,-0.16919507086277008","0.5176076292991638,0.3824995756149292,-0.169473335146904","0.5212727785110474,0.38224300742149353,-0.16944074630737305","0.5028563737869263,0.38581323623657227,-0.16383926570415497","0.4990190863609314,0.3870009183883667,-0.16415709257125854","0.4959941506385803,0.387943297624588,-0.16442757844924927","0.5276421904563904,0.38966238498687744,-0.08738844096660614","0.4944520890712738,0.39647382497787476,-0.062471188604831696","0.5165306329727173,0.4143238365650177,-0.15128496289253235","0.5037877559661865,0.41757506132125854,-0.145737886428833","0.5640661120414734,0.49257758259773254,-0.01789434254169464","0.47564616799354553,0.48423272371292114,5.230708484305069e-05","0.5778723955154419,0.5956501960754395,0.09483577311038971","0.4396039843559265,0.5101630091667175,0.03580882400274277","0.5650644898414612,0.6685290932655334,0.19157537817955017","0.4575693607330322,0.43392589688301086,0.03462501987814903","0.5599383115768433,0.693436324596405,0.20446696877479553","0.4646550118923187,0.420632928609848,0.02194986492395401","0.5529821515083313,0.6842181086540222,0.1866532266139984","0.46742185950279236,0.4200540781021118,0.030470866709947586","0.5520274639129639,0.6736627221107483,0.18905718624591827","0.4670056402683258,0.4265313148498535,0.03679598495364189","0.5413984656333923,0.7257505059242249,-0.0016473550349473953","0.490624338388443,0.7189423441886902,0.0016251550987362862","0.5429908037185669,0.8801791071891785,0.011565756984055042","0.4914499819278717,0.8729363083839417,0.0652059018611908","0.5385161638259888,0.9815342426300049,0.21990680694580078","0.5005574822425842,0.9814683794975281,0.24362972378730774","0.5340267419815063,0.9890071153640747,0.23774632811546326","0.5062442421913147,0.9887351393699646,0.2589483857154846","0.5334599614143372,1.0548131465911865,0.16246378421783447","0.49312061071395874,1.031654715538025,0.18179208040237427"
0.0,"0.5062500238418579,0.4015190899372101,-0.18758580088615417","0.5119725465774536,0.38526684045791626,-0.17464016377925873","0.5158529877662659,0.38451528549194336,-0.17491404712200165","0.5195298790931702,0.3836403787136078,-0.1748747080564499","0.5017244219779968,0.3875361979007721,-0.1678510308265686","0.4979478716850281,0.3885108530521393,-0.16817356646060944","0.4951535165309906,0.3891812562942505,-0.1684468388557434","0.5268349051475525,0.3897830545902252,-0.10005287081003189","0.4942123293876648,0.397002637386322,-0.0696367472410202","0.5155167579650879,0.41507118940353394,-0.15707722306251526","0.5030678510665894,0.41867128014564514,-0.1497446894645691","0.5639961957931519,0.4921160340309143,-0.03132402151823044","0.47854405641555786,0.48293542861938477,-0.004587617702782154","0.5786739587783813,0.5968017578125,0.08552276343107224","0.43981319665908813,0.5077099800109863,0.04947785288095474","0.5647022128105164,0.668617308139801,0.19757245481014252","0.4636922776699066,0.43308737874031067,0.07337979972362518","0.5596688389778137,0.6937522888183594,0.21233324706554413","0.471639484167099,0.4206521809101105,0.06502918899059296","0.5525143146514893,0.6843403577804565,0.19602374732494354","0.4749217927455902,0.4201655983924866,0.07477150857448578","0.5519070029258728,0.6739972829818726,0.1961868703365326","0.4737176299095154,0.42653152346611023,0.07675893604755402","0.5412526726722717,0.7251092791557312,-0.004202309064567089","0.49092239141464233,0.7178130149841309,0.0042136129923164845","0.542963981628418,0.87970370054245,0.017916079610586166","0.49138063192367554,0.8714876174926758,0.07222089171409607","0.5383699536323547,0.9813547134399414,0.2291981279850006","0.5004513263702393,0.9814230799674988,0.2527092397212982","0.5339047908782959,0.9883270859718323,0.24763432145118713","0.506105899810791,0.9887712001800537,0.2682993412017822","0.5314667820930481,1.0532095432281494,0.17453250288963318","0.49307388067245483,1.0317938327789307,0.1925143450498581"
