gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"0.48416972160339355,0.6774704456329346,-0.4736335873603821","0.4909153878688812,0.6530482769012451,-0.470228910446167","0.49608296155929565,0.6515488624572754,-0.4705065190792084","0.5000464916229248,0.6504339575767517,-0.4705246090888977","0.4780600070953369,0.6538797616958618,-0.46747785806655884","0.4734265208244324,0.6531496644020081,-0.4677439332008362","0.4693775177001953,0.6520882844924927,-0.46802836656570435","0.5067245960235596,0.6479021310806274,-0.3968488276004791","0.4618503451347351,0.6472094058990479,-0.3852447271347046","0.49376755952835083,0.6945924758911133,-0.4405001103878021","0.47628292441368103,0.6968304514884949,-0.4381884038448334","0.543403685092926,0.7566767334938049,-0.33522358536720276","0.4321872591972351,0.7062501907348633,-0.31746870279312134","0.543596625328064,0.9096746444702148,-0.36479452252388","0.39894139766693115,0.8350236415863037,-0.4275955557823181","0.5223487615585327,1.0000090599060059,-0.4444735646247864","0.4211297929286957,0.7400221824645996,-0.5750818252563477","0.5229405164718628,1.0377079248428345,-0.4842076897621155","0.42386922240257263,0.7113924026489258,-0.630146861076355","0.5115267634391785,1.0332341194152832,-0.49534374475479126","0.42818552255630493,0.6950554251670837,-0.6204758882522583","0.5079005360603333,1.0213289260864258,-0.4512072205543518","0.4282449185848236,0.703391432762146,-0.5775954723358154","0.506585419178009,0.8944547176361084,-0.002583581954240799","0.4513072371482849,0.8852547407150269,0.00239655957557261","0.501582682132721,0.8751542568206787,0.2744499146938324","0.4478703439235687,0.848055362701416,0.2587820291519165","0.4973488450050354,0.844791829586029,0.5385028123855591","0.44338756799697876,0.8250182867050171,0.5206915736198425","0.5019572377204895,0.8437808752059937,0.564424455165863","0.4416930675506592,0.8238941431045532,0.5487717390060425","0.48313790559768677,0.8508439660072327,0.5168068408966064","0.4448915421962738,0.8206566572189331,0.5081504583358765"
0.0,"0.48423299193382263,0.67899090051651,-0.45772218704223633","0.491851270198822,0.6535972356796265,-0.45420631766319275","0.49675315618515015,0.6522846817970276,-0.45449861884117126","0.500717282295227,0.6513832807540894,-0.45453089475631714","0.478187620639801,0.653991162776947,-0.4523734152317047","0.47349804639816284,0.6531541347503662,-0.45260995626449585","0.4693881869316101,0.6520345211029053,-0.452873170375824","0.5067873001098633,0.649260938167572,-0.38099968433380127","0.46197572350502014,0.6472132205963135,-0.37245017290115356","0.4938230514526367,0.6955511569976807,-0.4241073727607727","0.4759681820869446,0.6968366503715515,-0.4227293133735657","0.5433923006057739,0.7571312189102173,-0.32377302646636963","0.4318476617336273,0.7068841457366943,-0.3015628457069397","0.5439795851707458,0.9088450074195862,-0.3519420623779297","0.39882010221481323,0.8354701399803162,-0.40540146827697754","0.5221775770187378,1.0000063180923462,-0.44119778275489807","0.4221525192260742,0.7400488257408142,-0.5527148842811584","0.5229250192642212,1.0366312265396118,-0.4823615550994873","0.4243548810482025,0.710578978061676,-0.6074279546737671","0.5115407705307007,1.0254746675491333,-0.4944159984588623","0.4299324154853821,0.693142294883728,-0.6007684469223022","0.509421706199646,1.00624418258667,-0.4485921263694763","0.43049997091293335,0.7033678889274597,-0.5567656755447388","0.5056707859039307,0.897266149520874,-0.0026439048815518618","0.45052385330200195,0.8856295347213745,0.0024648632388561964","0.5015068650245667,0.8691799640655518,0.2764594554901123","0.448936402797699,0.8524118065834045,0.2543182075023651","0.5002701282501221,0.8447237610816956,0.5493114590644836","0.4491390585899353,0.8246033787727356,0.5249925851821899","0.5052977800369263,0.8438001871109009,0.5767409205436707","0.4478716254234314,0.8223216533660889,0.5547824501991272","0.4904458522796631,0.8472785353660583,0.5389118194580078","0.457183301448822,0.8275537490844727,0.5241493582725525"
0.0,"0.4843482971191406,0.6789824366569519,-0.42242002487182617","0.4923282265663147,0.6537323594093323,-0.4181395173072815","0.49710243940353394,0.6525149941444397,-0.41844114661216736","0.5010494589805603,0.6516028642654419,-0.4184834361076355","0.4783652722835541,0.6539491415023804,-0.41669750213623047","0.4737679958343506,0.6529495716094971,-0.4169238209724426","0.46969908475875854,0.651587188243866,-0.4171699583530426","0.5068039298057556,0.6493880152702332,-0.34583479166030884","0.46277183294296265,0.6469659805297852,-0.3391271233558655","0.4938177466392517,0.6955404281616211,-0.389723539352417","0.475955069065094,0.6960499882698059,-0.38888904452323914","0.5430676937103271,0.7564951777458191,-0.292937695980072","0.4317399561405182,0.707622766494751,-0.26836860179901123","0.5443161725997925,0.9050865173339844,-0.3130980432033539","0.39879754185676575,0.835487425327301,-0.3715542256832123","0.5220850110054016,0.9942891597747803,-0.39866822957992554","0.42224007844924927,0.7397557497024536,-0.5203130841255188","0.5232225656509399,1.0251706838607788,-0.4366760849952698","0.42492547631263733,0.7075661420822144,-0.5711588859558105","0.5127909183502197,1.014183521270752,-0.4490780830383301","0.4298720955848694,0.6923971176147461,-0.5654887557029724","0.5107470750808716,0.9967948794364929,-0.40575137734413147","0.43076324462890625,0.703359067440033,-0.5245301723480225","0.5047913193702698,0.9034078121185303,-0.0028940332122147083","0.449066698551178,0.8898541927337646,0.002716314746066928","0.5010539293289185,0.8680744767189026,0.26596373319625854","0.44936004281044006,0.8612112402915955,0.23788626492023468","0.500090479850769,0.8468965291976929,0.530991792678833","0.4508242607116699,0.8289817571640015,0.4943459928035736","0.5050400495529175,0.8453338742256165,0.5580672025680542","0.44975242018699646,0.8255910873413086,0.522696852684021","0.49022841453552246,0.8494088649749756,0.5324827432632446","0.4587772786617279,0.8389658331871033,0.5024158954620361"
0.0,"0.48435646295547485,0.6791025400161743,-0.4390736520290375","0.49260658025741577,0.6537566781044006,-0.43581685423851013","0.4972810745239258,0.6525991559028625,-0.43610626459121704","0.5011712312698364,0.6517120599746704,-0.4361369013786316","0.47837549448013306,0.6538077592849731,-0.4335393011569977","0.47382012009620667,0.6526373028755188,-0.4337852895259857","0.46974268555641174,0.6510709524154663,-0.43405428528785706","0.5068079829216003,0.6495192050933838,-0.36418506503105164","0.46312952041625977,0.6467746496200562,-0.35394811630249023","0.4938066899776459,0.6956354975700378,-0.4062868654727936","0.47585806250572205,0.6959143877029419,-0.4043521285057068","0.5431385636329651,0.7565475702285767,-0.30673009157180786","0.4321553111076355,0.7074208855628967,-0.2836753726005554","0.5445841550827026,0.9050535559654236,-0.3239208459854126","0.3988431692123413,0.8354157209396362,-0.3865676522254944","0.52210533618927,0.9943323731422424,-0.3978741466999054","0.422119140625,0.7345237135887146,-0.5361611247062683","0.5245574712753296,1.026655912399292,-0.4347246587276459","0.42515379190444946,0.7027656435966492,-0.5895789861679077","0.5139777660369873,1.0172849893569946,-0.4485011100769043","0.42984938621520996,0.6878915429115295,-0.583020031452179","0.5117907524108887,0.9999407529830933,-0.405304491519928","0.430673211812973,0.698872447013855,-0.5401815176010132","0.5048261284828186,0.9041103720664978,-0.003183738561347127","0.4491400718688965,0.8897317051887512,0.0030132541432976723","0.5018686056137085,0.8577485084533691,0.2733820378780365","0.45332425832748413,0.8573591709136963,0.24345755577087402","0.5038372278213501,0.8191510438919067,0.5489113330841064","0.452167809009552,0.8218984603881836,0.5108849406242371","0.5082107186317444,0.8437391519546509,0.5767977237701416","0.45055919885635376,0.8182559609413147,0.5418301224708557","0.49310699105262756,0.8433143496513367,0.5450819134712219","0.46027523279190063,0.834467887878418,0.520165205001831"
0.0,"0.48452019691467285,0.6700668931007385,-0.43902549147605896","0.49296173453330994,0.6465953588485718,-0.43559756875038147","0.4976833462715149,0.6455026268959045,-0.43589290976524353","0.501451313495636,0.6447020769119263,-0.4359195828437805","0.47841978073120117,0.6468439698219299,-0.43291109800338745","0.47384729981422424,0.6454662680625916,-0.4331645965576172","0.46977147459983826,0.6442861557006836,-0.4334232807159424","0.5070809125900269,0.6435455083847046,-0.36201608180999756","0.46330562233924866,0.6414966583251953,-0.349896639585495","0.4937886595726013,0.688933253288269,-0.4054392874240875","0.4757924973964691,0.688207745552063,-0.4030182361602783","0.5432213544845581,0.7465028762817383,-0.3032873570919037","0.43255361914634705,0.7013248801231384,-0.2803916931152344","0.5452753305435181,0.8929830193519592,-0.31938114762306213","0.3989483416080475,0.8277588486671448,-0.3876761794090271","0.5238327383995056,0.9906983971595764,-0.4007178843021393","0.4210391044616699,0.7245434522628784,-0.5449746251106262","0.5276762247085571,1.0190893411636353,-0.43965521454811096","0.42433419823646545,0.6950356364250183,-0.5974007248878479","0.5167747735977173,1.011275053024292,-0.4547750949859619","0.42837852239608765,0.6781119704246521,-0.584266185760498","0.5145360231399536,0.9961378574371338,-0.4089706838130951","0.4301120340824127,0.6907205581665039,-0.5477206110954285","0.5049883127212524,0.9034392237663269,-0.0031305544544011354","0.4489821791648865,0.8901070356369019,0.0029591515194624662","0.503962516784668,0.8583303093910217,0.27586498856544495","0.45321211218833923,0.8566031455993652,0.24593833088874817","0.5031445026397705,0.8372560143470764,0.554190456867218","0.4532619118690491,0.8235799074172974,0.5118720531463623","0.5076591372489929,0.8462061285972595,0.5822600722312927","0.4518030285835266,0.8199933171272278,0.5422117114067078","0.49290838837623596,0.8482497930526733,0.5521186590194702","0.4618161618709564,0.836826503276825,0.519550621509552"
0.0,"0.4848319888114929,0.6552077531814575,-0.42805615067481995","0.4930022358894348,0.6307388544082642,-0.42512187361717224","0.4977801740169525,0.6299836039543152,-0.4254188537597656","0.5014417767524719,0.6292679905891418,-0.4254428446292877","0.4787861704826355,0.6294411420822144,-0.422490656375885","0.47432127594947815,0.6281853914260864,-0.4227195680141449","0.47007226943969727,0.6270261406898499,-0.42294421792030334","0.5070805549621582,0.627747118473053,-0.35263943672180176","0.46359747648239136,0.6255275011062622,-0.3405570983886719","0.4939629137516022,0.672278106212616,-0.3944336175918579","0.4759541153907776,0.6710284948348999,-0.3920750319957733","0.5432299375534058,0.720611572265625,-0.2966732382774353","0.4339202046394348,0.6952179670333862,-0.26659056544303894","0.5503345727920532,0.8646673560142517,-0.3124789595603943","0.4005783200263977,0.8220875263214111,-0.3595929443836212","0.528032660484314,0.9716870784759521,-0.4068702757358551","0.4209670126438141,0.7113141417503357,-0.5153242349624634","0.5292272567749023,1.0070884227752686,-0.44891780614852905","0.42476972937583923,0.6801249384880066,-0.5708940625190735","0.5177481174468994,0.9986752867698669,-0.46332430839538574","0.4284059405326843,0.6668093204498291,-0.5694142580032349","0.516099750995636,0.9844643473625183,-0.41539865732192993","0.4300890564918518,0.6802037358283997,-0.5219355821609497","0.5079483985900879,0.9005385637283325,-0.0032073899637907743","0.4498814046382904,0.889995813369751,0.0030303513631224632","0.5038335919380188,0.8247296810150146,0.28482764959335327","0.4571378231048584,0.8295557498931885,0.24840350449085236","0.5029183030128479,0.8027893900871277,0.5725464224815369","0.45631924271583557,0.7801504135131836,0.5259948968887329","0.5074843764305115,0.801368772983551,0.6018439531326294","0.4545110762119293,0.7746818661689758,0.5568117499351501","0.49204882979393005,0.8015746474266052,0.5718556046485901","0.46564000844955444,0.7825722694396973,0.5338706374168396"
0.0,"0.48482027649879456,0.640459418296814,-0.388649046421051","0.49263638257980347,0.6184674501419067,-0.3838965594768524","0.4974227845668793,0.6178709268569946,-0.3842068910598755","0.5010112524032593,0.6172136068344116,-0.3842449486255646","0.4786089360713959,0.616583526134491,-0.3825330436229706","0.47428807616233826,0.615225076675415,-0.3827500343322754","0.47004514932632446,0.613919734954834,-0.38296133279800415","0.5060336589813232,0.6158393621444702,-0.30743515491485596","0.4635929465293884,0.6137835383415222,-0.30037161707878113","0.49384522438049316,0.6567012071609497,-0.3540961444377899","0.4759524464607239,0.6578029990196228,-0.35320910811424255","0.5434145927429199,0.7049731016159058,-0.24477311968803406","0.43400296568870544,0.6871255040168762,-0.23109865188598633","0.5588086247444153,0.8326994180679321,-0.24788174033164978","0.40370646119117737,0.8144324421882629,-0.3209460377693176","0.532993495464325,0.914283812046051,-0.3463571071624756","0.42098602652549744,0.7018585205078125,-0.4807548522949219","0.5304177403450012,0.9459668397903442,-0.3836120069026947","0.42561715841293335,0.6683294773101807,-0.5314749479293823","0.5214003920555115,0.9332705736160278,-0.3997921645641327","0.4285205006599426,0.6577316522598267,-0.5309848189353943","0.5210965275764465,0.9231976270675659,-0.3550579845905304","0.43013396859169006,0.6720487475395203,-0.48689332604408264","0.5141695737838745,0.8865734338760376,-0.0030129593797028065","0.45524826645851135,0.8854147791862488,0.002832153346389532","0.513225793838501,0.8845363855361938,0.19690878689289093","0.4547814428806305,0.8475801348686218,0.22437095642089844","0.51866614818573,0.8225717544555664,0.45350703597068787","0.4622190594673157,0.7912015914916992,0.4649861752986908","0.522335410118103,0.8082602024078369,0.480255126953125","0.46377032995224,0.7868980169296265,0.4917815625667572","0.5138410329818726,0.8049812912940979,0.4661702513694763","0.46967586874961853,0.796535849571228,0.4839901328086853"
0.0,"0.48496174812316895,0.630735456943512,-0.3344716429710388","0.49235838651657104,0.6090256571769714,-0.32409751415252686","0.4970623850822449,0.6083810329437256,-0.3243354260921478","0.5007185339927673,0.6077083349227905,-0.32431870698928833","0.4785926342010498,0.6072953343391418,-0.3207907974720001","0.47431260347366333,0.6062484979629517,-0.32100585103034973","0.47004419565200806,0.6053513884544373,-0.32116061449050903","0.5054079294204712,0.6068828105926514,-0.22881118953227997","0.46386393904685974,0.6069849133491516,-0.21403813362121582","0.4936006963253021,0.6458277106285095,-0.29420000314712524","0.47672873735427856,0.6475002765655518,-0.29127246141433716","0.5433939099311829,0.6913690567016602,-0.16133365035057068","0.43621182441711426,0.6822882890701294,-0.13278622925281525","0.5596446394920349,0.8032315373420715,-0.19277286529541016","0.40351206064224243,0.8023460507392883,-0.23105601966381073","0.5340201258659363,0.8691272139549255,-0.3171180486679077","0.4176042675971985,0.6930345892906189,-0.42318567633628845","0.5299014449119568,0.8942663669586182,-0.35074734687805176","0.4231193959712982,0.663885772228241,-0.4721313416957855","0.5223134160041809,0.8841502070426941,-0.36288896203041077","0.4284432530403137,0.651714563369751,-0.46884140372276306","0.5224003791809082,0.8749195337295532,-0.3235597014427185","0.43011412024497986,0.6663351058959961,-0.4281644821166992","0.5200887322425842,0.8859735131263733,-0.001905611134134233","0.45973220467567444,0.8869485855102539,0.0017996575916185975","0.525983452796936,1.0200015306472778,0.002914578188210726","0.451984167098999,1.0008130073547363,-0.08315177261829376","0.5307005047798157,1.1265547275543213,0.19684870541095734","0.459921658039093,1.155654788017273,0.02376776561141014","0.534304141998291,1.1407595872879028,0.21313047409057617","0.46137580275535583,1.1789183616638184,0.03284655883908272","0.5169497728347778,1.1762927770614624,0.15606217086315155","0.46699920296669006,1.2075049877166748,-0.04403015226125717"
0.0,"0.4868070185184479,0.6250082850456238,-0.3118442893028259","0.4928250312805176,0.6029597520828247,-0.3041079640388489","0.49745097756385803,0.6027369499206543,-0.3043052852153778","0.5008178353309631,0.6021370887756348,-0.304325133562088","0.4801146984100342,0.6006006598472595,-0.3011839985847473","0.47595056891441345,0.5993058085441589,-0.301423043012619","0.4720768928527832,0.5986373424530029,-0.3016132712364197","0.5053039789199829,0.6007517576217651,-0.22788763046264648","0.4656960964202881,0.6010737419128418,-0.21454811096191406","0.49396783113479614,0.6397475004196167,-0.2787054777145386","0.4790579676628113,0.6416013240814209,-0.27620261907577515","0.5427319407463074,0.6745263934135437,-0.17568516731262207","0.43694406747817993,0.6797816157341003,-0.15449582040309906","0.5572952032089233,0.7787084579467773,-0.15463940799236298","0.3934313654899597,0.7886710166931152,-0.2524377703666687","0.5327333807945251,0.8525707721710205,-0.18877986073493958","0.41081205010414124,0.6728699207305908,-0.4225924611091614","0.5296834707260132,0.881790816783905,-0.20115378499031067","0.42124661803245544,0.6464868187904358,-0.46012789011001587","0.5213719606399536,0.876377522945404,-0.21235258877277374","0.4276494085788727,0.6382089257240295,-0.45275574922561646","0.5208151936531067,0.8671928644180298,-0.19145730137825012","0.42839986085891724,0.6511995792388916,-0.4239029288291931","0.5224844217300415,0.8729508519172668,-0.0018673576414585114","0.46584591269493103,0.8798942565917969,0.0017702545737847686","0.5456588864326477,0.9481812119483948,-0.20539529621601105","0.44926995038986206,0.9344618320465088,-0.2196279764175415","0.5254986882209778,0.9675573706626892,0.010236894711852074","0.4995571970939636,0.9682908654212952,-0.022343404591083527","0.5194605588912964,0.9776636958122253,0.03559134900569916","0.5045208930969238,0.9708914160728455,0.0037597916088998318","0.4868205189704895,1.040922999382019,0.03451770916581154","0.5250427722930908,0.9837666153907776,0.0035319651942700148"
0.0,"0.48930710554122925,0.6158970594406128,-0.3155231475830078","0.49475711584091187,0.5935930609703064,-0.30545780062675476","0.4988909661769867,0.5933712720870972,-0.3056590259075165","0.5026198029518127,0.5924750566482544,-0.3056430518627167","0.48178964853286743,0.592278778553009,-0.30409425497055054","0.4781002104282379,0.5913698077201843,-0.3043081760406494","0.47389906644821167,0.5912384986877441,-0.3044812083244324","0.5059375762939453,0.5920557975769043,-0.21741369366645813","0.46759843826293945,0.595481812953949,-0.21104618906974792","0.4962354302406311,0.6309764981269836,-0.2781692147254944","0.4820033609867096,0.6334224939346313,-0.2775697112083435","0.5427369475364685,0.659394383430481,-0.15671642124652863","0.43892771005630493,0.6752400398254395,-0.14380767941474915","0.5563552975654602,0.7682756185531616,-0.17119485139846802","0.39153459668159485,0.7750940322875977,-0.25751379132270813","0.53436678647995,0.8493192195892334,-0.2675519585609436","0.40918421745300293,0.6608731746673584,-0.44593143463134766","0.5338091254234314,0.8783178329467773,-0.2947444021701813","0.41933473944664,0.6369104981422424,-0.49133792519569397","0.525237500667572,0.8731709718704224,-0.3070618510246277","0.42619428038597107,0.6287145614624023,-0.48334336280822754","0.523796558380127,0.8637464642524719,-0.27319806814193726","0.4271162152290344,0.6405078172683716,-0.4480725824832916","0.5288086533546448,0.8568815588951111,-7.254363481479231e-06","0.4747123718261719,0.8710118532180786,-4.174601417616941e-05","0.566584050655365,0.941463828086853,-0.1633167564868927","0.45308393239974976,0.9277341961860657,-0.1719243824481964","0.5406484007835388,1.0559459924697876,-0.012869584374129772","0.4918482303619385,1.0828335285186768,-0.03269873559474945","0.5382676124572754,1.0672166347503662,-0.00019167429127264768","0.4961591362953186,1.098595380783081,-0.01932402327656746","0.5183129906654358,1.1043744087219238,-0.07568398118019104","0.5078210234642029,1.1395063400268555,-0.09663214534521103"
