gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"0.509627103805542,0.27914658188819885,-0.24658477306365967","0.5183902978897095,0.2542147636413574,-0.2287246435880661","0.5239766836166382,0.2545194923877716,-0.22903487086296082","0.5288180708885193,0.2551855742931366,-0.229108527302742","0.5006049275398254,0.25383996963500977,-0.226715087890625","0.4956766963005066,0.25425881147384644,-0.22702248394489288","0.4914599061012268,0.2555101811885834,-0.22732818126678467","0.535136342048645,0.26417648792266846,-0.12164096534252167","0.4853054881095886,0.2688470184803009,-0.11131832748651505","0.5200696587562561,0.3021531403064728,-0.20327429473400116","0.499734103679657,0.3019576072692871,-0.2018609344959259","0.5749430656433105,0.41033634543418884,-0.03851871192455292","0.4472659230232239,0.4108172059059143,-0.03458430990576744","0.5948158502578735,0.5595632195472717,0.09245682507753372","0.3818281590938568,0.5284624695777893,-0.10908813774585724","0.5655479431152344,0.6451785564422607,0.15028516948223114","0.4105095863342285,0.38414010405540466,-0.27547580003738403","0.5575316548347473,0.6755839586257935,0.15099740028381348","0.4242885708808899,0.35851436853408813,-0.31694135069847107","0.5477206707000732,0.6603187322616577,0.13278472423553467","0.4268575608730316,0.3482934832572937,-0.3063071370124817","0.5487286448478699,0.6474795937538147,0.14678315818309784","0.4263802468776703,0.3583655059337616,-0.27617761492729187","0.5419630408287048,0.6997023224830627,-0.0008672328549437225","0.4728105068206787,0.7038015127182007,0.0008281039772555232","0.5340621471405029,0.9544975161552429,-0.021475356072187424","0.4851688742637634,0.9539943337440491,-0.020306691527366638","0.5331931114196777,1.1144113540649414,0.2146642506122589","0.4852389693260193,1.1164531707763672,0.18295952677726746","0.5304140448570251,1.139935851097107,0.23399236798286438","0.4901368021965027,1.1459028720855713,0.20113053917884827","0.5343764424324036,1.1817598342895508,0.15259507298469543","0.4808904528617859,1.1777515411376953,0.11254797130823135"
0.0,"0.5097209811210632,0.2783532738685608,-0.30061784386634827","0.5183917284011841,0.2541896402835846,-0.28340670466423035","0.5239755511283875,0.25451958179473877,-0.2837744951248169","0.5288687944412231,0.25519147515296936,-0.28384846448898315","0.5007442235946655,0.25381988286972046,-0.28212571144104004","0.4959847927093506,0.2543392777442932,-0.28249144554138184","0.4916042685508728,0.25567924976348877,-0.28285539150238037","0.535057544708252,0.264133483171463,-0.17417749762535095","0.48545899987220764,0.2687891721725464,-0.1671091914176941","0.5200239419937134,0.3013085722923279,-0.2561191916465759","0.4999454617500305,0.3010886311531067,-0.2556774318218231","0.5752511620521545,0.41033563017845154,-0.08671623468399048","0.44720372557640076,0.4108927845954895,-0.09261249005794525","0.5949308276176453,0.5606297254562378,0.06081409379839897","0.3818827271461487,0.5280624628067017,-0.2148154079914093","0.5608437061309814,0.6451359987258911,0.13607466220855713","0.4104824960231781,0.38413411378860474,-0.43518394231796265","0.5527344942092896,0.6765052676200867,0.1399327665567398","0.42417651414871216,0.35874930024147034,-0.4876915514469147","0.5449697971343994,0.6603182554244995,0.11907921731472015","0.4268965721130371,0.34832775592803955,-0.4733498692512512","0.5460456609725952,0.6474031805992126,0.13234063982963562","0.4266437590122223,0.3583085834980011,-0.4354833662509918","0.5421344637870789,0.7182878851890564,-0.003083184827119112","0.47272640466690063,0.7225648760795593,0.002977685770019889","0.5342547297477722,0.9585233926773071,-0.01607508212327957","0.4851875305175781,0.9569456577301025,0.02782433107495308","0.538306713104248,1.1310821771621704,0.23276516795158386","0.4852398931980133,1.1250742673873901,0.24314749240875244","0.5382086634635925,1.1546330451965332,0.25306254625320435","0.4904484152793884,1.157687783241272,0.2624841630458832","0.5345109701156616,1.2018002271652222,0.17254891991615295","0.4763033986091614,1.188075065612793,0.1789904236793518"
0.0,"0.5097497701644897,0.27834782004356384,-0.3060760498046875","0.5183897614479065,0.25441014766693115,-0.2887422740459442","0.5239279270172119,0.25474441051483154,-0.28910914063453674","0.528865396976471,0.25529876351356506,-0.28917551040649414","0.5010056495666504,0.25432872772216797,-0.2871774435043335","0.49636760354042053,0.2550228536128998,-0.28756818175315857","0.4917948246002197,0.25627824664115906,-0.2879352867603302","0.5348241925239563,0.26413342356681824,-0.1777115762233734","0.48561257123947144,0.26881206035614014,-0.16957922279834747","0.5199019312858582,0.30113473534584045,-0.2608877122402191","0.5002282857894897,0.30079588294029236,-0.2601763606071472","0.5755866169929504,0.4107677936553955,-0.08669892698526382","0.4471500515937805,0.4120480418205261,-0.0928436815738678","0.5949891805648804,0.562308669090271,0.0619083046913147","0.3819102942943573,0.5273863077163696,-0.21883387863636017","0.5592319965362549,0.6461575627326965,0.13827615976333618","0.41047772765159607,0.3860826790332794,-0.45118626952171326","0.5509219765663147,0.6797826886177063,0.14154960215091705","0.4237805902957916,0.3598600924015045,-0.5049157738685608","0.5435835123062134,0.661928117275238,0.12113287299871445","0.42689546942710876,0.34931889176368713,-0.4913659989833832","0.544787585735321,0.6482415795326233,0.13443496823310852","0.42679572105407715,0.3592887818813324,-0.4520438313484192","0.5422985553741455,0.7309044599533081,-0.003623631549999118","0.47273755073547363,0.7364683151245117,0.0034866645000874996","0.5343969464302063,0.9646286964416504,-0.032084397971630096","0.4852076470851898,0.9620314836502075,0.014045916497707367","0.5416960120201111,1.1589182615280151,0.1879989206790924","0.48615866899490356,1.1533031463623047,0.17863181233406067","0.5414066910743713,1.1839704513549805,0.20443961024284363","0.4916517734527588,1.1900982856750488,0.19169144332408905","0.5369204878807068,1.2354531288146973,0.11443302780389786","0.47694501280784607,1.2208300828933716,0.09194301068782806"
0.0,"0.5094053745269775,0.278481662273407,-0.29961302876472473","0.5179063081741333,0.25493961572647095,-0.28328484296798706","0.5234470367431641,0.255329966545105,-0.2836465835571289","0.5282220840454102,0.25565677881240845,-0.28370410203933716","0.5009966492652893,0.25552764534950256,-0.2810964286327362","0.4963606297969818,0.25641149282455444,-0.28150564432144165","0.4917532801628113,0.25769123435020447,-0.28187888860702515","0.5337193608283997,0.2644377052783966,-0.17419013381004333","0.48574334383010864,0.26889556646347046,-0.16335871815681458","0.5192428827285767,0.3011400103569031,-0.25460439920425415","0.5002042055130005,0.3007848560810089,-0.2532033324241638","0.5757474899291992,0.4107952415943146,-0.0829722061753273","0.4468367099761963,0.41234761476516724,-0.08566302806138992","0.5949038863182068,0.5619801878929138,0.06690332293510437","0.3824581503868103,0.5257214903831482,-0.1911182999610901","0.5569152235984802,0.6446683406829834,0.1394316405057907","0.41048774123191833,0.38599780201911926,-0.4032093584537506","0.5488254427909851,0.6761447787284851,0.14215528964996338","0.4236913323402405,0.3599317669868469,-0.45428529381752014","0.54201740026474,0.6580739617347717,0.12238188087940216","0.4272700846195221,0.34955623745918274,-0.44239768385887146","0.5433157682418823,0.646138608455658,0.13575831055641174","0.42721471190452576,0.35959842801094055,-0.404288113117218","0.5424249172210693,0.7385044693946838,-0.004562865011394024","0.47248902916908264,0.7420592308044434,0.00440422585234046","0.5345581769943237,0.9720260500907898,-0.034894537180662155","0.4852166771888733,0.9708083271980286,0.025684256106615067","0.5459698438644409,1.1763110160827637,0.17809805274009705","0.48918572068214417,1.1682913303375244,0.21511952579021454","0.5470665693283081,1.201361060142517,0.19424282014369965","0.49473053216934204,1.2029873132705688,0.23097114264965057","0.5384708642959595,1.2500579357147217,0.10150758922100067","0.4827399253845215,1.2370200157165527,0.13428479433059692"
0.0,"0.507381796836853,0.2782147228717804,-0.3133240044116974","0.5160084962844849,0.2548968493938446,-0.29735785722732544","0.5221803188323975,0.2552303969860077,-0.29773688316345215","0.5267502069473267,0.25552529096603394,-0.29777976870536804","0.5000036954879761,0.2557730972766876,-0.29370054602622986","0.4951538145542145,0.25690391659736633,-0.29414254426956177","0.49066638946533203,0.2581730782985687,-0.29455336928367615","0.5326715707778931,0.2644270360469818,-0.1902356594800949","0.485771507024765,0.2688893973827362,-0.17278559505939484","0.5173919200897217,0.30054590106010437,-0.26919764280319214","0.4995247721672058,0.30031818151474,-0.2659115195274353","0.5762353539466858,0.41084322333335876,-0.09617738425731659","0.44665902853012085,0.4123293161392212,-0.09373586624860764","0.5937639474868774,0.5635678768157959,0.05791120603680611","0.3828027844429016,0.5241031050682068,-0.1813531368970871","0.5542145371437073,0.6448079943656921,0.14195291697978973","0.41047391295433044,0.38611072301864624,-0.3731919229030609","0.5467628240585327,0.6761771440505981,0.14911851286888123","0.42301440238952637,0.36055517196655273,-0.42099934816360474","0.5401970148086548,0.6581249833106995,0.1266416311264038","0.4274570047855377,0.3502878248691559,-0.40909886360168457","0.541284441947937,0.6461530923843384,0.13800615072250366","0.42764368653297424,0.3603587746620178,-0.373823344707489","0.5430364608764648,0.7418532371520996,-0.005598524119704962","0.4724881052970886,0.7481582760810852,0.005439217202365398","0.5347245335578918,0.9727592468261719,-0.01254405826330185","0.48525017499923706,0.9730299115180969,0.04420819133520126","0.547627866268158,1.1770660877227783,0.19976995885372162","0.48902034759521484,1.1640253067016602,0.24497249722480774","0.5487131476402283,1.2031062841415405,0.2145276814699173","0.49453967809677124,1.1982972621917725,0.2621738314628601","0.5400306582450867,1.2497334480285645,0.1068747416138649","0.48266974091529846,1.233200192451477,0.16759701073169708"
0.0,"0.5074036121368408,0.2782401442527771,-0.30857419967651367","0.5160547494888306,0.25505563616752625,-0.29162630438804626","0.5221779346466064,0.25533658266067505,-0.29201453924179077","0.5267177820205688,0.25560006499290466,-0.2920519709587097","0.5001509189605713,0.2560994029045105,-0.28881916403770447","0.4953334927558899,0.2571622133255005,-0.28925150632858276","0.4907090663909912,0.2583315670490265,-0.28964510560035706","0.5321110486984253,0.26464104652404785,-0.18071836233139038","0.48584190011024475,0.2687481641769409,-0.1668480932712555","0.5174327492713928,0.30025410652160645,-0.2630593180656433","0.49971142411231995,0.300085186958313,-0.2608303725719452","0.576291024684906,0.4100562334060669,-0.08834906667470932","0.4466319978237152,0.4122891426086426,-0.08767159283161163","0.5937601327896118,0.5617753863334656,0.0634622722864151","0.3830832839012146,0.5229537487030029,-0.19393326342105865","0.5550104975700378,0.6466106176376343,0.14488597214221954","0.4104406237602234,0.3861026465892792,-0.4183415472507477","0.5475044846534729,0.6790685653686523,0.1510743945837021","0.4224720001220703,0.3612807095050812,-0.47257280349731445","0.5405724048614502,0.6620720624923706,0.12677210569381714","0.4274638593196869,0.3504028618335724,-0.4618869423866272","0.5416456460952759,0.6494166254997253,0.13963107764720917","0.42771393060684204,0.36040258407592773,-0.4203517436981201","0.5433648228645325,0.7448052167892456,-0.006844424642622471","0.4726329445838928,0.7525287866592407,0.006656946148723364","0.5349817872047424,0.9744144678115845,-0.012010768987238407","0.48529285192489624,0.9752054214477539,0.07364194095134735","0.5478270053863525,1.183439016342163,0.2012021541595459","0.4890596866607666,1.166435718536377,0.2769985795021057","0.5484632253646851,1.2095564603805542,0.21716491878032684","0.4946593642234802,1.2020089626312256,0.293966144323349","0.5404568910598755,1.2565895318984985,0.11918405443429947","0.4825993478298187,1.2339801788330078,0.19888345897197723"
0.0,"0.5048834085464478,0.27761781215667725,-0.3033443093299866","0.5140486359596252,0.25482815504074097,-0.28601932525634766","0.5205271244049072,0.2550722658634186,-0.2864154279232025","0.525199294090271,0.2553957402706146,-0.28644925355911255","0.4985893666744232,0.25600430369377136,-0.2825872302055359","0.49347129464149475,0.2570567727088928,-0.2830142676830292","0.4891365170478821,0.2581101655960083,-0.283410906791687","0.5310443043708801,0.26468637585639954,-0.1754118949174881","0.4857151508331299,0.26791757345199585,-0.15991070866584778","0.5150495171546936,0.29946860671043396,-0.258324533700943","0.49768346548080444,0.2992115318775177,-0.2553362250328064","0.5760001540184021,0.40898048877716064,-0.08301444351673126","0.44654393196105957,0.4122844338417053,-0.0852910727262497","0.593896746635437,0.5611671805381775,0.06617140769958496","0.38277679681777954,0.5216665267944336,-0.19234149158000946","0.5552259087562561,0.6453350782394409,0.1449459195137024","0.41079702973365784,0.3859475553035736,-0.4156714081764221","0.5472466945648193,0.6744946241378784,0.15104801952838898","0.422294944524765,0.36099836230278015,-0.4719589352607727","0.5404772162437439,0.658818781375885,0.126674622297287","0.4276927411556244,0.350321501493454,-0.45961299538612366","0.5417999029159546,0.6468519568443298,0.1399288773536682","0.4282557964324951,0.3604098856449127,-0.41730135679244995","0.5436232089996338,0.7477176189422607,-0.006673695053905249","0.4726801812648773,0.7588446736335754,0.006496944464743137","0.5352646112442017,0.9739277362823486,0.03371360898017883","0.48534512519836426,0.9761934876441956,0.10717014968395233","0.5468988418579102,1.18174409866333,0.2810446619987488","0.48822107911109924,1.1625382900238037,0.3304300904273987","0.5473642349243164,1.2078032493591309,0.3004773259162903","0.49372267723083496,1.1975653171539307,0.34949278831481934","0.539508044719696,1.2550482749938965,0.20464658737182617","0.4809616208076477,1.2296855449676514,0.2536908984184265"
0.0,"0.5045458674430847,0.27746233344078064,-0.3194809854030609","0.5136955380439758,0.25484293699264526,-0.3018147945404053","0.5202608704566956,0.25508034229278564,-0.3022262752056122","0.524900496006012,0.2554037272930145,-0.30225202441215515","0.498584121465683,0.25600650906562805,-0.2981641888618469","0.4934999346733093,0.25705015659332275,-0.29862070083618164","0.48903688788414,0.2580234110355377,-0.2990417778491974","0.5308257937431335,0.2652074694633484,-0.19056619703769684","0.48571261763572693,0.26762765645980835,-0.1731078028678894","0.5143150091171265,0.29931482672691345,-0.2743476927280426","0.4974040985107422,0.2987590730190277,-0.27109017968177795","0.5759676694869995,0.4089626371860504,-0.09872105717658997","0.446317195892334,0.41232460737228394,-0.0973585695028305","0.5937981009483337,0.5612836480140686,0.049971118569374084","0.3827742040157318,0.5213961005210876,-0.19081906974315643","0.5555720925331116,0.6471507549285889,0.13422003388404846","0.4125223159790039,0.3843625783920288,-0.39342498779296875","0.5475070476531982,0.6798692345619202,0.14009937644004822","0.4236258864402771,0.3580262064933777,-0.4465237259864807","0.540586531162262,0.6626397967338562,0.11548986285924911","0.4295402467250824,0.348511278629303,-0.4358421266078949","0.5419230461120605,0.6498914361000061,0.1291426122188568","0.42986005544662476,0.35943010449409485,-0.3953258693218231","0.5445438623428345,0.7492091059684753,-0.008366754278540611","0.4731762409210205,0.7615759968757629,0.008170397952198982","0.5357607007026672,0.9732770919799805,0.014879124239087105","0.48550885915756226,0.9752649068832397,0.11232829093933105","0.546450674533844,1.181141972541809,0.24287661910057068","0.48767203092575073,1.1618739366531372,0.3428153693675995","0.5470332503318787,1.2068928480148315,0.2565804719924927","0.49302688241004944,1.196595549583435,0.3630712926387787","0.5385124683380127,1.2540276050567627,0.15043281018733978","0.47911936044692993,1.2288492918014526,0.2770567834377289"
0.0,"0.5047014951705933,0.27753883600234985,-0.3125104010105133","0.5137842297554016,0.2549493908882141,-0.2951962351799011","0.5203102231025696,0.2550855278968811,-0.2955959439277649","0.524955153465271,0.25537508726119995,-0.2956310510635376","0.49860939383506775,0.2563161551952362,-0.29178041219711304","0.4935256838798523,0.25720474123954773,-0.29223424196243286","0.48889628052711487,0.25806671380996704,-0.2926557958126068","0.5308252573013306,0.26520833373069763,-0.18432675302028656","0.4856802821159363,0.2676102817058563,-0.16811344027519226","0.5144504308700562,0.2991844415664673,-0.26727861166000366","0.4974272847175598,0.29875460267066956,-0.26442497968673706","0.5756615400314331,0.40854692459106445,-0.09517188370227814","0.4466557502746582,0.40963155031204224,-0.09728817641735077","0.5919063091278076,0.5628630518913269,0.03714648634195328","0.38608884811401367,0.5276743173599243,-0.21208366751670837","0.5541716814041138,0.6475676894187927,0.09190396964550018","0.41847729682922363,0.3812740743160248,-0.4327738881111145","0.5473635792732239,0.680575430393219,0.09348893165588379","0.42940792441368103,0.35272014141082764,-0.4880848526954651","0.540693998336792,0.6630169749259949,0.07044290006160736","0.4331642687320709,0.34363457560539246,-0.47391277551651","0.5418316125869751,0.6502561569213867,0.0867396891117096","0.43301939964294434,0.3558228015899658,-0.4335431456565857","0.5449692010879517,0.7482753396034241,-0.008175097405910492","0.4733874797821045,0.758345901966095,0.007985088042914867","0.53594970703125,0.9730764031410217,0.02801012061536312","0.486030638217926,0.9747883081436157,0.0903206467628479","0.5484374165534973,1.1768168210983276,0.27874264121055603","0.4921723008155823,1.0920995473861694,0.31759196519851685","0.5500966310501099,1.2017076015472412,0.2983882427215576","0.49376076459884644,1.1929188966751099,0.33774828910827637","0.5385681390762329,1.2517783641815186,0.20249056816101074","0.48108237981796265,1.2252027988433838,0.24514320492744446"
0.0,"0.5048114061355591,0.27758529782295227,-0.2624751329421997","0.5138587355613708,0.2551713287830353,-0.24338658154010773","0.5203500390052795,0.2552372217178345,-0.2437988519668579","0.5249345898628235,0.2554667294025421,-0.24383866786956787","0.49863266944885254,0.2563943564891815,-0.23955464363098145","0.49360042810440063,0.25721290707588196,-0.24002662301063538","0.488922119140625,0.2580573260784149,-0.2404778003692627","0.5301437377929688,0.2652362287044525,-0.1319740116596222","0.48556947708129883,0.2676355242729187,-0.11354909837245941","0.5144787430763245,0.2989611029624939,-0.21699149906635284","0.49799203872680664,0.29870685935020447,-0.2137828767299652","0.5733900666236877,0.4062817096710205,-0.04928896576166153","0.44972753524780273,0.40571263432502747,-0.04891172796487808","0.588420033454895,0.562576413154602,0.0739748403429985","0.416696161031723,0.5408449172973633,-0.11764951795339584","0.5488260984420776,0.6459471583366394,0.12447937577962875","0.4351944029331207,0.3765231966972351,-0.2757807970046997","0.5415210723876953,0.6770000457763672,0.1329290121793747","0.4401688575744629,0.34554439783096313,-0.3182721436023712","0.5361654758453369,0.6611756086349487,0.11124534904956818","0.4396111071109772,0.3369283080101013,-0.3096476197242737","0.537525475025177,0.6496497392654419,0.11995488405227661","0.44106823205947876,0.3467119634151459,-0.27748697996139526","0.5451294779777527,0.7459847927093506,-0.007613559253513813","0.47350239753723145,0.7555586099624634,0.007462961133569479","0.5360535979270935,0.9727674126625061,0.017318474128842354","0.4863250255584717,0.9739083051681519,0.08840080350637436","0.5479906797409058,1.174085021018982,0.25736504793167114","0.4918033480644226,1.1080520153045654,0.30821314454078674","0.5494213104248047,1.2010918855667114,0.2763083279132843","0.493976891040802,1.1836289167404175,0.3293125331401825","0.5382640361785889,1.248372197151184,0.18503102660179138","0.4828409254550934,1.218529224395752,0.2336452752351761"
